"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Isaac","F","Orlando Magic","2018-10-17","MIA",8,NA
"2","Isaac","F","Orlando Magic","2018-10-19","CHO",2,8.09855622552051
"3","Isaac","F","Orlando Magic","2018-10-20","PHI",12,7.54080639994926
"4","Isaac","F","Orlando Magic","2018-10-22","BOS",22,8.76156529581529
"5","Isaac","F","Orlando Magic","2018-10-25","POR",10,7.83420382395382
"6","Isaac","F","Orlando Magic","2018-10-27","MIL",2,8.21364225853511
"7","Isaac","F","Orlando Magic","2018-10-30","SAC",9,8.31993119975263
"8","Isaac","F","Orlando Magic","2018-11-02","LAC",2,9.83222912801484
"15","Isaac","F","Orlando Magic","2018-11-14","PHI",4,8.4375269214912
"16","Isaac","F","Orlando Magic","2018-11-17","LAL",9,9.34248448773448
"17","Isaac","F","Orlando Magic","2018-11-18","NYK",18,8.27595160791589
"18","Isaac","F","Orlando Magic","2018-11-20","TOR",9,9.96853695114409
"19","Isaac","F","Orlando Magic","2018-11-23","DEN",9,9.70686064728922
"20","Isaac","F","Orlando Magic","2018-11-25","LAL",6,8.596967429396
"21","Isaac","F","Orlando Magic","2018-11-26","GSW",21,8.6789702321488
"22","Isaac","F","Orlando Magic","2018-11-28","POR",20,7.81288729128014
"23","Isaac","F","Orlando Magic","2018-11-30","PHO",2,9.26146229564086
"24","Isaac","F","Orlando Magic","2018-12-04","MIA",12,9.89823082869511
"25","Isaac","F","Orlando Magic","2018-12-05","DEN",13,9.28563048855905
"26","Isaac","F","Orlando Magic","2018-12-07","IND",6,8.35131947021232
"27","Isaac","F","Orlando Magic","2018-12-10","DAL",4,9.16639055785484
"28","Isaac","F","Orlando Magic","2018-12-13","CHI",12,7.7747000301286
"29","Isaac","F","Orlando Magic","2018-12-15","UTA",0,9.63654344465058
"30","Isaac","F","Orlando Magic","2018-12-19","SAS",14,5.77636731522446
"31","Isaac","F","Orlando Magic","2018-12-21","CHI",7,7.54868568336425
"32","Isaac","F","Orlando Magic","2018-12-23","MIA",8,10.0406559987631
"33","Isaac","F","Orlando Magic","2018-12-26","PHO",11,10.9755477221192
"34","Isaac","F","Orlando Magic","2018-12-28","TOR",20,9.19096268810554
"35","Isaac","F","Orlando Magic","2018-12-30","DET",4,8.02078702250131
"36","Isaac","F","Orlando Magic","2018-12-31","CHO",13,8.98078525046382
"37","Isaac","F","Orlando Magic","2019-01-02","CHI",9,8.83688522984951
"38","Isaac","F","Orlando Magic","2019-01-04","MIN",12,9.79005364873222
"39","Isaac","F","Orlando Magic","2019-01-06","LAC",2,6.89555395794681
"40","Isaac","F","Orlando Magic","2019-01-07","SAC",2,8.97842810760668
"41","Isaac","F","Orlando Magic","2019-01-09","UTA",13,8.9901896199039
"42","Isaac","F","Orlando Magic","2019-01-12","BOS",9,8.02462765409194
"43","Isaac","F","Orlando Magic","2019-01-13","HOU",9,9.60729772211915
"44","Isaac","F","Orlando Magic","2019-01-16","DET",14,9.46128411667697
"45","Isaac","F","Orlando Magic","2019-01-18","BRK",9,7.26809044526901
"46","Isaac","F","Orlando Magic","2019-01-19","MIL",6,8.67031292517006
"47","Isaac","F","Orlando Magic","2019-01-21","ATL",8,10.5123152958153
"48","Isaac","F","Orlando Magic","2019-01-23","BRK",24,10.0136967120181
"49","Isaac","F","Orlando Magic","2019-01-25","WAS",8,8.52546882086168
"50","Isaac","F","Orlando Magic","2019-01-27","HOU",7,9.62097062461348
"51","Isaac","F","Orlando Magic","2019-01-29","OKC",13,10.1790995670996
"52","Isaac","F","Orlando Magic","2019-01-31","IND",15,8.374798855906
"53","Isaac","F","Orlando Magic","2019-02-02","BRK",12,8.71296049188906
"54","Isaac","F","Orlando Magic","2019-02-05","OKC",14,9.83947881880025
"55","Isaac","F","Orlando Magic","2019-02-07","MIN",11,7.55298203383917
"56","Isaac","F","Orlando Magic","2019-02-09","MIL",23,9.38459446505875
"57","Isaac","F","Orlando Magic","2019-02-10","ATL",23,8.47766893424037
"58","Isaac","F","Orlando Magic","2019-02-12","NOP",24,7.98484977324263
"59","Isaac","F","Orlando Magic","2019-02-14","CHO",20,9.12441759431045
"60","Isaac","F","Orlando Magic","2019-02-22","CHI",6,9.22963806431663
"61","Isaac","F","Orlando Magic","2019-02-24","TOR",22,8.57570322534608
"62","Isaac","F","Orlando Magic","2019-02-26","NYK",24,8.0587326007326
"63","Isaac","F","Orlando Magic","2019-02-28","GSW",12,7.25662414965986
"64","Isaac","F","Orlando Magic","2019-03-02","IND",16,7.65089239332096
"65","Isaac","F","Orlando Magic","2019-03-03","CLE",7,8.05511291486291
"66","Isaac","F","Orlando Magic","2019-03-05","PHI",24,9.36325860647289
"67","Isaac","F","Orlando Magic","2019-03-08","DAL",18,7.50572780790638
"68","Isaac","F","Orlando Magic","2019-03-10","MEM",12,8.35575123685838
"69","Isaac","F","Orlando Magic","2019-03-13","WAS",19,8.12047459286744
"70","Isaac","F","Orlando Magic","2019-03-14","CLE",12,7.54381493506493
"71","Isaac","F","Orlando Magic","2019-03-17","ATL",0,9.64104942279942
"72","Isaac","F","Orlando Magic","2019-03-20","NOP",8,6.59693395096966
"73","Isaac","F","Orlando Magic","2019-03-22","MEM",15,8.80322448979592
"74","Isaac","F","Orlando Magic","2019-03-25","PHI",12,7.04874914371343
"75","Isaac","F","Orlando Magic","2019-03-26","MIA",25,8.3134122345908
"76","Isaac","F","Orlando Magic","2019-03-28","DET",14,8.18270351473923
"77","Isaac","F","Orlando Magic","2019-03-30","IND",20,6.36490656565657
"78","Isaac","F","Orlando Magic","2019-04-01","TOR",12,8.96303695114409
"79","Isaac","F","Orlando Magic","2019-04-03","NYK",6,8.86744214515643
"80","Isaac","F","Orlando Magic","2019-04-05","ATL",22,9.89121141953284
