"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","J_Green","F","Washington Wizards","2018-10-18","MIA",21,NA
"2","J_Green","F","Washington Wizards","2018-10-20","TOR",2,12.2901159188034
"3","J_Green","F","Washington Wizards","2018-10-22","POR",12,13.3232281746032
"4","J_Green","F","Washington Wizards","2018-10-24","GSW",10,12.4946899975025
"5","J_Green","F","Washington Wizards","2018-10-26","SAC",15,11.317385721917
"6","J_Green","F","Washington Wizards","2018-10-28","LAC",12,11.2725643315018
"7","J_Green","F","Washington Wizards","2018-10-30","MEM",4,12.3866354166667
"8","J_Green","F","Washington Wizards","2018-11-02","OKC",2,10.9176646825397
"9","J_Green","F","Washington Wizards","2018-11-04","NYK",14,11.4069236111111
"10","J_Green","F","Washington Wizards","2018-11-06","DAL",10,11.3970972222222
"11","J_Green","F","Washington Wizards","2018-11-09","ORL",18,10.0497407453657
"12","J_Green","F","Washington Wizards","2018-11-10","MIA",23,10.4371754599567
"13","J_Green","F","Washington Wizards","2018-11-12","ORL",26,11.1622412795538
"14","J_Green","F","Washington Wizards","2018-11-14","CLE",10,12.3834879599567
"15","J_Green","F","Washington Wizards","2018-11-16","BRK",6,11.3099991605617
"16","J_Green","F","Washington Wizards","2018-11-18","POR",7,11.5195395299145
"17","J_Green","F","Washington Wizards","2018-11-20","LAC",26,11.9867286879787
"18","J_Green","F","Washington Wizards","2018-11-23","TOR",8,11.6508070436508
"19","J_Green","F","Washington Wizards","2018-11-24","NOP",4,11.8541605790043
"20","J_Green","F","Washington Wizards","2018-11-26","HOU",15,12.7316666666667
"21","J_Green","F","Washington Wizards","2018-11-28","NOP",14,10.8734338751526
"22","J_Green","F","Washington Wizards","2018-11-30","PHI",4,9.14862976953602
"24","J_Green","F","Washington Wizards","2018-12-03","NYK",0,12.3470463390776
"26","J_Green","F","Washington Wizards","2018-12-08","CLE",25,11.403462797619
"27","J_Green","F","Washington Wizards","2018-12-10","IND",12,12.1319755591631
"28","J_Green","F","Washington Wizards","2018-12-12","BOS",26,9.48205189255189
"29","J_Green","F","Washington Wizards","2018-12-14","BRK",18,12.4871101190476
"30","J_Green","F","Washington Wizards","2018-12-16","LAL",28,10.3840791742979
"31","J_Green","F","Washington Wizards","2018-12-18","ATL",16,10.2358689123377
"32","J_Green","F","Washington Wizards","2018-12-19","HOU",12,14.0517828907204
"33","J_Green","F","Washington Wizards","2018-12-22","PHO",24,10.1725963827839
"34","J_Green","F","Washington Wizards","2018-12-23","IND",12,11.8629228271728
"35","J_Green","F","Washington Wizards","2018-12-26","DET",4,11.1988450854701
"36","J_Green","F","Washington Wizards","2018-12-28","CHI",11,12.3891059981685
"37","J_Green","F","Washington Wizards","2018-12-29","CHO",15,15.1579804639805
"38","J_Green","F","Washington Wizards","2019-01-02","ATL",30,13.3471268315018
"39","J_Green","F","Washington Wizards","2019-01-04","MIA",10,12.3925565476191
"40","J_Green","F","Washington Wizards","2019-01-06","OKC",20,12.6378186050061
"41","J_Green","F","Washington Wizards","2019-01-08","PHI",19,11.3688555021368
"42","J_Green","F","Washington Wizards","2019-01-09","PHI",12,10.4521680021368
"43","J_Green","F","Washington Wizards","2019-01-11","MIL",28,9.86325992063492
"44","J_Green","F","Washington Wizards","2019-01-13","TOR",16,13.708318452381
"45","J_Green","F","Washington Wizards","2019-01-17","NYK",3,12.0627531843157
"46","J_Green","F","Washington Wizards","2019-01-21","DET",11,12.4365679563492
"47","J_Green","F","Washington Wizards","2019-01-24","GSW",21,10.7350676129426
"48","J_Green","F","Washington Wizards","2019-01-25","ORL",36,11.566777451715
"49","J_Green","F","Washington Wizards","2019-01-27","SAS",21,12.2011785714286
"50","J_Green","F","Washington Wizards","2019-01-29","CLE",11,12.377286019536
"51","J_Green","F","Washington Wizards","2019-01-30","IND",29,8.54523696789322
"52","J_Green","F","Washington Wizards","2019-02-02","MIL",24,12.1341081349206
"53","J_Green","F","Washington Wizards","2019-02-04","ATL",30,13.8311721230159
"54","J_Green","F","Washington Wizards","2019-02-06","MIL",32,11.5004613095238
"55","J_Green","F","Washington Wizards","2019-02-08","CLE",19,13.1271274801587
"56","J_Green","F","Washington Wizards","2019-02-09","CHI",0,14.122619047619
"57","J_Green","F","Washington Wizards","2019-02-11","DET",6,10.2735193452381
"58","J_Green","F","Washington Wizards","2019-02-13","TOR",31,13.6588774801587
"59","J_Green","F","Washington Wizards","2019-02-22","CHO",18,12.6402711940837
"60","J_Green","F","Washington Wizards","2019-02-23","IND",4,12.2773343253968
"61","J_Green","F","Washington Wizards","2019-02-27","BRK",17,13.385222718254
"62","J_Green","F","Washington Wizards","2019-03-01","BOS",19,10.3938293650794
"63","J_Green","F","Washington Wizards","2019-03-03","MIN",13,12.6031488095238
"64","J_Green","F","Washington Wizards","2019-03-06","DAL",22,10.2520062957875
"65","J_Green","F","Washington Wizards","2019-03-08","CHO",13,10.5503265588578
"66","J_Green","F","Washington Wizards","2019-03-09","MIN",12,12.5048348387723
"67","J_Green","F","Washington Wizards","2019-03-11","SAC",11,13.5316337759463
"68","J_Green","F","Washington Wizards","2019-03-13","ORL",10,10.1495056263181
"69","J_Green","F","Washington Wizards","2019-03-15","CHO",24,13.0551372100122
"70","J_Green","F","Washington Wizards","2019-03-16","MEM",21,10.7534715909091
"71","J_Green","F","Washington Wizards","2019-03-18","UTA",7,10.5611577380952
"72","J_Green","F","Washington Wizards","2019-03-20","CHI",14,10.5959690552503
"73","J_Green","F","Washington Wizards","2019-03-21","DEN",7,11.3137870115995
"74","J_Green","F","Washington Wizards","2019-03-23","MIA",31,11.0040951028138
"75","J_Green","F","Washington Wizards","2019-03-26","LAL",4,11.6528907377345
"76","J_Green","F","Washington Wizards","2019-03-27","PHO",5,13.0186179029304
"80","J_Green","F","Washington Wizards","2019-04-05","SAS",14,11.6757149898712
"81","J_Green","F","Washington Wizards","2019-04-07","NYK",19,11.2465008394383
