"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Jackson","PG","Detroit Pistons","2018-10-17","BRK",23,NA
"2","Jackson","PG","Detroit Pistons","2018-10-20","CHI",26,15.221287141985
"3","Jackson","PG","Detroit Pistons","2018-10-23","PHI",29,15.6175842246102
"4","Jackson","PG","Detroit Pistons","2018-10-25","CLE",22,17.0680089598158
"5","Jackson","PG","Detroit Pistons","2018-10-27","BOS",10,16.4031327845546
"6","Jackson","PG","Detroit Pistons","2018-10-30","BOS",10,15.4626831620943
"7","Jackson","PG","Detroit Pistons","2018-10-31","BRK",25,15.8920566764155
"8","Jackson","PG","Detroit Pistons","2018-11-03","PHI",11,15.783788805637
"9","Jackson","PG","Detroit Pistons","2018-11-05","MIA",31,17.3670496799488
"10","Jackson","PG","Detroit Pistons","2018-11-07","ORL",17,16.6810987017947
"11","Jackson","PG","Detroit Pistons","2018-11-09","ATL",14,15.1012405317427
"12","Jackson","PG","Detroit Pistons","2018-11-11","CHO",23,NA
"13","Jackson","PG","Detroit Pistons","2018-11-14","TOR",15,16.5815694054764
"14","Jackson","PG","Detroit Pistons","2018-11-19","CLE",19,NA
"15","Jackson","PG","Detroit Pistons","2018-11-21","HOU",11,NA
"16","Jackson","PG","Detroit Pistons","2018-11-23","HOU",22,15.611241868994
"17","Jackson","PG","Detroit Pistons","2018-11-25","PHO",27,18.2706424464688
"18","Jackson","PG","Detroit Pistons","2018-11-27","NYK",25,15.1158475841602
"19","Jackson","PG","Detroit Pistons","2018-11-30","CHI",32,17.1665363105381
"20","Jackson","PG","Detroit Pistons","2018-12-01","GSW",21,NA
"21","Jackson","PG","Detroit Pistons","2018-12-03","OKC",12,14.4602664496027
"22","Jackson","PG","Detroit Pistons","2018-12-05","MIL",17,15.8720395599531
"23","Jackson","PG","Detroit Pistons","2018-12-07","PHI",15,15.9900205513749
"24","Jackson","PG","Detroit Pistons","2018-12-09","NOP",2,16.6444230292052
"25","Jackson","PG","Detroit Pistons","2018-12-10","PHI",21,NA
"26","Jackson","PG","Detroit Pistons","2018-12-12","CHO",26,NA
"27","Jackson","PG","Detroit Pistons","2018-12-15","BOS",12,14.1238640891705
"28","Jackson","PG","Detroit Pistons","2018-12-17","MIL",13,17.0115356816156
"29","Jackson","PG","Detroit Pistons","2018-12-19","MIN",30,NA
"30","Jackson","PG","Detroit Pistons","2018-12-21","CHO",14,16.8526885027875
"31","Jackson","PG","Detroit Pistons","2018-12-23","ATL",20,17.5596634207573
"32","Jackson","PG","Detroit Pistons","2018-12-26","WAS",25,14.9996947834248
"33","Jackson","PG","Detroit Pistons","2018-12-28","IND",10,16.7403604758647
"34","Jackson","PG","Detroit Pistons","2018-12-30","ORL",13,17.0390312226493
"35","Jackson","PG","Detroit Pistons","2019-01-01","MIL",23,NA
"36","Jackson","PG","Detroit Pistons","2019-01-02","MEM",24,14.035821773124
"37","Jackson","PG","Detroit Pistons","2019-01-05","UTA",16,NA
"38","Jackson","PG","Detroit Pistons","2019-01-07","SAS",16,15.9853633474783
"39","Jackson","PG","Detroit Pistons","2019-01-09","LAL",21,14.2199886208063
"40","Jackson","PG","Detroit Pistons","2019-01-10","SAC",6,14.9222370513672
"41","Jackson","PG","Detroit Pistons","2019-01-12","LAC",14,NA
"42","Jackson","PG","Detroit Pistons","2019-01-14","UTA",11,15.9111346760852
"43","Jackson","PG","Detroit Pistons","2019-01-16","ORL",17,15.8702108686834
"44","Jackson","PG","Detroit Pistons","2019-01-18","MIA",11,14.8183053498329
"45","Jackson","PG","Detroit Pistons","2019-01-19","SAC",6,15.9640163015546
"46","Jackson","PG","Detroit Pistons","2019-01-21","WAS",9,15.2296650875304
"47","Jackson","PG","Detroit Pistons","2019-01-23","NOP",25,NA
