"","Player","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Jamal Murray","Denver Nuggets","2018-10-17","LAC",9,NA
"2","Jamal Murray","Denver Nuggets","2018-10-20","PHO",32,20.8215270909646
"3","Jamal Murray","Denver Nuggets","2018-10-21","GSW",3,24.9490435606061
"4","Jamal Murray","Denver Nuggets","2018-10-23","SAC",25,18.2059843073593
"5","Jamal Murray","Denver Nuggets","2018-10-25","LAL",24,17.8311841630592
"6","Jamal Murray","Denver Nuggets","2018-10-29","NOP",27,19.8909573412698
"7","Jamal Murray","Denver Nuggets","2018-10-31","CHI",12,20.6614899891775
"8","Jamal Murray","Denver Nuggets","2018-11-01","CLE",10,21.5709867493617
"9","Jamal Murray","Denver Nuggets","2018-11-03","UTA",21,12.8745049117549
"10","Jamal Murray","Denver Nuggets","2018-11-05","BOS",58,20.2968273809524
"11","Jamal Murray","Denver Nuggets","2018-11-07","MEM",19,20.356305465368
"12","Jamal Murray","Denver Nuggets","2018-11-09","BRK",16,22.5899295634921
"13","Jamal Murray","Denver Nuggets","2018-11-11","MIL",14,17.5413722041847
"14","Jamal Murray","Denver Nuggets","2018-11-13","HOU",15,17.3867053085803
"15","Jamal Murray","Denver Nuggets","2018-11-15","ATL",20,15.4372922494172
"16","Jamal Murray","Denver Nuggets","2018-11-17","NOP",13,22.2094146825397
"17","Jamal Murray","Denver Nuggets","2018-11-19","MIL",21,18.9179216269841
"18","Jamal Murray","Denver Nuggets","2018-11-21","MIN",26,21.4248352272727
"19","Jamal Murray","Denver Nuggets","2018-11-23","ORL",18,23.7795634920635
"20","Jamal Murray","Denver Nuggets","2018-11-24","OKC",26,20.1381557539683
"21","Jamal Murray","Denver Nuggets","2018-11-27","LAL",24,25.1686875
"22","Jamal Murray","Denver Nuggets","2018-11-30","POR",12,23.5873369408369
"23","Jamal Murray","Denver Nuggets","2018-12-03","TOR",25,17.8994742063492
"24","Jamal Murray","Denver Nuggets","2018-12-05","ORL",35,23.8218313492063
"25","Jamal Murray","Denver Nuggets","2018-12-07","CHO",20,19.2174742063492
"26","Jamal Murray","Denver Nuggets","2018-12-08","ATL",4,19.1775264319014
"27","Jamal Murray","Denver Nuggets","2018-12-10","MEM",18,23.2914394355644
"28","Jamal Murray","Denver Nuggets","2018-12-14","OKC",19,16.196376984127
"29","Jamal Murray","Denver Nuggets","2018-12-16","TOR",25,21.8947371933622
"30","Jamal Murray","Denver Nuggets","2018-12-18","DAL",24,23.4377470238095
"31","Jamal Murray","Denver Nuggets","2018-12-22","LAC",20,20.1948848304473
"32","Jamal Murray","Denver Nuggets","2018-12-26","SAS",11,22.5974970238095
"33","Jamal Murray","Denver Nuggets","2018-12-28","SAS",39,22.3556773504274
"34","Jamal Murray","Denver Nuggets","2018-12-29","PHO",64,22.0324632034632
"35","Jamal Murray","Denver Nuggets","2019-01-01","NYK",8,21.9279116161616
"36","Jamal Murray","Denver Nuggets","2019-01-03","SAC",48,18.9903309398934
"37","Jamal Murray","Denver Nuggets","2019-01-05","CHO",12,18.8291271991897
"38","Jamal Murray","Denver Nuggets","2019-01-07","HOU",13,19.1619844322344
