,Player,Team,Position,Date,Opp,Fantasy_Score,predictions_2019
1,Jerami Grant,Oklahoma City Thunder,F,16/10/2018,GSW,9,NA
2,Jerami Grant,Oklahoma City Thunder,F,19/10/2018,LAC,4,8.055333333
3,Jerami Grant,Oklahoma City Thunder,F,21/10/2018,SAC,7,9.871291667
4,Jerami Grant,Oklahoma City Thunder,F,25/10/2018,BOS,12,9.467833333
5,Jerami Grant,Oklahoma City Thunder,F,28/10/2018,PHO,16,10.526125
6,Jerami Grant,Oklahoma City Thunder,F,30/10/2018,LAC,14,11.70941667
7,Jerami Grant,Oklahoma City Thunder,F,01/11/2018,CHO,12,9.636625
8,Jerami Grant,Oklahoma City Thunder,F,02/11/2018,WAS,26,11.900125
9,Jerami Grant,Oklahoma City Thunder,F,05/11/2018,NOP,13,8.522458333
10,Jerami Grant,Oklahoma City Thunder,F,07/11/2018,CLE,16,9.990833333
11,Jerami Grant,Oklahoma City Thunder,F,08/11/2018,HOU,13,10.66408333
12,Jerami Grant,Oklahoma City Thunder,F,10/11/2018,DAL,15,11.29920833
13,Jerami Grant,Oklahoma City Thunder,F,12/11/2018,PHO,12,8.635458333
14,Jerami Grant,Oklahoma City Thunder,F,14/11/2018,NYK,21,11.23479167
15,Jerami Grant,Oklahoma City Thunder,F,17/11/2018,PHO,16,8.765375
16,Jerami Grant,Oklahoma City Thunder,F,19/11/2018,SAC,8,9.709083333
17,Jerami Grant,Oklahoma City Thunder,F,21/11/2018,GSW,16,8.716208333
18,Jerami Grant,Oklahoma City Thunder,F,23/11/2018,CHO,15,7.622125
19,Jerami Grant,Oklahoma City Thunder,F,24/11/2018,DEN,17,10.164625
20,Jerami Grant,Oklahoma City Thunder,F,28/11/2018,CLE,23,9.32975
21,Jerami Grant,Oklahoma City Thunder,F,30/11/2018,ATL,7,15.44395833
22,Jerami Grant,Oklahoma City Thunder,F,03/12/2018,DET,19,8.811416667
23,Jerami Grant,Oklahoma City Thunder,F,05/12/2018,BRK,7,8.539166667
24,Jerami Grant,Oklahoma City Thunder,F,07/12/2018,CHI,19,8.377958333
25,Jerami Grant,Oklahoma City Thunder,F,10/12/2018,UTA,15,7.627125
26,Jerami Grant,Oklahoma City Thunder,F,12/12/2018,NOP,9,8.900458333
27,Jerami Grant,Oklahoma City Thunder,F,14/12/2018,DEN,15,10.427625
28,Jerami Grant,Oklahoma City Thunder,F,15/12/2018,LAC,20,9.485375
29,Jerami Grant,Oklahoma City Thunder,F,17/12/2018,CHI,13,7.708083333
30,Jerami Grant,Oklahoma City Thunder,F,19/12/2018,SAC,26,8.999333333
31,Jerami Grant,Oklahoma City Thunder,F,22/12/2018,UTA,17,7.917333333
32,Jerami Grant,Oklahoma City Thunder,F,23/12/2018,MIN,16,8.090208333
33,Jerami Grant,Oklahoma City Thunder,F,25/12/2018,HOU,17,8.511416667
34,Jerami Grant,Oklahoma City Thunder,F,28/12/2018,PHO,12,9.00125
35,Jerami Grant,Oklahoma City Thunder,F,30/12/2018,DAL,10,10.12820833
36,Jerami Grant,Oklahoma City Thunder,F,31/12/2018,DAL,18,9.497333333
37,Jerami Grant,Oklahoma City Thunder,F,02/01/2019,LAL,15,9.442416667
38,Jerami Grant,Oklahoma City Thunder,F,04/01/2019,POR,8,9.311458333
39,Jerami Grant,Oklahoma City Thunder,F,06/01/2019,WAS,21,5.359
40,Jerami Grant,Oklahoma City Thunder,F,08/01/2019,MIN,7,6.066166667
41,Jerami Grant,Oklahoma City Thunder,F,10/01/2019,SAS,27,11.86729167
42,Jerami Grant,Oklahoma City Thunder,F,12/01/2019,SAS,16,10.023625
43,Jerami Grant,Oklahoma City Thunder,F,15/01/2019,ATL,21,15.08558333
44,Jerami Grant,Oklahoma City Thunder,F,17/01/2019,LAL,18,8.967458333
45,Jerami Grant,Oklahoma City Thunder,F,19/01/2019,PHI,10,9.623625
46,Jerami Grant,Oklahoma City Thunder,F,21/01/2019,NYK,18,10.93820833
47,Jerami Grant,Oklahoma City Thunder,F,22/01/2019,POR,15,8.910833333
48,Jerami Grant,Oklahoma City Thunder,F,24/01/2019,NOP,18,7.271375
49,Jerami Grant,Oklahoma City Thunder,F,27/01/2019,MIL,18,10.89675
50,Jerami Grant,Oklahoma City Thunder,F,29/01/2019,ORL,22,8.661708333
51,Jerami Grant,Oklahoma City Thunder,F,01/02/2019,MIA,10,9.068041667
52,Jerami Grant,Oklahoma City Thunder,F,03/02/2019,BOS,19,7.437625
53,Jerami Grant,Oklahoma City Thunder,F,05/02/2019,ORL,21,8.796583333
54,Jerami Grant,Oklahoma City Thunder,F,07/02/2019,MEM,26,7.972708333
55,Jerami Grant,Oklahoma City Thunder,F,09/02/2019,HOU,10,7.771958333
58,Jerami Grant,Oklahoma City Thunder,F,22/02/2019,UTA,24,9.662208333
59,Jerami Grant,Oklahoma City Thunder,F,23/02/2019,SAC,12,8.902166667
60,Jerami Grant,Oklahoma City Thunder,F,26/02/2019,DEN,25,10.6525
61,Jerami Grant,Oklahoma City Thunder,F,28/02/2019,PHI,27,7.659208333
62,Jerami Grant,Oklahoma City Thunder,F,02/03/2019,SAS,16,7.186291667
63,Jerami Grant,Oklahoma City Thunder,F,03/03/2019,MEM,13,10.10879167
64,Jerami Grant,Oklahoma City Thunder,F,05/03/2019,MIN,16,9.613625
65,Jerami Grant,Oklahoma City Thunder,F,07/03/2019,POR,16,9.15825
66,Jerami Grant,Oklahoma City Thunder,F,08/03/2019,LAC,12,5.245791667
67,Jerami Grant,Oklahoma City Thunder,F,11/03/2019,UTA,14,9.132791667
68,Jerami Grant,Oklahoma City Thunder,F,13/03/2019,BRK,19,12.316375
69,Jerami Grant,Oklahoma City Thunder,F,14/03/2019,IND,3,8.941125
70,Jerami Grant,Oklahoma City Thunder,F,16/03/2019,GSW,17,8.379166667
71,Jerami Grant,Oklahoma City Thunder,F,18/03/2019,MIA,29,9.835583333
72,Jerami Grant,Oklahoma City Thunder,F,20/03/2019,TOR,9,9.190791667
73,Jerami Grant,Oklahoma City Thunder,F,22/03/2019,TOR,29,10.01441667
74,Jerami Grant,Oklahoma City Thunder,F,25/03/2019,MEM,9,7.654458333
75,Jerami Grant,Oklahoma City Thunder,F,27/03/2019,IND,29,8.22375
76,Jerami Grant,Oklahoma City Thunder,F,29/03/2019,DEN,14,8.904458333
77,Jerami Grant,Oklahoma City Thunder,F,31/03/2019,DAL,18,10.47841667
78,Jerami Grant,Oklahoma City Thunder,F,02/04/2019,LAL,30,10.03066667
79,Jerami Grant,Oklahoma City Thunder,F,05/04/2019,DET,25,7.85175
80,Jerami Grant,Oklahoma City Thunder,F,07/04/2019,MIN,19,7.827875
81,Jerami Grant,Oklahoma City Thunder,F,09/04/2019,HOU,14,9.444041667
