,Player,Team,Position,Date,Opp,Fantasy_Score,predictions_2019
33,Jerryd Bayless,Minnesota Timberwolves,SG,21/12/2018,SAS,9,NA
34,Jerryd Bayless,Minnesota Timberwolves,SG,23/12/2018,OKC,11,10.408625
35,Jerryd Bayless,Minnesota Timberwolves,SG,26/12/2018,CHI,0,10.30125
37,Jerryd Bayless,Minnesota Timberwolves,SG,30/12/2018,MIA,0,15.28829167
38,Jerryd Bayless,Minnesota Timberwolves,SG,31/12/2018,NOP,0,11.99666667
39,Jerryd Bayless,Minnesota Timberwolves,SG,02/01/2019,BOS,0,13.40495833
45,Jerryd Bayless,Minnesota Timberwolves,SG,15/01/2019,PHI,0,14.10316667
46,Jerryd Bayless,Minnesota Timberwolves,SG,18/01/2019,SAS,2,13.45245833
47,Jerryd Bayless,Minnesota Timberwolves,SG,20/01/2019,PHO,9,12.18183333
48,Jerryd Bayless,Minnesota Timberwolves,SG,22/01/2019,PHO,22,7.008708333
49,Jerryd Bayless,Minnesota Timberwolves,SG,24/01/2019,LAL,22,11.93770833
50,Jerryd Bayless,Minnesota Timberwolves,SG,25/01/2019,UTA,17,11.523125
51,Jerryd Bayless,Minnesota Timberwolves,SG,27/01/2019,UTA,27,12.983375
52,Jerryd Bayless,Minnesota Timberwolves,SG,30/01/2019,MEM,21,10.87804167
53,Jerryd Bayless,Minnesota Timberwolves,SG,02/02/2019,DEN,21,10.11604167
54,Jerryd Bayless,Minnesota Timberwolves,SG,05/02/2019,MEM,7,12.488625
55,Jerryd Bayless,Minnesota Timberwolves,SG,07/02/2019,ORL,0,10.09920833
57,Jerryd Bayless,Minnesota Timberwolves,SG,11/02/2019,LAC,2,12.34395833
58,Jerryd Bayless,Minnesota Timberwolves,SG,13/02/2019,HOU,0,8.456916667
61,Jerryd Bayless,Minnesota Timberwolves,SG,25/02/2019,SAC,0,15.43654167
62,Jerryd Bayless,Minnesota Timberwolves,SG,27/02/2019,ATL,4,11.25666667
68,Jerryd Bayless,Minnesota Timberwolves,SG,10/03/2019,NYK,0,9.538416667
69,Jerryd Bayless,Minnesota Timberwolves,SG,12/03/2019,DEN,4,15.599
70,Jerryd Bayless,Minnesota Timberwolves,SG,14/03/2019,UTA,8,10.614125
71,Jerryd Bayless,Minnesota Timberwolves,SG,17/03/2019,HOU,6,9.894375
72,Jerryd Bayless,Minnesota Timberwolves,SG,19/03/2019,GSW,14,9.86525
73,Jerryd Bayless,Minnesota Timberwolves,SG,21/03/2019,CHO,2,13.778875
74,Jerryd Bayless,Minnesota Timberwolves,SG,23/03/2019,MEM,0,10.90904167
75,Jerryd Bayless,Minnesota Timberwolves,SG,26/03/2019,LAC,9,15.718
76,Jerryd Bayless,Minnesota Timberwolves,SG,29/03/2019,GSW,21,11.930875
77,Jerryd Bayless,Minnesota Timberwolves,SG,30/03/2019,PHI,5,10.83241667
78,Jerryd Bayless,Minnesota Timberwolves,SG,01/04/2019,POR,10,8.902333333
79,Jerryd Bayless,Minnesota Timberwolves,SG,03/04/2019,DAL,7,10.06575
