,Player,Team,Position,Date,Opp,Fantasy_Score,predictions_2019
1,Joe Ingles,Utah Jazz,F,17/10/2018,SAC,30,NA
2,Joe Ingles,Utah Jazz,F,19/10/2018,GSW,41,NA
3,Joe Ingles,Utah Jazz,F,22/10/2018,MEM,11,NA
4,Joe Ingles,Utah Jazz,F,24/10/2018,HOU,17,NA
5,Joe Ingles,Utah Jazz,F,27/10/2018,NOP,7,24.23027136
6,Joe Ingles,Utah Jazz,F,28/10/2018,DAL,18,21.06971429
7,Joe Ingles,Utah Jazz,F,31/10/2018,MIN,15,23.79875832
8,Joe Ingles,Utah Jazz,F,02/11/2018,MEM,25,21.9175409
9,Joe Ingles,Utah Jazz,F,03/11/2018,DEN,6,22.14059183
10,Joe Ingles,Utah Jazz,F,05/11/2018,TOR,13,22.42075995
11,Joe Ingles,Utah Jazz,F,07/11/2018,DAL,10,20.50916803
12,Joe Ingles,Utah Jazz,F,09/11/2018,BOS,37,NA
13,Joe Ingles,Utah Jazz,F,12/11/2018,MEM,25,24.82917758
14,Joe Ingles,Utah Jazz,F,14/11/2018,DAL,12,22.96269401
15,Joe Ingles,Utah Jazz,F,16/11/2018,PHI,18,NA
16,Joe Ingles,Utah Jazz,F,17/11/2018,BOS,9,NA
17,Joe Ingles,Utah Jazz,F,19/11/2018,IND,7,NA
18,Joe Ingles,Utah Jazz,F,21/11/2018,SAC,16,NA
19,Joe Ingles,Utah Jazz,F,23/11/2018,LAL,20,22.02465608
20,Joe Ingles,Utah Jazz,F,25/11/2018,SAC,22,NA
21,Joe Ingles,Utah Jazz,F,26/11/2018,IND,14,23.93186501
22,Joe Ingles,Utah Jazz,F,28/11/2018,BRK,9,NA
23,Joe Ingles,Utah Jazz,F,30/11/2018,CHO,10,NA
24,Joe Ingles,Utah Jazz,F,02/12/2018,MIA,13,NA
25,Joe Ingles,Utah Jazz,F,04/12/2018,SAS,19,NA
26,Joe Ingles,Utah Jazz,F,06/12/2018,HOU,26,NA
27,Joe Ingles,Utah Jazz,F,09/12/2018,SAS,5,24.42932445
28,Joe Ingles,Utah Jazz,F,10/12/2018,OKC,6,22.53879714
29,Joe Ingles,Utah Jazz,F,12/12/2018,MIA,14,NA
30,Joe Ingles,Utah Jazz,F,15/12/2018,ORL,12,23.61304691
31,Joe Ingles,Utah Jazz,F,17/12/2018,HOU,7,22.4949172
