"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"4","Johnson","F","New Orleans Pelicans","2018-10-26","BRK",3,NA
"5","Johnson","F","New Orleans Pelicans","2018-10-27","UTA",10,2.89179166666667
"9","Johnson","F","New Orleans Pelicans","2018-11-03","SAS",5,3.61666666666667
"10","Johnson","F","New Orleans Pelicans","2018-11-05","OKC",7,5.882
"11","Johnson","F","New Orleans Pelicans","2018-11-07","CHI",16,10.131625
"12","Johnson","F","New Orleans Pelicans","2018-11-10","PHO",11,3.513875
"13","Johnson","F","New Orleans Pelicans","2018-11-12","TOR",7,5.45333333333334
"14","Johnson","F","New Orleans Pelicans","2018-11-14","MIN",7,3.43358333333333
"15","Johnson","F","New Orleans Pelicans","2018-11-16","NYK",7,5.318
"16","Johnson","F","New Orleans Pelicans","2018-11-17","DEN",10,4.88695833333334
"17","Johnson","F","New Orleans Pelicans","2018-11-19","SAS",7,4.54583333333333
"18","Johnson","F","New Orleans Pelicans","2018-11-21","PHI",7,2.60079166666667
"19","Johnson","F","New Orleans Pelicans","2018-11-23","NYK",5,6.582875
"20","Johnson","F","New Orleans Pelicans","2018-11-24","WAS",5,4.93379166666667
"21","Johnson","F","New Orleans Pelicans","2018-11-26","BOS",9,3.88941666666667
"22","Johnson","F","New Orleans Pelicans","2018-11-28","WAS",0,3.10091666666667
"23","Johnson","F","New Orleans Pelicans","2018-11-30","MIA",0,3.584625
"24","Johnson","F","New Orleans Pelicans","2018-12-02","CHO",5,3.57629166666667
"25","Johnson","F","New Orleans Pelicans","2018-12-03","LAC",0,3.07658333333333
"26","Johnson","F","New Orleans Pelicans","2018-12-05","DAL",5,4.39520833333333
"29","Johnson","F","New Orleans Pelicans","2018-12-10","BOS",0,2.98441666666667
"32","Johnson","F","New Orleans Pelicans","2018-12-19","MIL",2,2.92779166666667
"36","Johnson","F","New Orleans Pelicans","2018-12-28","DAL",0,3.78516666666667
"37","Johnson","F","New Orleans Pelicans","2018-12-29","HOU",0,3.24741666666667
"51","Johnson","F","New Orleans Pelicans","2019-01-29","HOU",5,3.54108333333333
"53","Johnson","F","New Orleans Pelicans","2019-02-02","SAS",0,3.35675
"56","Johnson","F","New Orleans Pelicans","2019-02-08","CLE",2,8.04158333333333
"57","Johnson","F","New Orleans Pelicans","2019-02-09","CHI",20,2.94070833333333
"58","Johnson","F","New Orleans Pelicans","2019-02-11","DET",8,5.98629166666667
"59","Johnson","F","New Orleans Pelicans","2019-02-13","TOR",1,3.994
"60","Johnson","F","New Orleans Pelicans","2019-02-22","CHO",0,3.96629166666667
"61","Johnson","F","New Orleans Pelicans","2019-02-23","IND",1,4.20454166666666
"62","Johnson","F","New Orleans Pelicans","2019-02-27","BRK",5,6.67570833333334
"63","Johnson","F","New Orleans Pelicans","2019-03-01","BOS",5,2.768375
"64","Johnson","F","New Orleans Pelicans","2019-03-03","MIN",0,3.90920833333333
"73","Johnson","F","New Orleans Pelicans","2019-03-20","CHI",0,4.92333333333333
"74","Johnson","F","New Orleans Pelicans","2019-03-21","DEN",3,4.36045833333333
