"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Jordan","C","Dallas Mavericks","2018-10-17","PHO",11,NA
"2","Jordan","C","Dallas Mavericks","2018-10-20","MIN",22,13.2517155595472
"3","Jordan","C","Dallas Mavericks","2018-10-22","CHI",18,13.748496711839
"4","Jordan","C","Dallas Mavericks","2018-10-24","ATL",11,13.8261821419298
"5","Jordan","C","Dallas Mavericks","2018-10-26","TOR",18,12.9900823232235
"6","Jordan","C","Dallas Mavericks","2018-10-28","UTA",12,13.0165301421741
"7","Jordan","C","Dallas Mavericks","2018-10-29","SAS",8,12.5092323068299
"8","Jordan","C","Dallas Mavericks","2018-10-31","LAL",10,11.927485142954
"9","Jordan","C","Dallas Mavericks","2018-11-02","NYK",4,12.0779541977068
"10","Jordan","C","Dallas Mavericks","2018-11-06","WAS",8,13.8036867217157
"11","Jordan","C","Dallas Mavericks","2018-11-07","UTA",11,12.1640752008066
"12","Jordan","C","Dallas Mavericks","2018-11-10","OKC",6,13.9067272527564
"13","Jordan","C","Dallas Mavericks","2018-11-12","CHI",6,13.2285423088854
"14","Jordan","C","Dallas Mavericks","2018-11-14","UTA",4,12.7070242484075
"15","Jordan","C","Dallas Mavericks","2018-11-17","GSW",13,13.6932055750852
"16","Jordan","C","Dallas Mavericks","2018-11-19","MEM",17,12.7292285358958
"17","Jordan","C","Dallas Mavericks","2018-11-21","BRK",12,14.2066173726829
"18","Jordan","C","Dallas Mavericks","2018-11-24","BOS",14,13.0724341392262
"19","Jordan","C","Dallas Mavericks","2018-11-28","HOU",13,11.8432581039707
"20","Jordan","C","Dallas Mavericks","2018-11-30","LAL",8,13.5663151038736
"21","Jordan","C","Dallas Mavericks","2018-12-02","LAC",16,12.5207069546613
"22","Jordan","C","Dallas Mavericks","2018-12-04","POR",12,11.8345538031112
"23","Jordan","C","Dallas Mavericks","2018-12-05","NOP",2,11.9222926157734
"24","Jordan","C","Dallas Mavericks","2018-12-08","HOU",12,14.2855789220619
"25","Jordan","C","Dallas Mavericks","2018-12-10","ORL",7,12.2354866993378
"26","Jordan","C","Dallas Mavericks","2018-12-12","ATL",11,13.3235713788993
"27","Jordan","C","Dallas Mavericks","2018-12-13","PHO",14,12.8816836736866
"28","Jordan","C","Dallas Mavericks","2018-12-16","SAC",8,12.2218380564878
"29","Jordan","C","Dallas Mavericks","2018-12-18","DEN",11,13.0702711972127
"30","Jordan","C","Dallas Mavericks","2018-12-20","LAC",11,10.6965941577956
"31","Jordan","C","Dallas Mavericks","2018-12-22","GSW",12,12.1865425486729
"32","Jordan","C","Dallas Mavericks","2018-12-23","POR",14,11.1589457426167
"33","Jordan","C","Dallas Mavericks","2018-12-26","NOP",20,13.4626431043037
"34","Jordan","C","Dallas Mavericks","2018-12-28","NOP",9,12.3290020197899
"35","Jordan","C","Dallas Mavericks","2018-12-30","OKC",12,12.3209350576851
"36","Jordan","C","Dallas Mavericks","2018-12-31","OKC",2,11.8027578611296
"37","Jordan","C","Dallas Mavericks","2019-01-02","CHO",8,15.2566182016688
"38","Jordan","C","Dallas Mavericks","2019-01-04","BOS",12,15.223339895472
"39","Jordan","C","Dallas Mavericks","2019-01-05","PHI",8,11.5529529278455
"40","Jordan","C","Dallas Mavericks","2019-01-07","LAL",10,13.9899919694608
"41","Jordan","C","Dallas Mavericks","2019-01-09","PHO",11,11.1271488513648
"42","Jordan","C","Dallas Mavericks","2019-01-11","MIN",8,12.482838375442
"43","Jordan","C","Dallas Mavericks","2019-01-13","GSW",13,12.3495638106434
"44","Jordan","C","Dallas Mavericks","2019-01-16","SAS",9,13.0845144635161
"45","Jordan","C","Dallas Mavericks","2019-01-19","IND",15,13.9843843908838
"46","Jordan","C","Dallas Mavericks","2019-01-21","MIL",15,12.5706999086242
"47","Jordan","C","Dallas Mavericks","2019-01-22","LAC",13,13.3231013797216
"48","Jordan","C","Dallas Mavericks","2019-01-25","DET",13,10.9006991933935
"49","Jordan","C","Dallas Mavericks","2019-01-27","TOR",11,12.947731311408
"50","Jordan","C","Dallas Mavericks","2019-01-30","NYK",6,13.4545309617963
"53","Jordan","C","Dallas Mavericks","2019-02-03","MEM",12,13.8980466930143
"54","Jordan","C","Dallas Mavericks","2019-02-05","DET",8,12.9581734584376
"55","Jordan","C","Dallas Mavericks","2019-02-08","DET",14,13.1106104052704
"56","Jordan","C","Dallas Mavericks","2019-02-09","TOR",10,13.6865690700369
"57","Jordan","C","Dallas Mavericks","2019-02-11","CLE",12,14.3419897089261
"58","Jordan","C","Dallas Mavericks","2019-02-13","PHI",12,12.816779279676
"59","Jordan","C","Dallas Mavericks","2019-02-14","ATL",10,14.0427945392416
"60","Jordan","C","Dallas Mavericks","2019-02-22","MIN",16,11.6503057899344
"66","Jordan","C","Dallas Mavericks","2019-03-06","PHO",17,13.3134511465199
"67","Jordan","C","Dallas Mavericks","2019-03-09","SAC",14,11.7858214707803
"68","Jordan","C","Dallas Mavericks","2019-03-10","MIN",2,13.4317337295488
"69","Jordan","C","Dallas Mavericks","2019-03-12","IND",12,15.6255932724133
"70","Jordan","C","Dallas Mavericks","2019-03-15","SAS",11,12.7273756150659
"71","Jordan","C","Dallas Mavericks","2019-03-17","LAL",15,12.6926566476654
"72","Jordan","C","Dallas Mavericks","2019-03-18","TOR",6,12.3557430800651
"73","Jordan","C","Dallas Mavericks","2019-03-20","UTA",6,13.3131212220895
