,Player,Team,Position,Date,Opp,Fantasy_Score,predictions_2019
1,Jusuf Nurkic,Portland Trail Blazers,C,18/10/2018,LAL,32,NA
2,Jusuf Nurkic,Portland Trail Blazers,C,20/10/2018,SAS,35,36.05421703
3,Jusuf Nurkic,Portland Trail Blazers,C,22/10/2018,WAS,33,33.64019741
4,Jusuf Nurkic,Portland Trail Blazers,C,25/10/2018,ORL,51,35.8782464
5,Jusuf Nurkic,Portland Trail Blazers,C,27/10/2018,MIA,52,33.38763054
6,Jusuf Nurkic,Portland Trail Blazers,C,29/10/2018,IND,20,33.77139064
7,Jusuf Nurkic,Portland Trail Blazers,C,30/10/2018,HOU,24,36.2818232
8,Jusuf Nurkic,Portland Trail Blazers,C,01/11/2018,NOP,34,32.86797133
9,Jusuf Nurkic,Portland Trail Blazers,C,03/11/2018,LAL,34,33.31765905
10,Jusuf Nurkic,Portland Trail Blazers,C,04/11/2018,MIN,20,34.97134261
11,Jusuf Nurkic,Portland Trail Blazers,C,06/11/2018,MIL,19,31.96977705
12,Jusuf Nurkic,Portland Trail Blazers,C,08/11/2018,LAC,31,34.59510546
13,Jusuf Nurkic,Portland Trail Blazers,C,11/11/2018,BOS,23,33.94752205
14,Jusuf Nurkic,Portland Trail Blazers,C,14/11/2018,LAL,37,33.95776123
15,Jusuf Nurkic,Portland Trail Blazers,C,16/11/2018,MIN,18,34.92951546
16,Jusuf Nurkic,Portland Trail Blazers,C,18/11/2018,WAS,46,34.78579459
17,Jusuf Nurkic,Portland Trail Blazers,C,20/11/2018,NYK,35,34.70172247
18,Jusuf Nurkic,Portland Trail Blazers,C,21/11/2018,MIL,24,35.42172306
19,Jusuf Nurkic,Portland Trail Blazers,C,23/11/2018,GSW,29,31.43687757
20,Jusuf Nurkic,Portland Trail Blazers,C,25/11/2018,LAC,36,34.91668105
21,Jusuf Nurkic,Portland Trail Blazers,C,28/11/2018,ORL,61,35.65426902
22,Jusuf Nurkic,Portland Trail Blazers,C,30/11/2018,DEN,21,34.35640627
23,Jusuf Nurkic,Portland Trail Blazers,C,02/12/2018,SAS,43,35.78426216
24,Jusuf Nurkic,Portland Trail Blazers,C,04/12/2018,DAL,37,36.21428613
25,Jusuf Nurkic,Portland Trail Blazers,C,06/12/2018,PHO,31,33.01698706
26,Jusuf Nurkic,Portland Trail Blazers,C,08/12/2018,MIN,36,32.57506173
27,Jusuf Nurkic,Portland Trail Blazers,C,11/12/2018,HOU,42,34.76200803
28,Jusuf Nurkic,Portland Trail Blazers,C,12/12/2018,MEM,16,34.49100229
29,Jusuf Nurkic,Portland Trail Blazers,C,14/12/2018,TOR,30,33.85276439
30,Jusuf Nurkic,Portland Trail Blazers,C,17/12/2018,LAC,51,31.66572539
31,Jusuf Nurkic,Portland Trail Blazers,C,19/12/2018,MEM,34,31.40268737
32,Jusuf Nurkic,Portland Trail Blazers,C,21/12/2018,UTA,27,33.71983834
33,Jusuf Nurkic,Portland Trail Blazers,C,23/12/2018,DAL,37,33.60158626
34,Jusuf Nurkic,Portland Trail Blazers,C,25/12/2018,UTA,24,36.89760546
35,Jusuf Nurkic,Portland Trail Blazers,C,27/12/2018,GSW,27,35.30705914
36,Jusuf Nurkic,Portland Trail Blazers,C,29/12/2018,GSW,52,37.87788669
37,Jusuf Nurkic,Portland Trail Blazers,C,30/12/2018,PHI,21,35.64780598
38,Jusuf Nurkic,Portland Trail Blazers,C,01/01/2019,SAC,27,34.58619419
39,Jusuf Nurkic,Portland Trail Blazers,C,04/01/2019,OKC,25,33.9489257
40,Jusuf Nurkic,Portland Trail Blazers,C,05/01/2019,HOU,21,36.64784298
41,Jusuf Nurkic,Portland Trail Blazers,C,07/01/2019,NYK,21,34.20260918
42,Jusuf Nurkic,Portland Trail Blazers,C,09/01/2019,CHI,20,32.87793908
43,Jusuf Nurkic,Portland Trail Blazers,C,11/01/2019,CHO,24,33.49268121
44,Jusuf Nurkic,Portland Trail Blazers,C,13/01/2019,DEN,30,31.67668416
45,Jusuf Nurkic,Portland Trail Blazers,C,14/01/2019,SAC,43,37.45650753
46,Jusuf Nurkic,Portland Trail Blazers,C,16/01/2019,CLE,41,36.35916104
47,Jusuf Nurkic,Portland Trail Blazers,C,18/01/2019,NOP,28,33.7422191
48,Jusuf Nurkic,Portland Trail Blazers,C,21/01/2019,UTA,28,33.93749728
49,Jusuf Nurkic,Portland Trail Blazers,C,22/01/2019,OKC,38,32.92325194
50,Jusuf Nurkic,Portland Trail Blazers,C,24/01/2019,PHO,26,34.61793839
52,Jusuf Nurkic,Portland Trail Blazers,C,30/01/2019,UTA,42,33.07092674
53,Jusuf Nurkic,Portland Trail Blazers,C,05/02/2019,MIA,17,36.91192705
54,Jusuf Nurkic,Portland Trail Blazers,C,07/02/2019,SAS,24,36.10980818
55,Jusuf Nurkic,Portland Trail Blazers,C,10/02/2019,DAL,42,34.42704585
56,Jusuf Nurkic,Portland Trail Blazers,C,11/02/2019,OKC,37,35.0451704
57,Jusuf Nurkic,Portland Trail Blazers,C,13/02/2019,GSW,41,34.76546041
58,Jusuf Nurkic,Portland Trail Blazers,C,21/02/2019,BRK,17,32.75725851
59,Jusuf Nurkic,Portland Trail Blazers,C,23/02/2019,PHI,19,35.06067888
60,Jusuf Nurkic,Portland Trail Blazers,C,25/02/2019,CLE,27,31.38909524
61,Jusuf Nurkic,Portland Trail Blazers,C,27/02/2019,BOS,39,32.48680354
62,Jusuf Nurkic,Portland Trail Blazers,C,01/03/2019,TOR,30,33.34289517
63,Jusuf Nurkic,Portland Trail Blazers,C,03/03/2019,CHO,31,31.12367219
64,Jusuf Nurkic,Portland Trail Blazers,C,05/03/2019,MEM,30,32.8137332
65,Jusuf Nurkic,Portland Trail Blazers,C,07/03/2019,OKC,57,33.6830916
66,Jusuf Nurkic,Portland Trail Blazers,C,09/03/2019,PHO,22,36.40274503
67,Jusuf Nurkic,Portland Trail Blazers,C,12/03/2019,LAC,26,34.90374274
68,Jusuf Nurkic,Portland Trail Blazers,C,15/03/2019,NOP,32,32.20282798
69,Jusuf Nurkic,Portland Trail Blazers,C,16/03/2019,SAS,40,32.62956127
70,Jusuf Nurkic,Portland Trail Blazers,C,18/03/2019,IND,38,34.57756965
71,Jusuf Nurkic,Portland Trail Blazers,C,20/03/2019,DAL,45,33.73394344
72,Jusuf Nurkic,Portland Trail Blazers,C,23/03/2019,DET,40,34.21830118
73,Jusuf Nurkic,Portland Trail Blazers,C,25/03/2019,BRK,39,32.7899919
74,Jusuf Nurkic,Portland Trail Blazers,C,27/03/2019,CHI,13,33.79859867
75,Jusuf Nurkic,Portland Trail Blazers,C,29/03/2019,ATL,44,32.22941054
76,Jusuf Nurkic,Portland Trail Blazers,C,30/03/2019,DET,29,34.98968146
77,Jusuf Nurkic,Portland Trail Blazers,C,01/04/2019,MIN,21,35.32427139
78,Jusuf Nurkic,Portland Trail Blazers,C,03/04/2019,MEM,24,33.47907888
79,Jusuf Nurkic,Portland Trail Blazers,C,05/04/2019,DEN,14,32.58499658
80,Jusuf Nurkic,Portland Trail Blazers,C,07/04/2019,DEN,40,35.40578286
