"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Kanter","C","New York Knicks","2018-10-17","ATL",16,NA
"2","Kanter","C","New York Knicks","2018-10-19","BRK",29,15.4269180822216
"3","Kanter","C","New York Knicks","2018-10-20","BOS",19,15.4306138744671
"4","Kanter","C","New York Knicks","2018-10-22","MIL",14,14.9810098159748
"5","Kanter","C","New York Knicks","2018-10-24","MIA",8,15.3066989118614
"6","Kanter","C","New York Knicks","2018-10-26","GSW",8,14.7006312708604
"7","Kanter","C","New York Knicks","2018-10-29","BRK",15,14.4180778783883
"8","Kanter","C","New York Knicks","2018-10-31","IND",7,14.7905422052209
"9","Kanter","C","New York Knicks","2018-11-02","DAL",13,13.1315147374338
"10","Kanter","C","New York Knicks","2018-11-04","WAS",18,15.7825823009101
"11","Kanter","C","New York Knicks","2018-11-05","CHI",23,14.1905646254974
"12","Kanter","C","New York Knicks","2018-11-07","ATL",17,15.5702213421322
"13","Kanter","C","New York Knicks","2018-11-10","TOR",15,14.6482895130532
"14","Kanter","C","New York Knicks","2018-11-11","ORL",16,13.9370965493072
"15","Kanter","C","New York Knicks","2018-11-14","OKC",21,14.560210614076
"16","Kanter","C","New York Knicks","2018-11-16","NOP",8,13.9487386449001
"17","Kanter","C","New York Knicks","2018-11-18","ORL",21,12.952056575635
"18","Kanter","C","New York Knicks","2018-11-20","POR",9,14.6034090575664
"19","Kanter","C","New York Knicks","2018-11-21","BOS",10,15.4129822279053
"20","Kanter","C","New York Knicks","2018-11-23","NOP",17,13.6784084943333
"21","Kanter","C","New York Knicks","2018-11-25","MEM",21,15.5964817547549
"22","Kanter","C","New York Knicks","2018-11-27","DET",16,14.5815414611273
"23","Kanter","C","New York Knicks","2018-11-28","PHI",17,16.9721903712171
"24","Kanter","C","New York Knicks","2018-12-01","MIL",8,14.4276209157728
"25","Kanter","C","New York Knicks","2018-12-03","WAS",13,14.4450865535636
"26","Kanter","C","New York Knicks","2018-12-06","BOS",14,14.8243414784819
"27","Kanter","C","New York Knicks","2018-12-08","BRK",23,13.8823209188342
"28","Kanter","C","New York Knicks","2018-12-09","CHO",6,16.5736808073759
"29","Kanter","C","New York Knicks","2018-12-12","CLE",22,14.2843452577855
"30","Kanter","C","New York Knicks","2018-12-14","CHO",15,15.2099604097848
"31","Kanter","C","New York Knicks","2018-12-16","IND",22,14.3963329740354
"32","Kanter","C","New York Knicks","2018-12-17","PHO",13,15.1305886416258
"33","Kanter","C","New York Knicks","2018-12-19","PHI",15,15.4568241361934
"34","Kanter","C","New York Knicks","2018-12-21","ATL",10,14.5960752477598
"35","Kanter","C","New York Knicks","2018-12-25","MIL",14,15.6319008346837
"36","Kanter","C","New York Knicks","2018-12-27","MIL",8,14.7864696953132
"37","Kanter","C","New York Knicks","2018-12-29","UTA",0,14.7173512626152
"38","Kanter","C","New York Knicks","2019-01-01","DEN",17,16.6267091017284
"39","Kanter","C","New York Knicks","2019-01-04","LAL",18,14.034366651509
"40","Kanter","C","New York Knicks","2019-01-07","POR",18,16.671506472036
"41","Kanter","C","New York Knicks","2019-01-08","GSW",12,13.867071325606
"45","Kanter","C","New York Knicks","2019-01-21","OKC",11,15.1855119723179
"50","Kanter","C","New York Knicks","2019-01-30","DAL",5,14.6005872143726
"51","Kanter","C","New York Knicks","2019-02-01","BOS",6,13.9879340161767
"55","Kanter","C","New York Knicks","2019-02-21","BRK",18,13.6120787082127
"56","Kanter","C","New York Knicks","2019-02-23","PHI",16,16.1151433320984
"57","Kanter","C","New York Knicks","2019-02-25","CLE",9,15.1204879920553
"58","Kanter","C","New York Knicks","2019-02-27","BOS",8,13.9581326848227
"60","Kanter","C","New York Knicks","2019-03-03","CHO",6,14.0751181340082
"61","Kanter","C","New York Knicks","2019-03-05","MEM",11,13.4569011181739
"62","Kanter","C","New York Knicks","2019-03-07","OKC",3,13.7824923608002
"63","Kanter","C","New York Knicks","2019-03-09","PHO",12,15.0252082908282
"64","Kanter","C","New York Knicks","2019-03-12","LAC",14,14.5521435216729
"65","Kanter","C","New York Knicks","2019-03-15","NOP",17,13.2582699914131
"66","Kanter","C","New York Knicks","2019-03-16","SAS",0,14.2336910258922
"67","Kanter","C","New York Knicks","2019-03-18","IND",6,15.0050538090344
"68","Kanter","C","New York Knicks","2019-03-20","DAL",14,14.6138553571465
"69","Kanter","C","New York Knicks","2019-03-23","DET",10,15.2656585532833
"70","Kanter","C","New York Knicks","2019-03-25","BRK",16,15.517354369278
"71","Kanter","C","New York Knicks","2019-03-27","CHI",13,14.1829299796589
"72","Kanter","C","New York Knicks","2019-03-29","ATL",14,14.0129388184987
"73","Kanter","C","New York Knicks","2019-03-30","DET",20,15.620070470792
"74","Kanter","C","New York Knicks","2019-04-01","MIN",20,15.1405621367604
"75","Kanter","C","New York Knicks","2019-04-03","MEM",21,16.584599213165
"76","Kanter","C","New York Knicks","2019-04-05","DEN",24,15.740835974211
"77","Kanter","C","New York Knicks","2019-04-07","DEN",11,15.4395211663891
