,Player,Team,Position,Date,Opp,Fantasy_Score,predictions_2019
1,Karl-Anthony Towns,Minnesota Timberwolves,C,17/10/2018,SAS,10,NA
2,Karl-Anthony Towns,Minnesota Timberwolves,C,19/10/2018,CLE,16,22.12637045
3,Karl-Anthony Towns,Minnesota Timberwolves,C,20/10/2018,DAL,39,21.45659858
4,Karl-Anthony Towns,Minnesota Timberwolves,C,22/10/2018,IND,19,20.47509583
5,Karl-Anthony Towns,Minnesota Timberwolves,C,24/10/2018,TOR,16,20.430765
6,Karl-Anthony Towns,Minnesota Timberwolves,C,26/10/2018,MIL,20,20.95141378
7,Karl-Anthony Towns,Minnesota Timberwolves,C,29/10/2018,LAL,31,19.5339669
8,Karl-Anthony Towns,Minnesota Timberwolves,C,31/10/2018,UTA,36,22.42816106
9,Karl-Anthony Towns,Minnesota Timberwolves,C,02/11/2018,GSW,17,21.94263301
10,Karl-Anthony Towns,Minnesota Timberwolves,C,04/11/2018,POR,27,21.19366417
11,Karl-Anthony Towns,Minnesota Timberwolves,C,05/11/2018,LAC,22,19.54863335
12,Karl-Anthony Towns,Minnesota Timberwolves,C,07/11/2018,LAL,15,20.33595164
13,Karl-Anthony Towns,Minnesota Timberwolves,C,09/11/2018,SAC,43,22.25060354
14,Karl-Anthony Towns,Minnesota Timberwolves,C,12/11/2018,BRK,29,21.02179719
15,Karl-Anthony Towns,Minnesota Timberwolves,C,14/11/2018,NOP,29,20.50396481
16,Karl-Anthony Towns,Minnesota Timberwolves,C,16/11/2018,POR,18,22.63061069
17,Karl-Anthony Towns,Minnesota Timberwolves,C,18/11/2018,MEM,17,20.82927196
18,Karl-Anthony Towns,Minnesota Timberwolves,C,21/11/2018,DEN,24,21.80223773
19,Karl-Anthony Towns,Minnesota Timberwolves,C,23/11/2018,BRK,23,19.39988082
20,Karl-Anthony Towns,Minnesota Timberwolves,C,24/11/2018,CHI,37,21.80806724
21,Karl-Anthony Towns,Minnesota Timberwolves,C,26/11/2018,CLE,25,24.47813994
22,Karl-Anthony Towns,Minnesota Timberwolves,C,28/11/2018,SAS,20,22.21615758
23,Karl-Anthony Towns,Minnesota Timberwolves,C,01/12/2018,BOS,24,22.3882769
24,Karl-Anthony Towns,Minnesota Timberwolves,C,03/12/2018,HOU,26,20.13484017
25,Karl-Anthony Towns,Minnesota Timberwolves,C,05/12/2018,CHO,43,22.09372888
26,Karl-Anthony Towns,Minnesota Timberwolves,C,08/12/2018,POR,23,21.47937331
27,Karl-Anthony Towns,Minnesota Timberwolves,C,10/12/2018,GSW,33,19.99870597
28,Karl-Anthony Towns,Minnesota Timberwolves,C,12/12/2018,SAC,23,22.30046634
29,Karl-Anthony Towns,Minnesota Timberwolves,C,15/12/2018,PHO,30,22.22293027
30,Karl-Anthony Towns,Minnesota Timberwolves,C,17/12/2018,SAC,18,23.24434752
31,Karl-Anthony Towns,Minnesota Timberwolves,C,19/12/2018,DET,16,22.10070908
32,Karl-Anthony Towns,Minnesota Timberwolves,C,21/12/2018,SAS,15,22.19316816
33,Karl-Anthony Towns,Minnesota Timberwolves,C,23/12/2018,OKC,22,21.35549536
34,Karl-Anthony Towns,Minnesota Timberwolves,C,26/12/2018,CHI,24,23.05547879
35,Karl-Anthony Towns,Minnesota Timberwolves,C,28/12/2018,ATL,33,24.87826504
36,Karl-Anthony Towns,Minnesota Timberwolves,C,30/12/2018,MIA,40,23.39105156
37,Karl-Anthony Towns,Minnesota Timberwolves,C,31/12/2018,NOP,32,20.25364428
38,Karl-Anthony Towns,Minnesota Timberwolves,C,02/01/2019,BOS,30,24.01089978
39,Karl-Anthony Towns,Minnesota Timberwolves,C,04/01/2019,ORL,31,21.82781518
40,Karl-Anthony Towns,Minnesota Timberwolves,C,06/01/2019,LAL,30,18.92318806
41,Karl-Anthony Towns,Minnesota Timberwolves,C,08/01/2019,OKC,24,21.47684355
42,Karl-Anthony Towns,Minnesota Timberwolves,C,11/01/2019,DAL,32,21.96596158
43,Karl-Anthony Towns,Minnesota Timberwolves,C,12/01/2019,NOP,33,21.66388323
44,Karl-Anthony Towns,Minnesota Timberwolves,C,15/01/2019,PHI,17,24.07748332
45,Karl-Anthony Towns,Minnesota Timberwolves,C,18/01/2019,SAS,25,21.43704911
46,Karl-Anthony Towns,Minnesota Timberwolves,C,20/01/2019,PHO,32,19.43661567
47,Karl-Anthony Towns,Minnesota Timberwolves,C,22/01/2019,PHO,29,22.75947883
48,Karl-Anthony Towns,Minnesota Timberwolves,C,24/01/2019,LAL,33,21.52192166
49,Karl-Anthony Towns,Minnesota Timberwolves,C,25/01/2019,UTA,37,22.59223826
50,Karl-Anthony Towns,Minnesota Timberwolves,C,27/01/2019,UTA,28,21.26445764
51,Karl-Anthony Towns,Minnesota Timberwolves,C,30/01/2019,MEM,16,21.71891505
52,Karl-Anthony Towns,Minnesota Timberwolves,C,02/02/2019,DEN,35,22.97432195
53,Karl-Anthony Towns,Minnesota Timberwolves,C,05/02/2019,MEM,26,21.8229658
54,Karl-Anthony Towns,Minnesota Timberwolves,C,07/02/2019,ORL,31,22.60942913
55,Karl-Anthony Towns,Minnesota Timberwolves,C,08/02/2019,NOP,40,21.92598442
56,Karl-Anthony Towns,Minnesota Timberwolves,C,11/02/2019,LAC,24,20.78731963
57,Karl-Anthony Towns,Minnesota Timberwolves,C,13/02/2019,HOU,31,19.97006776
60,Karl-Anthony Towns,Minnesota Timberwolves,C,25/02/2019,SAC,40,23.4127523
61,Karl-Anthony Towns,Minnesota Timberwolves,C,27/02/2019,ATL,47,25.64662967
62,Karl-Anthony Towns,Minnesota Timberwolves,C,28/02/2019,IND,48,19.44717093
63,Karl-Anthony Towns,Minnesota Timberwolves,C,03/03/2019,WAS,32,21.6580132
64,Karl-Anthony Towns,Minnesota Timberwolves,C,05/03/2019,OKC,47,22.19034355
65,Karl-Anthony Towns,Minnesota Timberwolves,C,06/03/2019,DET,30,21.90099534
66,Karl-Anthony Towns,Minnesota Timberwolves,C,09/03/2019,WAS,48,21.02771517
68,Karl-Anthony Towns,Minnesota Timberwolves,C,12/03/2019,DEN,38,21.73567986
69,Karl-Anthony Towns,Minnesota Timberwolves,C,14/03/2019,UTA,32,21.58502312
70,Karl-Anthony Towns,Minnesota Timberwolves,C,17/03/2019,HOU,26,22.05501437
71,Karl-Anthony Towns,Minnesota Timberwolves,C,19/03/2019,GSW,30,22.63101969
72,Karl-Anthony Towns,Minnesota Timberwolves,C,21/03/2019,CHO,25,22.39188363
73,Karl-Anthony Towns,Minnesota Timberwolves,C,23/03/2019,MEM,41,21.40675319
74,Karl-Anthony Towns,Minnesota Timberwolves,C,26/03/2019,LAC,28,22.6332553
75,Karl-Anthony Towns,Minnesota Timberwolves,C,29/03/2019,GSW,15,19.90938147
76,Karl-Anthony Towns,Minnesota Timberwolves,C,30/03/2019,PHI,21,23.4907769
77,Karl-Anthony Towns,Minnesota Timberwolves,C,01/04/2019,POR,19,20.3980586
78,Karl-Anthony Towns,Minnesota Timberwolves,C,03/04/2019,DAL,28,22.10632651
79,Karl-Anthony Towns,Minnesota Timberwolves,C,05/04/2019,MIA,15,21.56860536
