"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"27","Knight","PG","Cleveland Cavaliers","2018-12-13","LAL",0,NA
"28","Knight","PG","Cleveland Cavaliers","2018-12-15","MEM",0,10.1923378440714
"29","Knight","PG","Cleveland Cavaliers","2018-12-17","UTA",5,10.6849964831005
"30","Knight","PG","Cleveland Cavaliers","2018-12-19","WAS",2,10.564329780542
"31","Knight","PG","Cleveland Cavaliers","2018-12-20","MIA",5,11.5919431138017
"32","Knight","PG","Cleveland Cavaliers","2018-12-22","SAS",0,12.1491664104857
"36","Knight","PG","Cleveland Cavaliers","2018-12-31","MEM",1,11.6318280216548
"37","Knight","PG","Cleveland Cavaliers","2019-01-03","GSW",7,10.4126126191329
"38","Knight","PG","Cleveland Cavaliers","2019-01-05","POR",9,11.5013729467932
"39","Knight","PG","Cleveland Cavaliers","2019-01-07","DEN",0,12.0190234285606
"40","Knight","PG","Cleveland Cavaliers","2019-01-09","MIL",5,11.238158697918
"41","Knight","PG","Cleveland Cavaliers","2019-01-11","CLE",12,10.721365430921
"56","Knight","PG","Cleveland Cavaliers","2019-02-09","IND",15,14.5949164483803
"57","Knight","PG","Cleveland Cavaliers","2019-02-11","NYK",15,12.6274565381354
"58","Knight","PG","Cleveland Cavaliers","2019-02-13","BRK",6,13.1314707466386
"59","Knight","PG","Cleveland Cavaliers","2019-02-21","PHO",11,12.9301926253346
"60","Knight","PG","Cleveland Cavaliers","2019-02-23","MEM",4,13.3451908305006
"61","Knight","PG","Cleveland Cavaliers","2019-02-25","POR",4,12.1375264420182
"62","Knight","PG","Cleveland Cavaliers","2019-02-28","NYK",13,12.4738776781444
"63","Knight","PG","Cleveland Cavaliers","2019-03-02","DET",16,12.1696408113485
"64","Knight","PG","Cleveland Cavaliers","2019-03-03","ORL",2,11.7216547932436
"65","Knight","PG","Cleveland Cavaliers","2019-03-06","BRK",6,11.3238688225828
"66","Knight","PG","Cleveland Cavaliers","2019-03-08","MIA",21,12.0792127627257
"67","Knight","PG","Cleveland Cavaliers","2019-03-11","TOR",16,12.3401374319927
"68","Knight","PG","Cleveland Cavaliers","2019-03-12","PHI",13,12.362542504969
"69","Knight","PG","Cleveland Cavaliers","2019-03-14","ORL",14,12.0873878676287
"70","Knight","PG","Cleveland Cavaliers","2019-03-16","DAL",7,11.3185689449786
"71","Knight","PG","Cleveland Cavaliers","2019-03-18","DET",20,11.8776111975504
"72","Knight","PG","Cleveland Cavaliers","2019-03-20","MIL",17,12.6076860799014
"73","Knight","PG","Cleveland Cavaliers","2019-03-22","LAC",9,12.8334929177758
"74","Knight","PG","Cleveland Cavaliers","2019-03-24","MIL",2,13.157242048892
"75","Knight","PG","Cleveland Cavaliers","2019-03-26","BOS",7,12.4711028486195
"76","Knight","PG","Cleveland Cavaliers","2019-03-28","SAS",18,12.1678071793475
"77","Knight","PG","Cleveland Cavaliers","2019-03-30","LAC",6,11.0481432971646
"78","Knight","PG","Cleveland Cavaliers","2019-04-01","PHO",14,12.811115686325
"79","Knight","PG","Cleveland Cavaliers","2019-04-04","SAC",7,11.8773290542071
"80","Knight","PG","Cleveland Cavaliers","2019-04-05","GSW",6,14.0850266020104
"81","Knight","PG","Cleveland Cavaliers","2019-04-07","SAS",18,12.9479967876699
