"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Kuzma","F","Los Angeles Lakers","2018-10-18","POR",17,NA
"2","Kuzma","F","Los Angeles Lakers","2018-10-20","HOU",13,18.1565892595737
"3","Kuzma","F","Los Angeles Lakers","2018-10-22","SAS",45,17.4028278450508
"4","Kuzma","F","Los Angeles Lakers","2018-10-24","PHO",17,20.549378054194
"5","Kuzma","F","Los Angeles Lakers","2018-10-25","DEN",26,17.6789143117059
"6","Kuzma","F","Los Angeles Lakers","2018-10-27","SAS",21,17.6588945000804
"7","Kuzma","F","Los Angeles Lakers","2018-10-29","MIN",23,18.7511502514469
"8","Kuzma","F","Los Angeles Lakers","2018-10-31","DAL",20,18.7211463643754
"9","Kuzma","F","Los Angeles Lakers","2018-11-03","POR",14,21.1159867951091
"10","Kuzma","F","Los Angeles Lakers","2018-11-04","TOR",24,17.2820090034563
"11","Kuzma","F","Los Angeles Lakers","2018-11-07","MIN",29,18.6718810694895
"12","Kuzma","F","Los Angeles Lakers","2018-11-10","SAC",13,18.3374710684467
"13","Kuzma","F","Los Angeles Lakers","2018-11-11","ATL",20,19.9875484197004
"14","Kuzma","F","Los Angeles Lakers","2018-11-14","POR",9,17.0557669593593
"15","Kuzma","F","Los Angeles Lakers","2018-11-17","ORL",10,16.9756961122625
"16","Kuzma","F","Los Angeles Lakers","2018-11-18","MIA",17,14.7617377385285
"17","Kuzma","F","Los Angeles Lakers","2018-11-21","CLE",16,20.3119738846906
"18","Kuzma","F","Los Angeles Lakers","2018-11-23","UTA",11,18.1830972078989
"19","Kuzma","F","Los Angeles Lakers","2018-11-25","ORL",25,16.5279148269372
"20","Kuzma","F","Los Angeles Lakers","2018-11-27","DEN",23,20.2449275688091
"21","Kuzma","F","Los Angeles Lakers","2018-11-29","IND",13,19.1912020599055
"22","Kuzma","F","Los Angeles Lakers","2018-11-30","DAL",21,19.335268045803
"23","Kuzma","F","Los Angeles Lakers","2018-12-02","PHO",29,20.3114682335365
"24","Kuzma","F","Los Angeles Lakers","2018-12-05","SAS",28,20.0577885559613
"25","Kuzma","F","Los Angeles Lakers","2018-12-07","SAS",31,20.2733444440133
"26","Kuzma","F","Los Angeles Lakers","2018-12-08","MEM",28,19.4201436450988
"27","Kuzma","F","Los Angeles Lakers","2018-12-10","MIA",39,18.6540059009217
"28","Kuzma","F","Los Angeles Lakers","2018-12-13","HOU",26,20.5056147508449
"29","Kuzma","F","Los Angeles Lakers","2018-12-15","CHO",18,16.1271633675693
"30","Kuzma","F","Los Angeles Lakers","2018-12-16","WAS",20,17.3484851654436
"31","Kuzma","F","Los Angeles Lakers","2018-12-18","BRK",26,17.2310312046341
"32","Kuzma","F","Los Angeles Lakers","2018-12-21","NOP",29,17.9489850578071
"33","Kuzma","F","Los Angeles Lakers","2018-12-23","MEM",15,18.6666490173094
"34","Kuzma","F","Los Angeles Lakers","2018-12-25","GSW",23,19.9212448134122
"35","Kuzma","F","Los Angeles Lakers","2018-12-27","SAC",37,19.202147569139
"36","Kuzma","F","Los Angeles Lakers","2018-12-28","LAC",24,19.4568808190863
"37","Kuzma","F","Los Angeles Lakers","2018-12-30","SAC",26,17.663205978639
"38","Kuzma","F","Los Angeles Lakers","2019-01-02","OKC",4,19.2623703211863
"41","Kuzma","F","Los Angeles Lakers","2019-01-07","DAL",17,17.0732894221791
"42","Kuzma","F","Los Angeles Lakers","2019-01-09","DET",51,19.9297954192694
"43","Kuzma","F","Los Angeles Lakers","2019-01-11","UTA",11,19.9792944506201
"44","Kuzma","F","Los Angeles Lakers","2019-01-13","CLE",33,16.6320745700149
"45","Kuzma","F","Los Angeles Lakers","2019-01-15","CHI",18,20.8881013457001
"46","Kuzma","F","Los Angeles Lakers","2019-01-17","OKC",46,16.8150629362296
"47","Kuzma","F","Los Angeles Lakers","2019-01-19","HOU",40,18.7283200316208
"48","Kuzma","F","Los Angeles Lakers","2019-01-21","GSW",16,20.7514861181486
"49","Kuzma","F","Los Angeles Lakers","2019-01-24","MIN",10,16.5774731352354
"52","Kuzma","F","Los Angeles Lakers","2019-01-31","LAC",14,17.3632497414723
"53","Kuzma","F","Los Angeles Lakers","2019-02-02","GSW",15,20.8576700225941
"54","Kuzma","F","Los Angeles Lakers","2019-02-05","IND",12,19.6791616277886
"55","Kuzma","F","Los Angeles Lakers","2019-02-07","BOS",35,16.3585342501009
"56","Kuzma","F","Los Angeles Lakers","2019-02-10","PHI",49,18.5791905133137
"57","Kuzma","F","Los Angeles Lakers","2019-02-12","ATL",25,20.0239897701154
"58","Kuzma","F","Los Angeles Lakers","2019-02-21","HOU",22,18.6303505927723
"59","Kuzma","F","Los Angeles Lakers","2019-02-23","NOP",18,18.704292502654
"60","Kuzma","F","Los Angeles Lakers","2019-02-25","MEM",26,18.956513120826
"61","Kuzma","F","Los Angeles Lakers","2019-02-27","NOP",22,21.0227998571387
"62","Kuzma","F","Los Angeles Lakers","2019-03-01","MIL",14,19.4275221537006
"63","Kuzma","F","Los Angeles Lakers","2019-03-02","PHO",13,18.2132754205747
"64","Kuzma","F","Los Angeles Lakers","2019-03-04","LAC",15,17.6069526816693
"67","Kuzma","F","Los Angeles Lakers","2019-03-12","CHI",25,17.5201728596939
"68","Kuzma","F","Los Angeles Lakers","2019-03-14","TOR",7,19.0150387645621
"69","Kuzma","F","Los Angeles Lakers","2019-03-15","DET",12,18.062563735207
"70","Kuzma","F","Los Angeles Lakers","2019-03-17","NYK",18,17.9056228992456
"71","Kuzma","F","Los Angeles Lakers","2019-03-19","MIL",21,18.4930213853685
"72","Kuzma","F","Los Angeles Lakers","2019-03-22","BRK",24,18.0619581954538
"73","Kuzma","F","Los Angeles Lakers","2019-03-24","SAC",39,16.2977754264112
"74","Kuzma","F","Los Angeles Lakers","2019-03-26","WAS",17,19.4849692258763
"75","Kuzma","F","Los Angeles Lakers","2019-03-27","UTA",25,17.020675321465
