"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Lamb","F","Charlotte Hornets","2018-10-17","MIL",14,NA
"2","Lamb","F","Charlotte Hornets","2018-10-19","ORL",8,15.6960321076361
"3","Lamb","F","Charlotte Hornets","2018-10-20","MIA",16,18.9723119344708
"4","Lamb","F","Charlotte Hornets","2018-10-22","TOR",18,17.1703031712437
"5","Lamb","F","Charlotte Hornets","2018-10-24","CHI",16,15.7835044826773
"6","Lamb","F","Charlotte Hornets","2018-10-26","CHI",14,16.2599552496732
"7","Lamb","F","Charlotte Hornets","2018-10-27","PHI",14,15.7057424664895
"8","Lamb","F","Charlotte Hornets","2018-10-30","MIA",9,13.9578117712092
"9","Lamb","F","Charlotte Hornets","2018-11-01","OKC",15,17.8118031006146
"10","Lamb","F","Charlotte Hornets","2018-11-03","CLE",19,16.0997737223681
"11","Lamb","F","Charlotte Hornets","2018-11-06","ATL",17,17.4146768009081
"12","Lamb","F","Charlotte Hornets","2018-11-09","PHI",23,14.5537937719951
"13","Lamb","F","Charlotte Hornets","2018-11-11","DET",14,14.8500937209371
"14","Lamb","F","Charlotte Hornets","2018-11-13","CLE",24,18.1487861730976
"15","Lamb","F","Charlotte Hornets","2018-11-17","PHI",22,17.8387110777423
"16","Lamb","F","Charlotte Hornets","2018-11-19","BOS",18,16.7630325947613
"17","Lamb","F","Charlotte Hornets","2018-11-21","IND",31,17.3103508859733
"18","Lamb","F","Charlotte Hornets","2018-11-23","OKC",18,16.789322479107
"19","Lamb","F","Charlotte Hornets","2018-11-25","ATL",17,18.0353126351887
"20","Lamb","F","Charlotte Hornets","2018-11-26","MIL",25,17.7286303482843
"21","Lamb","F","Charlotte Hornets","2018-11-28","ATL",24,18.4211146037485
"22","Lamb","F","Charlotte Hornets","2018-11-30","UTA",28,17.3002539348852
"23","Lamb","F","Charlotte Hornets","2018-12-02","NOP",13,16.1279698967012
"24","Lamb","F","Charlotte Hornets","2018-12-05","MIN",22,17.7113162465106
"25","Lamb","F","Charlotte Hornets","2018-12-07","DEN",9,18.0418924109685
"26","Lamb","F","Charlotte Hornets","2018-12-09","NYK",21,16.4483425594014
"27","Lamb","F","Charlotte Hornets","2018-12-12","DET",13,18.0761667252633
"28","Lamb","F","Charlotte Hornets","2018-12-14","NYK",18,13.9390943859113
"29","Lamb","F","Charlotte Hornets","2018-12-15","LAL",14,18.7059721202169
"30","Lamb","F","Charlotte Hornets","2018-12-19","CLE",22,14.9335169332986
"31","Lamb","F","Charlotte Hornets","2018-12-21","DET",13,15.9920918529392
"32","Lamb","F","Charlotte Hornets","2018-12-23","BOS",16,17.0436178639469
"33","Lamb","F","Charlotte Hornets","2018-12-26","BRK",37,15.7764080368459
"34","Lamb","F","Charlotte Hornets","2018-12-28","BRK",21,18.3317065803993
"35","Lamb","F","Charlotte Hornets","2018-12-29","WAS",15,18.4344878729629
"36","Lamb","F","Charlotte Hornets","2018-12-31","ORL",9,16.4409477118767
"40","Lamb","F","Charlotte Hornets","2019-01-08","LAC",18,16.0224946984388
"41","Lamb","F","Charlotte Hornets","2019-01-11","POR",15,16.5980403188315
"42","Lamb","F","Charlotte Hornets","2019-01-12","SAC",9,17.4787364611518
"43","Lamb","F","Charlotte Hornets","2019-01-14","SAS",21,18.2960779220779
"44","Lamb","F","Charlotte Hornets","2019-01-17","SAC",18,18.4455005838884
"45","Lamb","F","Charlotte Hornets","2019-01-19","PHO",28,15.6021808485752
"46","Lamb","F","Charlotte Hornets","2019-01-20","IND",14,18.0784797650272
"47","Lamb","F","Charlotte Hornets","2019-01-23","MEM",19,17.2735258442707
"48","Lamb","F","Charlotte Hornets","2019-01-25","MIL",18,17.4506268291048
"49","Lamb","F","Charlotte Hornets","2019-01-28","NYK",17,15.2651040719769
"50","Lamb","F","Charlotte Hornets","2019-01-30","BOS",10,17.8989244964702
"51","Lamb","F","Charlotte Hornets","2019-02-01","MEM",6,19.0800906926407
"52","Lamb","F","Charlotte Hornets","2019-02-02","CHI",15,16.7371710960179
"53","Lamb","F","Charlotte Hornets","2019-02-05","LAC",24,16.9579972912828
"54","Lamb","F","Charlotte Hornets","2019-02-06","DAL",15,16.2632343655656
"55","Lamb","F","Charlotte Hornets","2019-02-09","ATL",32,16.7676962300253
"56","Lamb","F","Charlotte Hornets","2019-02-11","IND",23,17.3865723884475
