,Player,Position,Team,Date,Opp,Fantasy_Score,predictions_2019
1,Lee,SG,Dallas Mavericks,16-10-18,PHI,25,NA
2,Lee,SG,Dallas Mavericks,19-10-18,TOR,20,13.658
3,Lee,SG,Dallas Mavericks,20-10-18,NYK,28,12.572625
4,Lee,SG,Dallas Mavericks,22-10-18,ORL,7,11.30195833
5,Lee,SG,Dallas Mavericks,25-10-18,OKC,26,15.51733333
6,Lee,SG,Dallas Mavericks,27-10-18,DET,8,9.638791667
7,Lee,SG,Dallas Mavericks,30-10-18,DET,18,16.45658333
8,Lee,SG,Dallas Mavericks,01-11-18,MIL,16,16.96679167
9,Lee,SG,Dallas Mavericks,03-11-18,IND,22,13.85329167
10,Lee,SG,Dallas Mavericks,05-11-18,DEN,17,15.691
11,Lee,SG,Dallas Mavericks,08-11-18,PHO,4,15.98033333
12,Lee,SG,Dallas Mavericks,09-11-18,UTA,25,16.30908333
13,Lee,SG,Dallas Mavericks,11-11-18,POR,37,19.81770833
14,Lee,SG,Dallas Mavericks,14-11-18,CHI,22,13.26191667
15,Lee,SG,Dallas Mavericks,16-11-18,TOR,25,10.29316667
16,Lee,SG,Dallas Mavericks,17-11-18,UTA,10,14.351125
17,Lee,SG,Dallas Mavericks,19-11-18,CHO,22,12.10425
18,Lee,SG,Dallas Mavericks,21-11-18,NYK,17,13.18820833
19,Lee,SG,Dallas Mavericks,23-11-18,ATL,18,12.17770833
20,Lee,SG,Dallas Mavericks,24-11-18,DAL,27,17.06575
21,Lee,SG,Dallas Mavericks,26-11-18,NOP,24,13.13045833
22,Lee,SG,Dallas Mavericks,30-11-18,CLE,15,18.30116667
23,Lee,SG,Dallas Mavericks,01-12-18,MIN,25,13.54433333
24,Lee,SG,Dallas Mavericks,06-12-18,NYK,23,13.003
25,Lee,SG,Dallas Mavericks,08-12-18,CHI,26,14.45875
26,Lee,SG,Dallas Mavericks,10-12-18,NOP,23,12.380625
27,Lee,SG,Dallas Mavericks,12-12-18,WAS,12,12.98816667
28,Lee,SG,Dallas Mavericks,14-12-18,ATL,26,13.467375
29,Lee,SG,Dallas Mavericks,15-12-18,DET,17,12.57754167
30,Lee,SG,Dallas Mavericks,19-12-18,PHO,22,17.215625
31,Lee,SG,Dallas Mavericks,21-12-18,MIL,26,11.31408333
32,Lee,SG,Dallas Mavericks,23-12-18,CHO,23,12.93254167
33,Lee,SG,Dallas Mavericks,25-12-18,PHI,25,16.55229167
