"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Leonard","F","Toronto Raptors","2018-10-17","CLE",26,NA
"2","Leonard","F","Toronto Raptors","2018-10-19","BOS",35,22.4019166666667
"4","Leonard","F","Toronto Raptors","2018-10-22","CHO",30,22.4448333333333
"5","Leonard","F","Toronto Raptors","2018-10-24","MIN",39,20.5650416666667
"6","Leonard","F","Toronto Raptors","2018-10-26","DAL",23,22.5025416666667
"8","Leonard","F","Toronto Raptors","2018-10-30","PHI",35,21.328375
"9","Leonard","F","Toronto Raptors","2018-11-02","PHO",21,22.12775
"12","Leonard","F","Toronto Raptors","2018-11-07","SAC",29,21.5950416666667
"13","Leonard","F","Toronto Raptors","2018-11-10","NYK",12,21.8456666666667
"14","Leonard","F","Toronto Raptors","2018-11-12","NOP",22,21.4956666666667
"15","Leonard","F","Toronto Raptors","2018-11-14","DET",26,21.9506666666667
"16","Leonard","F","Toronto Raptors","2018-11-16","BOS",31,23.259
"18","Leonard","F","Toronto Raptors","2018-11-20","ORL",20,21.71525
"20","Leonard","F","Toronto Raptors","2018-11-23","WAS",29,21.4625416666667
"21","Leonard","F","Toronto Raptors","2018-11-25","MIA",35,22.450875
"22","Leonard","F","Toronto Raptors","2018-11-27","MEM",19,21.883375
"23","Leonard","F","Toronto Raptors","2018-11-29","GSW",43,23.184625
"24","Leonard","F","Toronto Raptors","2018-12-01","CLE",40,21.8779583333333
"25","Leonard","F","Toronto Raptors","2018-12-03","DEN",29,22.4585833333333
"26","Leonard","F","Toronto Raptors","2018-12-05","PHI",46,22.62025
"27","Leonard","F","Toronto Raptors","2018-12-07","BRK",42,21.2417083333333
"28","Leonard","F","Toronto Raptors","2018-12-09","MIL",22,22.9065
"31","Leonard","F","Toronto Raptors","2018-12-14","POR",36,21.4285833333333
"32","Leonard","F","Toronto Raptors","2018-12-16","DEN",31,22.115875
"33","Leonard","F","Toronto Raptors","2018-12-19","IND",28,21.86275
"34","Leonard","F","Toronto Raptors","2018-12-21","CLE",41,23.238375
"36","Leonard","F","Toronto Raptors","2018-12-26","MIA",34,21.863375
"37","Leonard","F","Toronto Raptors","2018-12-28","ORL",25,21.0060833333333
"38","Leonard","F","Toronto Raptors","2018-12-30","CHI",29,21.1410833333333
"39","Leonard","F","Toronto Raptors","2019-01-01","UTA",45,19.9519166666667
"40","Leonard","F","Toronto Raptors","2019-01-03","SAS",21,22.349
"41","Leonard","F","Toronto Raptors","2019-01-05","MIL",34,23.0950416666667
"43","Leonard","F","Toronto Raptors","2019-01-08","ATL",37,21.7306666666667
"44","Leonard","F","Toronto Raptors","2019-01-11","BRK",24,22.6144166666667
"45","Leonard","F","Toronto Raptors","2019-01-13","WAS",47,20.4167083333333
"46","Leonard","F","Toronto Raptors","2019-01-16","BOS",37,22.6637916666667
"51","Leonard","F","Toronto Raptors","2019-01-25","HOU",38,21.5065
"52","Leonard","F","Toronto Raptors","2019-01-27","DAL",39,22.5456666666667
"53","Leonard","F","Toronto Raptors","2019-01-31","MIL",16,21.1881666666667
"54","Leonard","F","Toronto Raptors","2019-02-03","LAC",24,22.2285833333333
"55","Leonard","F","Toronto Raptors","2019-02-05","PHI",28,21.1754583333333
"57","Leonard","F","Toronto Raptors","2019-02-09","NYK",13,22.479625
"58","Leonard","F","Toronto Raptors","2019-02-11","BRK",32,22.4460833333333
"60","Leonard","F","Toronto Raptors","2019-02-22","SAS",25,22.9604583333333
"62","Leonard","F","Toronto Raptors","2019-02-26","BOS",23,22.0169166666667
"63","Leonard","F","Toronto Raptors","2019-03-01","POR",42,21.847125
"65","Leonard","F","Toronto Raptors","2019-03-05","HOU",28,22.0256666666667
"66","Leonard","F","Toronto Raptors","2019-03-08","NOP",33,22.1312916666667
"68","Leonard","F","Toronto Raptors","2019-03-11","CLE",31,22.3960833333333
"69","Leonard","F","Toronto Raptors","2019-03-14","LAL",35,21.407125
"70","Leonard","F","Toronto Raptors","2019-03-17","DET",43,21.939625
"72","Leonard","F","Toronto Raptors","2019-03-20","OKC",26,22.900875
"73","Leonard","F","Toronto Raptors","2019-03-22","OKC",45,22.1842083333333
"74","Leonard","F","Toronto Raptors","2019-03-24","CHO",32,22.435875
"75","Leonard","F","Toronto Raptors","2019-03-26","CHI",14,22.0381666666667
"78","Leonard","F","Toronto Raptors","2019-04-01","ORL",17,21.4931666666667
"79","Leonard","F","Toronto Raptors","2019-04-03","BRK",26,21.8110833333333
"80","Leonard","F","Toronto Raptors","2019-04-05","CHO",31,22.1642083333333
"81","Leonard","F","Toronto Raptors","2019-04-07","MIA",28,22.1169166666667
