"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Love","F","Cleveland Cavaliers","2018-10-17","TOR",23,NA
"2","Love","F","Cleveland Cavaliers","2018-10-19","MIN",31,27.9374166666667
"3","Love","F","Cleveland Cavaliers","2018-10-21","ATL",18,20.9485
"4","Love","F","Cleveland Cavaliers","2018-10-24","BRK",18,20.0385833333333
"55","Love","F","Cleveland Cavaliers","2019-02-08","WAS",4,15.8284166666667
"57","Love","F","Cleveland Cavaliers","2019-02-11","NYK",18,17.59775
"59","Love","F","Cleveland Cavaliers","2019-02-21","PHO",22,27.9525833333334
"60","Love","F","Cleveland Cavaliers","2019-02-23","MEM",44,24.6167083333333
"61","Love","F","Cleveland Cavaliers","2019-02-25","POR",24,22.6150833333333
"62","Love","F","Cleveland Cavaliers","2019-02-28","NYK",32,20.531375
"64","Love","F","Cleveland Cavaliers","2019-03-03","ORL",22,28.4268333333333
"65","Love","F","Cleveland Cavaliers","2019-03-06","BRK",32,21.030875
"66","Love","F","Cleveland Cavaliers","2019-03-08","MIA",27,25.0119583333333
"67","Love","F","Cleveland Cavaliers","2019-03-11","TOR",22,27.8584583333333
"69","Love","F","Cleveland Cavaliers","2019-03-14","ORL",12,23.819375
"70","Love","F","Cleveland Cavaliers","2019-03-16","DAL",26,20.144125
"72","Love","F","Cleveland Cavaliers","2019-03-20","MIL",8,21.169375
"73","Love","F","Cleveland Cavaliers","2019-03-22","LAC",30,24.453625
"74","Love","F","Cleveland Cavaliers","2019-03-24","MIL",28,29.5651666666667
"75","Love","F","Cleveland Cavaliers","2019-03-26","BOS",10,20.17025
"76","Love","F","Cleveland Cavaliers","2019-03-28","SAS",22,23.4659583333333
