"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Lowry","PG","Toronto Raptors","2018-10-17","CLE",37,NA
"2","Lowry","PG","Toronto Raptors","2018-10-19","BOS",21,23.3621367713473
"3","Lowry","PG","Toronto Raptors","2018-10-20","WAS",36,22.3897730976053
"4","Lowry","PG","Toronto Raptors","2018-10-22","CHO",22,24.4899910524671
"5","Lowry","PG","Toronto Raptors","2018-10-24","MIN",15,25.6190780273633
"6","Lowry","PG","Toronto Raptors","2018-10-26","DAL",26,24.7048622653715
"7","Lowry","PG","Toronto Raptors","2018-10-29","MIL",9,25.8101564256788
"8","Lowry","PG","Toronto Raptors","2018-10-30","PHI",26,20.7695588962134
"9","Lowry","PG","Toronto Raptors","2018-11-02","PHO",13,23.8899870370266
"10","Lowry","PG","Toronto Raptors","2018-11-04","LAL",27,22.9406090707101
"11","Lowry","PG","Toronto Raptors","2018-11-05","UTA",23,24.8523038762055
"12","Lowry","PG","Toronto Raptors","2018-11-07","SAC",20,23.9397557314983
"13","Lowry","PG","Toronto Raptors","2018-11-10","NYK",12,21.4019967508197
"14","Lowry","PG","Toronto Raptors","2018-11-12","NOP",4,22.5093355055211
"15","Lowry","PG","Toronto Raptors","2018-11-14","DET",16,21.8232362910753
"16","Lowry","PG","Toronto Raptors","2018-11-16","BOS",16,24.0458645500415
"17","Lowry","PG","Toronto Raptors","2018-11-17","CHI",12,21.5047994537581
"18","Lowry","PG","Toronto Raptors","2018-11-20","ORL",15,21.6665684158348
"19","Lowry","PG","Toronto Raptors","2018-11-21","ATL",27,22.0535752299758
"20","Lowry","PG","Toronto Raptors","2018-11-23","WAS",19,24.2423237974719
"21","Lowry","PG","Toronto Raptors","2018-11-25","MIA",16,23.519364710618
"22","Lowry","PG","Toronto Raptors","2018-11-27","MEM",34,21.1755004617617
"23","Lowry","PG","Toronto Raptors","2018-11-29","GSW",14,25.8773731616815
"25","Lowry","PG","Toronto Raptors","2018-12-03","DEN",7,21.1027265080573
"26","Lowry","PG","Toronto Raptors","2018-12-05","PHI",9,21.7167276473007
"27","Lowry","PG","Toronto Raptors","2018-12-07","BRK",5,21.5164878493152
"28","Lowry","PG","Toronto Raptors","2018-12-09","MIL",0,21.2482963205039
"29","Lowry","PG","Toronto Raptors","2018-12-11","LAC",29,21.1106136735745
"30","Lowry","PG","Toronto Raptors","2018-12-12","GSW",27,26.1885270579786
"35","Lowry","PG","Toronto Raptors","2018-12-22","PHI",24,25.4504310032488
"42","Lowry","PG","Toronto Raptors","2019-01-06","IND",16,22.6015685329683
"43","Lowry","PG","Toronto Raptors","2019-01-08","ATL",22,23.0848040715671
"44","Lowry","PG","Toronto Raptors","2019-01-11","BRK",6,21.4726651651225
"45","Lowry","PG","Toronto Raptors","2019-01-13","WAS",16,21.5844142555097
"46","Lowry","PG","Toronto Raptors","2019-01-16","BOS",12,23.5325490976742
"47","Lowry","PG","Toronto Raptors","2019-01-17","PHO",20,21.4894838644398
"48","Lowry","PG","Toronto Raptors","2019-01-19","MEM",14,21.3668610717473
"49","Lowry","PG","Toronto Raptors","2019-01-22","SAC",27,23.1379597931406
"50","Lowry","PG","Toronto Raptors","2019-01-23","IND",26,23.1878185742232
"51","Lowry","PG","Toronto Raptors","2019-01-25","HOU",11,24.7975913994735
"52","Lowry","PG","Toronto Raptors","2019-01-27","DAL",29,22.2894567855681
"53","Lowry","PG","Toronto Raptors","2019-01-31","MIL",12,23.0046933139277
"55","Lowry","PG","Toronto Raptors","2019-02-05","PHI",30,22.5791886059695
"56","Lowry","PG","Toronto Raptors","2019-02-07","ATL",19,22.6692513734676
"57","Lowry","PG","Toronto Raptors","2019-02-09","NYK",32,20.6428593815575
"58","Lowry","PG","Toronto Raptors","2019-02-11","BRK",19,23.2518456903613
"59","Lowry","PG","Toronto Raptors","2019-02-13","WAS",22,24.7937678907223
"60","Lowry","PG","Toronto Raptors","2019-02-22","SAS",23,24.4075409177733
"61","Lowry","PG","Toronto Raptors","2019-02-24","ORL",23,25.5107042707345
"62","Lowry","PG","Toronto Raptors","2019-02-26","BOS",9,25.1288350158016
"63","Lowry","PG","Toronto Raptors","2019-03-01","POR",25,20.3211310762441
"64","Lowry","PG","Toronto Raptors","2019-03-03","DET",47,24.0757231252002
"65","Lowry","PG","Toronto Raptors","2019-03-05","HOU",8,20.8788923689719
"66","Lowry","PG","Toronto Raptors","2019-03-08","NOP",19,21.1614675032174
"67","Lowry","PG","Toronto Raptors","2019-03-10","MIA",36,23.3595850481764
"68","Lowry","PG","Toronto Raptors","2019-03-11","CLE",22,25.747225595236
"71","Lowry","PG","Toronto Raptors","2019-03-18","NYK",25,24.3651522170619
"74","Lowry","PG","Toronto Raptors","2019-03-24","CHO",9,22.720910579596
"75","Lowry","PG","Toronto Raptors","2019-03-26","CHI",22,22.0526566506147
"76","Lowry","PG","Toronto Raptors","2019-03-28","NYK",9,23.9487341788648
"77","Lowry","PG","Toronto Raptors","2019-03-30","CHI",12,22.0452465381051
"78","Lowry","PG","Toronto Raptors","2019-04-01","ORL",18,22.5432266792945
"79","Lowry","PG","Toronto Raptors","2019-04-03","BRK",14,23.0616298647267
"80","Lowry","PG","Toronto Raptors","2019-04-05","CHO",20,20.7223288749805
