"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"24","Markkanen","F","Chicago Bulls","2018-12-01","HOU",14,NA
"25","Markkanen","F","Chicago Bulls","2018-12-04","IND",31,23.77140625
"26","Markkanen","F","Chicago Bulls","2018-12-07","OKC",32,17.1719122023809
"27","Markkanen","F","Chicago Bulls","2018-12-08","BOS",12,21.3604821428571
"28","Markkanen","F","Chicago Bulls","2018-12-10","SAC",15,18.3204895833333
"29","Markkanen","F","Chicago Bulls","2018-12-13","ORL",11,18.8724027777778
"30","Markkanen","F","Chicago Bulls","2018-12-15","SAS",29,20.4225833333333
"31","Markkanen","F","Chicago Bulls","2018-12-17","OKC",18,20.1879305555556
"32","Markkanen","F","Chicago Bulls","2018-12-19","BRK",12,16.926
"33","Markkanen","F","Chicago Bulls","2018-12-21","ORL",40,20.5721026785714
"34","Markkanen","F","Chicago Bulls","2018-12-23","CLE",41,21.4100674603175
"35","Markkanen","F","Chicago Bulls","2018-12-26","MIN",18,19.0334424603175
"36","Markkanen","F","Chicago Bulls","2018-12-28","WAS",16,17.9805218253968
"37","Markkanen","F","Chicago Bulls","2018-12-30","TOR",26,20.2651626984127
"38","Markkanen","F","Chicago Bulls","2019-01-02","ORL",18,17.0352361111111
"39","Markkanen","F","Chicago Bulls","2019-01-04","IND",35,19.1343506944444
"40","Markkanen","F","Chicago Bulls","2019-01-06","BRK",16,18.9202976190476
"41","Markkanen","F","Chicago Bulls","2019-01-09","POR",10,19.4626071428571
"42","Markkanen","F","Chicago Bulls","2019-01-11","GSW",8,18.4003988095238
"43","Markkanen","F","Chicago Bulls","2019-01-12","UTA",18,19.8993670634921
"44","Markkanen","F","Chicago Bulls","2019-01-15","LAL",23,15.6883229166667
"45","Markkanen","F","Chicago Bulls","2019-01-17","DEN",37,16.7073988095238
"46","Markkanen","F","Chicago Bulls","2019-01-19","MIA",28,19.0737083333333
"47","Markkanen","F","Chicago Bulls","2019-01-21","CLE",19,18.9735476190476
"48","Markkanen","F","Chicago Bulls","2019-01-23","ATL",28,20.39328125
"49","Markkanen","F","Chicago Bulls","2019-01-25","LAC",19,19.419625
"50","Markkanen","F","Chicago Bulls","2019-01-27","CLE",29,17.0903849206349
"51","Markkanen","F","Chicago Bulls","2019-01-29","BRK",24,19.2292777777778
"52","Markkanen","F","Chicago Bulls","2019-01-30","MIA",14,19.8983571428571
"53","Markkanen","F","Chicago Bulls","2019-02-02","CHO",32,19.3246071428571
"54","Markkanen","F","Chicago Bulls","2019-02-06","NOP",40,19.9599384920635
"55","Markkanen","F","Chicago Bulls","2019-02-08","BRK",39,19.9223888888889
"56","Markkanen","F","Chicago Bulls","2019-02-09","WAS",22,18.1370853174603
"57","Markkanen","F","Chicago Bulls","2019-02-11","MIL",22,17.54525
"58","Markkanen","F","Chicago Bulls","2019-02-13","MEM",27,16.5919861111111
"59","Markkanen","F","Chicago Bulls","2019-02-22","ORL",33,21.2013134920635
"60","Markkanen","F","Chicago Bulls","2019-02-23","BOS",41,20.2392043650794
"61","Markkanen","F","Chicago Bulls","2019-02-25","MIL",30,17.4005833333333
"62","Markkanen","F","Chicago Bulls","2019-02-27","MEM",22,20.5896468253968
"63","Markkanen","F","Chicago Bulls","2019-03-01","ATL",37,17.4810099206349
"64","Markkanen","F","Chicago Bulls","2019-03-03","ATL",25,19.2029166666667
"65","Markkanen","F","Chicago Bulls","2019-03-05","IND",16,21.2238194444444
"66","Markkanen","F","Chicago Bulls","2019-03-06","PHI",11,14.2114682539683
"67","Markkanen","F","Chicago Bulls","2019-03-08","DET",22,18.2311349206349
"68","Markkanen","F","Chicago Bulls","2019-03-10","DET",23,18.1362599206349
"69","Markkanen","F","Chicago Bulls","2019-03-12","LAL",11,18.3318432539682
"70","Markkanen","F","Chicago Bulls","2019-03-15","LAC",14,18.068123015873
"71","Markkanen","F","Chicago Bulls","2019-03-17","SAC",13,20.1469384920635
"72","Markkanen","F","Chicago Bulls","2019-03-18","PHO",19,18.1639166666667
"73","Markkanen","F","Chicago Bulls","2019-03-20","WAS",42,17.380371031746
"74","Markkanen","F","Chicago Bulls","2019-03-23","UTA",20,20.2042103174603
