ID,Player,Team,Date,Opp,Fantasy_Score,predictions_2019
1,Allen,Brooklyn Nets,10/19/2018,NYK,15,8.94907436
2,Allen,Brooklyn Nets,10/20/2018,IND,8,10.07309276
3,Allen,Brooklyn Nets,10/24/2018,CLE,10,7.943662412
4,Allen,Brooklyn Nets,10/26/2018,NOP,7,9.336803047
5,Allen,Brooklyn Nets,10/28/2018,GSW,11,8.143508297
6,Allen,Brooklyn Nets,10/29/2018,NYK,7,8.891712527
7,Allen,Brooklyn Nets,10/31/2018,DET,14,9.47212022
8,Allen,Brooklyn Nets,11/2/2018,HOU,10,8.87399787
9,Allen,Brooklyn Nets,11/4/2018,PHI,15,8.414608895
10,Allen,Brooklyn Nets,11/6/2018,PHO,10,10.1278629
11,Allen,Brooklyn Nets,11/9/2018,DEN,18,9.056120883
12,Allen,Brooklyn Nets,11/10/2018,GSW,6,8.647026144
13,Allen,Brooklyn Nets,11/16/2018,WAS,16,9.626716773
14,Allen,Brooklyn Nets,11/17/2018,LAC,24,9.145969787
15,Allen,Brooklyn Nets,11/20/2018,MIA,13,10.14432909
16,Allen,Brooklyn Nets,11/21/2018,DAL,6,9.932002931
17,Allen,Brooklyn Nets,11/23/2018,MIN,12,7.498973869
18,Allen,Brooklyn Nets,11/25/2018,PHI,17,8.868124421
19,Allen,Brooklyn Nets,11/28/2018,UTA,14,10.40393981
20,Allen,Brooklyn Nets,11/30/2018,MEM,15,9.274517156
21,Allen,Brooklyn Nets,12/1/2018,WAS,6,11.92353356
22,Allen,Brooklyn Nets,12/3/2018,CLE,11,9.321611544
23,Allen,Brooklyn Nets,12/5/2018,OKC,15,7.628698582
24,Allen,Brooklyn Nets,12/7/2018,TOR,12,9.931056915
25,Allen,Brooklyn Nets,12/8/2018,NYK,14,10.20286007
26,Allen,Brooklyn Nets,12/12/2018,PHI,8,10.46436751
27,Allen,Brooklyn Nets,12/14/2018,WAS,12,8.789793522
28,Allen,Brooklyn Nets,12/16/2018,ATL,11,10.12353617
29,Allen,Brooklyn Nets,12/18/2018,LAL,6,10.645385
30,Allen,Brooklyn Nets,12/19/2018,CHI,16,7.865232019
31,Allen,Brooklyn Nets,12/21/2018,IND,10,9.299912761
32,Allen,Brooklyn Nets,12/23/2018,PHO,13,9.6346075
33,Allen,Brooklyn Nets,12/26/2018,CHO,7,8.99003519
34,Allen,Brooklyn Nets,12/28/2018,CHO,8,8.590876044
35,Allen,Brooklyn Nets,12/29/2018,MIL,8,9.685090841
36,Allen,Brooklyn Nets,1/2/2019,NOP,10,8.298364439
37,Allen,Brooklyn Nets,1/4/2019,MEM,12,10.24390322
38,Allen,Brooklyn Nets,1/6/2019,CHI,19,7.916078825
39,Allen,Brooklyn Nets,1/7/2019,BOS,6,9.63071176
40,Allen,Brooklyn Nets,1/9/2019,ATL,11,8.709447504
41,Allen,Brooklyn Nets,1/11/2019,TOR,9,8.342225955
42,Allen,Brooklyn Nets,1/14/2019,BOS,19,6.971185434
43,Allen,Brooklyn Nets,1/16/2019,HOU,20,10.45534494
44,Allen,Brooklyn Nets,1/18/2019,ORL,6,8.208269709
45,Allen,Brooklyn Nets,1/21/2019,SAC,8,8.316093554
46,Allen,Brooklyn Nets,1/23/2019,ORL,6,9.303351473
47,Allen,Brooklyn Nets,1/25/2019,NYK,2,8.624896691
48,Allen,Brooklyn Nets,1/28/2019,BOS,6,8.332389856
49,Allen,Brooklyn Nets,1/29/2019,CHI,7,8.869339
50,Allen,Brooklyn Nets,1/31/2019,SAS,16,9.325683268
51,Allen,Brooklyn Nets,2/2/2019,ORL,6,9.610020202
52,Allen,Brooklyn Nets,2/4/2019,MIL,8,10.47531451
53,Allen,Brooklyn Nets,2/6/2019,DEN,15,8.542937062
54,Allen,Brooklyn Nets,2/8/2019,CHI,12,10.51402304
55,Allen,Brooklyn Nets,2/11/2019,TOR,17,10.33901326
56,Allen,Brooklyn Nets,2/13/2019,CLE,10,8.396870768
57,Allen,Brooklyn Nets,2/21/2019,POR,12,9.760125
58,Allen,Brooklyn Nets,2/23/2019,CHO,11,10.26353599
59,Allen,Brooklyn Nets,2/25/2019,SAS,9,9.032665224
60,Allen,Brooklyn Nets,2/27/2019,WAS,12,8.638931059
61,Allen,Brooklyn Nets,3/1/2019,CHO,10,9.37772546
62,Allen,Brooklyn Nets,3/2/2019,MIA,6,8.892797661
63,Allen,Brooklyn Nets,3/4/2019,DAL,8,7.362491385
64,Allen,Brooklyn Nets,3/6/2019,CLE,15,7.604783764
65,Allen,Brooklyn Nets,3/9/2019,ATL,20,11.34227431
66,Allen,Brooklyn Nets,3/11/2019,DET,11,9.068191796
67,Allen,Brooklyn Nets,3/13/2019,OKC,8,9.330608676
68,Allen,Brooklyn Nets,3/16/2019,UTA,4,8.576944774
69,Allen,Brooklyn Nets,3/17/2019,LAC,13,7.142838571
70,Allen,Brooklyn Nets,3/19/2019,SAC,13,9.562520209
71,Allen,Brooklyn Nets,3/22/2019,LAL,13,10.58300081
72,Allen,Brooklyn Nets,3/25/2019,POR,10,9.920877931
73,Allen,Brooklyn Nets,3/28/2019,PHI,4,8.670769172
74,Allen,Brooklyn Nets,3/30/2019,BOS,10,6.953692607
75,Allen,Brooklyn Nets,4/1/2019,MIL,10,10.23632039
76,Allen,Brooklyn Nets,4/3/2019,TOR,12,10.27309249
77,Allen,Brooklyn Nets,4/6/2019,MIL,10,9.500401678
78,Allen,Brooklyn Nets,4/7/2019,IND,12,8.1774135
79,Dudley,Brooklyn Nets,10/19/2018,NYK,9,4.796583333
80,Dudley,Brooklyn Nets,10/20/2018,IND,5,5.853458333
