"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Matthews","F","Dallas Mavericks","2018-10-17","PHO",19,NA
"2","Matthews","F","Dallas Mavericks","2018-10-20","MIN",27,15.5247190819641
"3","Matthews","F","Dallas Mavericks","2018-10-22","CHI",28,18.0443964096043
"4","Matthews","F","Dallas Mavericks","2018-10-24","ATL",33,16.8638461271766
"5","Matthews","F","Dallas Mavericks","2018-10-26","TOR",27,13.8644215316935
"6","Matthews","F","Dallas Mavericks","2018-10-28","UTA",26,19.2133543252628
"7","Matthews","F","Dallas Mavericks","2018-10-29","SAS",8,17.2470121052841
"8","Matthews","F","Dallas Mavericks","2018-10-31","LAL",29,14.9308720021021
"9","Matthews","F","Dallas Mavericks","2018-11-02","NYK",11,19.2501885533565
"10","Matthews","F","Dallas Mavericks","2018-11-06","WAS",32,15.1659642263069
"11","Matthews","F","Dallas Mavericks","2018-11-07","UTA",13,17.9431667329334
"12","Matthews","F","Dallas Mavericks","2018-11-10","OKC",15,13.1846556486007
"14","Matthews","F","Dallas Mavericks","2018-11-14","UTA",11,18.6598504825144
"18","Matthews","F","Dallas Mavericks","2018-11-24","BOS",21,20.3892646112454
"19","Matthews","F","Dallas Mavericks","2018-11-28","HOU",13,16.9157796923622
"20","Matthews","F","Dallas Mavericks","2018-11-30","LAL",15,21.6666832059876
"21","Matthews","F","Dallas Mavericks","2018-12-02","LAC",18,16.9781781827154
"22","Matthews","F","Dallas Mavericks","2018-12-04","POR",23,15.7895474696557
"23","Matthews","F","Dallas Mavericks","2018-12-05","NOP",19,16.0663767625321
"24","Matthews","F","Dallas Mavericks","2018-12-08","HOU",29,16.5106654894832
"25","Matthews","F","Dallas Mavericks","2018-12-10","ORL",14,16.5764864452407
"26","Matthews","F","Dallas Mavericks","2018-12-12","ATL",4,16.1183183611813
"27","Matthews","F","Dallas Mavericks","2018-12-13","PHO",13,14.6600107642294
"28","Matthews","F","Dallas Mavericks","2018-12-16","SAC",19,15.8272497274029
"29","Matthews","F","Dallas Mavericks","2018-12-18","DEN",22,16.8011964266216
"30","Matthews","F","Dallas Mavericks","2018-12-20","LAC",6,16.7326748492552
"31","Matthews","F","Dallas Mavericks","2018-12-22","GSW",39,15.6638916945805
"32","Matthews","F","Dallas Mavericks","2018-12-23","POR",12,20.4311759461059
"33","Matthews","F","Dallas Mavericks","2018-12-26","NOP",8,16.3381181582918
"36","Matthews","F","Dallas Mavericks","2018-12-31","OKC",9,13.7981065208837
"37","Matthews","F","Dallas Mavericks","2019-01-02","CHO",13,15.6206332419041
