,Player,Team,Position,Date,Opp,Fantasy_Score,predictions_2019
1,Maurice Harkless,Portland Trail Blazers,F,18/10/2018,LAL,9,NA
2,Maurice Harkless,Portland Trail Blazers,F,20/10/2018,SAS,7,8.063125
3,Maurice Harkless,Portland Trail Blazers,F,22/10/2018,WAS,7,6.756208333
4,Maurice Harkless,Portland Trail Blazers,F,25/10/2018,ORL,0,9.969708333
5,Maurice Harkless,Portland Trail Blazers,F,27/10/2018,MIA,2,4.580416667
18,Maurice Harkless,Portland Trail Blazers,F,21/11/2018,MIL,2,5.285375
19,Maurice Harkless,Portland Trail Blazers,F,23/11/2018,GSW,1,12.54991667
20,Maurice Harkless,Portland Trail Blazers,F,25/11/2018,LAC,4,6.528416667
21,Maurice Harkless,Portland Trail Blazers,F,28/11/2018,ORL,2,4.785791667
22,Maurice Harkless,Portland Trail Blazers,F,30/11/2018,DEN,2,7.091541667
23,Maurice Harkless,Portland Trail Blazers,F,02/12/2018,SAS,12,7.65975
24,Maurice Harkless,Portland Trail Blazers,F,04/12/2018,DAL,7,9.488333333
25,Maurice Harkless,Portland Trail Blazers,F,06/12/2018,PHO,6,9.687791667
26,Maurice Harkless,Portland Trail Blazers,F,08/12/2018,MIN,12,3.239833333
27,Maurice Harkless,Portland Trail Blazers,F,11/12/2018,HOU,11,12.0295
29,Maurice Harkless,Portland Trail Blazers,F,14/12/2018,TOR,8,9.549875
30,Maurice Harkless,Portland Trail Blazers,F,17/12/2018,LAC,15,11.27129167
31,Maurice Harkless,Portland Trail Blazers,F,19/12/2018,MEM,11,12.33879167
32,Maurice Harkless,Portland Trail Blazers,F,21/12/2018,UTA,6,4.063916667
33,Maurice Harkless,Portland Trail Blazers,F,23/12/2018,DAL,15,3.42475
34,Maurice Harkless,Portland Trail Blazers,F,25/12/2018,UTA,6,9.296833333
35,Maurice Harkless,Portland Trail Blazers,F,27/12/2018,GSW,13,9.584208333
36,Maurice Harkless,Portland Trail Blazers,F,29/12/2018,GSW,7,14.29375
38,Maurice Harkless,Portland Trail Blazers,F,01/01/2019,SAC,13,12.61325
39,Maurice Harkless,Portland Trail Blazers,F,04/01/2019,OKC,7,5.841916667
41,Maurice Harkless,Portland Trail Blazers,F,07/01/2019,NYK,0,10.88075
47,Maurice Harkless,Portland Trail Blazers,F,18/01/2019,NOP,12,4.367916667
48,Maurice Harkless,Portland Trail Blazers,F,21/01/2019,UTA,6,12.07629167
49,Maurice Harkless,Portland Trail Blazers,F,22/01/2019,OKC,0,5.086875
50,Maurice Harkless,Portland Trail Blazers,F,24/01/2019,PHO,7,7.2025
51,Maurice Harkless,Portland Trail Blazers,F,26/01/2019,ATL,18,5.770875
52,Maurice Harkless,Portland Trail Blazers,F,30/01/2019,UTA,6,6.311416667
53,Maurice Harkless,Portland Trail Blazers,F,05/02/2019,MIA,3,9.049958333
54,Maurice Harkless,Portland Trail Blazers,F,07/02/2019,SAS,2,5.612458333
55,Maurice Harkless,Portland Trail Blazers,F,10/02/2019,DAL,5,5.054583333
56,Maurice Harkless,Portland Trail Blazers,F,11/02/2019,OKC,5,11.33329167
57,Maurice Harkless,Portland Trail Blazers,F,13/02/2019,GSW,12,3.359083333
58,Maurice Harkless,Portland Trail Blazers,F,21/02/2019,BRK,15,10.52420833
59,Maurice Harkless,Portland Trail Blazers,F,23/02/2019,PHI,15,5.816458333
60,Maurice Harkless,Portland Trail Blazers,F,25/02/2019,CLE,11,11.6715
61,Maurice Harkless,Portland Trail Blazers,F,27/02/2019,BOS,17,10.65091667
62,Maurice Harkless,Portland Trail Blazers,F,01/03/2019,TOR,11,5.092708333
63,Maurice Harkless,Portland Trail Blazers,F,03/03/2019,CHO,6,10.72920833
64,Maurice Harkless,Portland Trail Blazers,F,05/03/2019,MEM,22,8.511166667
65,Maurice Harkless,Portland Trail Blazers,F,07/03/2019,OKC,2,5.940041667
66,Maurice Harkless,Portland Trail Blazers,F,09/03/2019,PHO,11,6.799375
67,Maurice Harkless,Portland Trail Blazers,F,12/03/2019,LAC,6,8.436708333
69,Maurice Harkless,Portland Trail Blazers,F,16/03/2019,SAS,11,9.172291667
70,Maurice Harkless,Portland Trail Blazers,F,18/03/2019,IND,12,9.438583333
71,Maurice Harkless,Portland Trail Blazers,F,20/03/2019,DAL,14,12.81654167
72,Maurice Harkless,Portland Trail Blazers,F,23/03/2019,DET,12,12.60166667
73,Maurice Harkless,Portland Trail Blazers,F,25/03/2019,BRK,17,12.99941667
74,Maurice Harkless,Portland Trail Blazers,F,27/03/2019,CHI,4,6.138958333
75,Maurice Harkless,Portland Trail Blazers,F,29/03/2019,ATL,8,10.59158333
76,Maurice Harkless,Portland Trail Blazers,F,30/03/2019,DET,10,5.24675
77,Maurice Harkless,Portland Trail Blazers,F,01/04/2019,MIN,7,8.150333333
78,Maurice Harkless,Portland Trail Blazers,F,03/04/2019,MEM,11,9.723333333
79,Maurice Harkless,Portland Trail Blazers,F,05/04/2019,DEN,11,10.921625
80,Maurice Harkless,Portland Trail Blazers,F,07/04/2019,DEN,4,8.56475
