"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","McGruder","SG","Miami Heat","2018-10-17","ORL",12,NA
"2","McGruder","SG","Miami Heat","2018-10-18","WAS",26,8.16879166666667
"3","McGruder","SG","Miami Heat","2018-10-20","CHO",27,10.3325833333333
"4","McGruder","SG","Miami Heat","2018-10-24","NYK",25,6.50254166666666
"5","McGruder","SG","Miami Heat","2018-10-27","POR",16,9.884875
"6","McGruder","SG","Miami Heat","2018-10-29","SAC",9,6.241375
"7","McGruder","SG","Miami Heat","2018-10-30","CHO",19,6.311625
"8","McGruder","SG","Miami Heat","2018-11-03","ATL",22,5.86670833333333
"9","McGruder","SG","Miami Heat","2018-11-05","DET",12,6.241375
"10","McGruder","SG","Miami Heat","2018-11-07","SAS",4,6.768875
"11","McGruder","SG","Miami Heat","2018-11-09","IND",17,6.39983333333333
"12","McGruder","SG","Miami Heat","2018-11-10","WAS",28,5.82741666666666
"13","McGruder","SG","Miami Heat","2018-11-12","PHI",6,10.7262916666667
"14","McGruder","SG","Miami Heat","2018-11-14","BRK",10,9.15825
"15","McGruder","SG","Miami Heat","2018-11-16","IND",13,7.31129166666666
"16","McGruder","SG","Miami Heat","2018-11-18","LAL",18,6.38108333333333
"17","McGruder","SG","Miami Heat","2018-11-20","BRK",17,4.47179166666667
"18","McGruder","SG","Miami Heat","2018-11-23","CHI",12,4.578875
"19","McGruder","SG","Miami Heat","2018-11-25","TOR",9,10.5654583333333
"20","McGruder","SG","Miami Heat","2018-11-27","ATL",8,8.18579166666667
"21","McGruder","SG","Miami Heat","2018-11-30","NOP",11,7.12695833333333
"22","McGruder","SG","Miami Heat","2018-12-02","UTA",0,8.535375
"23","McGruder","SG","Miami Heat","2018-12-04","ORL",9,8.017
"24","McGruder","SG","Miami Heat","2018-12-07","PHO",22,4.947125
"25","McGruder","SG","Miami Heat","2018-12-08","LAC",15,5.36520833333333
"26","McGruder","SG","Miami Heat","2018-12-10","LAL",14,7.72191666666666
"27","McGruder","SG","Miami Heat","2018-12-12","UTA",24,6.47479166666666
"28","McGruder","SG","Miami Heat","2018-12-14","MEM",10,7.36420833333333
"29","McGruder","SG","Miami Heat","2018-12-16","NOP",0,7.670875
"30","McGruder","SG","Miami Heat","2018-12-20","HOU",7,4.372625
"31","McGruder","SG","Miami Heat","2018-12-22","MIL",12,8.65983333333333
"33","McGruder","SG","Miami Heat","2018-12-26","TOR",7,6.231125
"34","McGruder","SG","Miami Heat","2018-12-28","CLE",24,8.04595833333333
"35","McGruder","SG","Miami Heat","2018-12-30","MIN",9,10.1884166666667
"36","McGruder","SG","Miami Heat","2019-01-02","CLE",14,5.99345833333333
"37","McGruder","SG","Miami Heat","2019-01-04","WAS",7,5.67770833333333
"38","McGruder","SG","Miami Heat","2019-01-06","ATL",3,9.63833333333333
"39","McGruder","SG","Miami Heat","2019-01-08","DEN",7,6.03754166666666
"40","McGruder","SG","Miami Heat","2019-01-10","BOS",5,9.52929166666666
"41","McGruder","SG","Miami Heat","2019-01-12","MEM",5,6.090125
"42","McGruder","SG","Miami Heat","2019-01-15","MIL",4,8.633
"43","McGruder","SG","Miami Heat","2019-01-18","DET",17,6.23341666666667
"44","McGruder","SG","Miami Heat","2019-01-19","CHI",0,6.09770833333333
"45","McGruder","SG","Miami Heat","2019-01-21","BOS",0,5.70729166666667
"47","McGruder","SG","Miami Heat","2019-01-25","CLE",0,6.67854166666667
"48","McGruder","SG","Miami Heat","2019-01-27","NYK",0,7.945625
"50","McGruder","SG","Miami Heat","2019-02-01","OKC",2,8.2095
"53","McGruder","SG","Miami Heat","2019-02-08","SAC",4,8.69429166666666
"54","McGruder","SG","Miami Heat","2019-02-10","GSW",0,6.592375
"55","McGruder","SG","Miami Heat","2019-02-11","DEN",8,5.18054166666667
"56","McGruder","SG","Miami Heat","2019-02-13","DAL",11,7.29179166666666
"57","McGruder","SG","Miami Heat","2019-02-21","PHI",4,6.94833333333333
"58","McGruder","SG","Miami Heat","2019-02-23","DET",0,8.686125
"60","McGruder","SG","Miami Heat","2019-02-27","GSW",8,5.46820833333333
"61","McGruder","SG","Miami Heat","2019-02-28","HOU",5,7.09425
"62","McGruder","SG","Miami Heat","2019-03-02","BRK",25,8.70425
"63","McGruder","SG","Miami Heat","2019-03-04","ATL",11,7.57658333333333
"64","McGruder","SG","Miami Heat","2019-03-06","CHO",5,7.445
"65","McGruder","SG","Miami Heat","2019-03-08","CLE",17,6.957875
"66","McGruder","SG","Miami Heat","2019-03-10","TOR",17,5.98766666666666
"67","McGruder","SG","Miami Heat","2019-03-13","DET",2,6.9365
"68","McGruder","SG","Miami Heat","2019-03-15","MIL",0,6.430875
"69","McGruder","SG","Miami Heat","2019-03-17","CHO",0,7.54179166666667
"78","McGruder","SG","Miami Heat","2019-04-03","BOS",0,7.63316666666667
"79","McGruder","SG","Miami Heat","2019-04-05","MIN",4,5.69995833333333
