"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"2","Mcgee","C","Los Angeles Lakers","2017-10-20","NOP",2,NA
"3","Mcgee","C","Los Angeles Lakers","2017-10-21","MEM",4,3.97525
"4","Mcgee","C","Los Angeles Lakers","2017-10-23","DAL",6,6.07754166666667
"6","Mcgee","C","Los Angeles Lakers","2017-10-27","WAS",0,1.44008333333333
"7","Mcgee","C","Los Angeles Lakers","2017-10-29","DET",6,4.13195833333333
"8","Mcgee","C","Los Angeles Lakers","2017-10-30","LAC",10,1.89858333333333
"9","Mcgee","C","Los Angeles Lakers","2017-11-02","SAS",0,0.883541666666667
"10","Mcgee","C","Los Angeles Lakers","2017-11-04","DEN",11,7.63254166666667
"11","Mcgee","C","Los Angeles Lakers","2017-11-06","MIA",0,0.647875
"12","Mcgee","C","Los Angeles Lakers","2017-11-08","MIN",6,5.37604166666667
"13","Mcgee","C","Los Angeles Lakers","2017-11-11","PHI",11,7.63670833333333
"14","Mcgee","C","Los Angeles Lakers","2017-11-13","ORL",4,3.68729166666667
"15","Mcgee","C","Los Angeles Lakers","2017-11-16","BOS",0,2.35575
"16","Mcgee","C","Los Angeles Lakers","2017-11-18","PHI",0,1.94429166666667
"17","Mcgee","C","Los Angeles Lakers","2017-11-19","BRK",2,1.83520833333333
"18","Mcgee","C","Los Angeles Lakers","2017-11-22","OKC",0,1.413875
"19","Mcgee","C","Los Angeles Lakers","2017-11-24","CHI",4,3.66125
"20","Mcgee","C","Los Angeles Lakers","2017-11-25","NOP",0,1.11525
"21","Mcgee","C","Los Angeles Lakers","2017-11-27","SAC",2,2.132
"23","Mcgee","C","Los Angeles Lakers","2017-12-01","ORL",0,6.53895833333333
"24","Mcgee","C","Los Angeles Lakers","2017-12-03","MIA",2,3.65270833333333
"25","Mcgee","C","Los Angeles Lakers","2017-12-04","NOP",8,6.09879166666666
"26","Mcgee","C","Los Angeles Lakers","2017-12-06","CHO",4,3.59545833333333
"27","Mcgee","C","Los Angeles Lakers","2017-12-08","DET",2,3.71895833333333
"29","Mcgee","C","Los Angeles Lakers","2017-12-14","DAL",2,2.5875
"30","Mcgee","C","Los Angeles Lakers","2017-12-18","LAL",8,6.17275
"31","Mcgee","C","Los Angeles Lakers","2017-12-20","MEM",6,5.29491666666667
"33","Mcgee","C","Los Angeles Lakers","2017-12-23","DEN",4,4.68945833333333
"35","Mcgee","C","Los Angeles Lakers","2017-12-27","UTA",6,7.08470833333333
"37","Mcgee","C","Los Angeles Lakers","2017-12-30","MEM",2,2.617125
"40","Mcgee","C","Los Angeles Lakers","2018-01-06","LAC",11,2.52591666666667
"42","Mcgee","C","Los Angeles Lakers","2018-01-10","LAC",2,2.78291666666667
"46","Mcgee","C","Los Angeles Lakers","2018-01-17","CHI",2,5.59920833333333
"48","Mcgee","C","Los Angeles Lakers","2018-01-23","NYK",2,6.95641666666667
"51","Mcgee","C","Los Angeles Lakers","2018-01-30","UTA",14,9.95691666666667
"52","Mcgee","C","Los Angeles Lakers","2018-02-02","SAC",4,4.84904166666667
"53","Mcgee","C","Los Angeles Lakers","2018-02-03","DEN",0,0.814375
"54","Mcgee","C","Los Angeles Lakers","2018-02-06","OKC",4,1.8675
"55","Mcgee","C","Los Angeles Lakers","2018-02-08","DAL",4,4.20720833333333
"56","Mcgee","C","Los Angeles Lakers","2018-02-10","SAS",7,3.93116666666667
"57","Mcgee","C","Los Angeles Lakers","2018-02-12","PHO",7,6.23154166666667
"58","Mcgee","C","Los Angeles Lakers","2018-02-14","POR",4,2.961875
"59","Mcgee","C","Los Angeles Lakers","2018-02-22","LAC",6,5.25675
"60","Mcgee","C","Los Angeles Lakers","2018-02-24","OKC",2,2.83183333333333
"61","Mcgee","C","Los Angeles Lakers","2018-02-26","NYK",10,9.89670833333333
"62","Mcgee","C","Los Angeles Lakers","2018-02-28","WAS",2,3.32833333333333
"63","Mcgee","C","Los Angeles Lakers","2018-03-02","ATL",2,6.56579166666667
"64","Mcgee","C","Los Angeles Lakers","2018-03-06","BRK",12,2.64816666666667
"65","Mcgee","C","Los Angeles Lakers","2018-03-08","SAS",13,8.63291666666666
"66","Mcgee","C","Los Angeles Lakers","2018-03-09","POR",10,8.63420833333333
"67","Mcgee","C","Los Angeles Lakers","2018-03-11","MIN",2,2.02795833333333
"68","Mcgee","C","Los Angeles Lakers","2018-03-14","LAL",2,7.82266666666666
"69","Mcgee","C","Los Angeles Lakers","2018-03-16","SAC",0,7.04729166666667
"70","Mcgee","C","Los Angeles Lakers","2018-03-17","PHO",0,0.876958333333333
"71","Mcgee","C","Los Angeles Lakers","2018-03-19","SAS",4,4.18270833333333
"72","Mcgee","C","Los Angeles Lakers","2018-03-23","ATL",4,4.86416666666667
"73","Mcgee","C","Los Angeles Lakers","2018-03-25","UTA",8,6.09941666666666
"74","Mcgee","C","Los Angeles Lakers","2018-03-27","IND",9,6.80829166666666
"75","Mcgee","C","Los Angeles Lakers","2018-03-29","MIL",12,6.29666666666667
"76","Mcgee","C","Los Angeles Lakers","2018-03-31","SAC",7,5.19183333333333
"77","Mcgee","C","Los Angeles Lakers","2018-04-01","PHO",2,2.364875
"78","Mcgee","C","Los Angeles Lakers","2018-04-03","OKC",8,3.31120833333333
"79","Mcgee","C","Los Angeles Lakers","2018-04-05","IND",6,5.75229166666667
"81","Mcgee","C","Los Angeles Lakers","2018-04-08","PHO",11,6.33979166666666
