"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Middleton","F","Milwaukee Bucks","2018-10-17","CHO",25,NA
"2","Middleton","F","Milwaukee Bucks","2018-10-19","IND",33,23.8416501623377
"3","Middleton","F","Milwaukee Bucks","2018-10-22","NYK",44,21.6465916583417
"4","Middleton","F","Milwaukee Bucks","2018-10-24","PHI",31,25.3404400530026
"5","Middleton","F","Milwaukee Bucks","2018-10-26","MIN",24,23.8660537795538
"6","Middleton","F","Milwaukee Bucks","2018-10-27","ORL",22,25.6975121128871
"7","Middleton","F","Milwaukee Bucks","2018-10-29","TOR",22,22.4466653138528
"8","Middleton","F","Milwaukee Bucks","2018-11-01","BOS",22,23.8682101648352
"9","Middleton","F","Milwaukee Bucks","2018-11-04","SAC",18,23.579299540737
"10","Middleton","F","Milwaukee Bucks","2018-11-06","POR",30,22.9495329462204
"11","Middleton","F","Milwaukee Bucks","2018-11-08","GSW",21,23.927924991675
"12","Middleton","F","Milwaukee Bucks","2018-11-10","LAC",18,22.6874452838828
"13","Middleton","F","Milwaukee Bucks","2018-11-11","DEN",27,23.0546651057276
"14","Middleton","F","Milwaukee Bucks","2018-11-14","MEM",29,23.4568524808525
"15","Middleton","F","Milwaukee Bucks","2018-11-16","CHI",27,23.5710430194805
"16","Middleton","F","Milwaukee Bucks","2018-11-19","DEN",15,22.2919385822511
"17","Middleton","F","Milwaukee Bucks","2018-11-21","POR",25,22.0982786172161
"18","Middleton","F","Milwaukee Bucks","2018-11-23","PHO",19,25.306617965368
"19","Middleton","F","Milwaukee Bucks","2018-11-24","SAS",29,21.991145021645
"20","Middleton","F","Milwaukee Bucks","2018-11-26","CHO",20,26.4708609307359
"21","Middleton","F","Milwaukee Bucks","2018-11-28","CHI",23,24.9794477813853
"22","Middleton","F","Milwaukee Bucks","2018-12-01","NYK",16,24.031056547619
"24","Middleton","F","Milwaukee Bucks","2018-12-07","GSW",12,23.5267293747919
"25","Middleton","F","Milwaukee Bucks","2018-12-09","TOR",14,25.8623557692308
"26","Middleton","F","Milwaukee Bucks","2018-12-10","CLE",20,24.7279603521478
"27","Middleton","F","Milwaukee Bucks","2018-12-12","IND",10,22.7243454462204
"29","Middleton","F","Milwaukee Bucks","2018-12-17","DET",28,25.878825965701
"30","Middleton","F","Milwaukee Bucks","2018-12-19","NOP",14,22.7109258033633
"31","Middleton","F","Milwaukee Bucks","2018-12-21","BOS",29,23.6688738553114
"32","Middleton","F","Milwaukee Bucks","2018-12-22","MIA",22,25.1111160714286
"33","Middleton","F","Milwaukee Bucks","2018-12-25","NYK",8,24.4204331085581
"34","Middleton","F","Milwaukee Bucks","2018-12-27","NYK",27,24.1020969030969
"35","Middleton","F","Milwaukee Bucks","2018-12-29","BRK",37,22.9462392954268
"36","Middleton","F","Milwaukee Bucks","2019-01-01","DET",24,22.4424663808414
"37","Middleton","F","Milwaukee Bucks","2019-01-04","ATL",27,22.566162004662
"38","Middleton","F","Milwaukee Bucks","2019-01-05","TOR",18,21.7289943181818
"39","Middleton","F","Milwaukee Bucks","2019-01-07","UTA",18,23.6725613553114
"40","Middleton","F","Milwaukee Bucks","2019-01-09","HOU",19,22.8459221403596
"41","Middleton","F","Milwaukee Bucks","2019-01-11","WAS",31,23.2140643315018
"42","Middleton","F","Milwaukee Bucks","2019-01-13","ATL",17,24.9222323509823
"43","Middleton","F","Milwaukee Bucks","2019-01-15","MIA",15,22.2653851356976
"44","Middleton","F","Milwaukee Bucks","2019-01-16","MEM",11,23.5129466366966
"45","Middleton","F","Milwaukee Bucks","2019-01-19","ORL",17,23.4558788780664
"46","Middleton","F","Milwaukee Bucks","2019-01-21","DAL",15,22.0775567557443
"47","Middleton","F","Milwaukee Bucks","2019-01-25","CHO",19,25.7385478896104
"48","Middleton","F","Milwaukee Bucks","2019-01-27","OKC",28,22.6589810606061
"49","Middleton","F","Milwaukee Bucks","2019-01-29","DET",17,25.6968275890776
"50","Middleton","F","Milwaukee Bucks","2019-01-31","TOR",20,22.5868871128871
"51","Middleton","F","Milwaukee Bucks","2019-02-02","WAS",28,21.5264316378066
"52","Middleton","F","Milwaukee Bucks","2019-02-04","BRK",12,24.56140497003
"53","Middleton","F","Milwaukee Bucks","2019-02-06","WAS",22,23.31321747003
"55","Middleton","F","Milwaukee Bucks","2019-02-09","ORL",11,25.653415521978
"56","Middleton","F","Milwaukee Bucks","2019-02-11","CHI",18,22.3209198509824
"57","Middleton","F","Milwaukee Bucks","2019-02-13","IND",19,22.8604613095238
"58","Middleton","F","Milwaukee Bucks","2019-02-21","BOS",21,20.8283927947053
"59","Middleton","F","Milwaukee Bucks","2019-02-23","MIN",36,22.6902918747919
"60","Middleton","F","Milwaukee Bucks","2019-02-25","CHI",28,23.2922726578977
"61","Middleton","F","Milwaukee Bucks","2019-02-27","SAC",23,24.712693452381
"62","Middleton","F","Milwaukee Bucks","2019-03-01","LAL",22,22.2741457708958
"63","Middleton","F","Milwaukee Bucks","2019-03-02","UTA",37,21.5450330988456
"64","Middleton","F","Milwaukee Bucks","2019-03-04","PHO",8,24.8148534451659
"65","Middleton","F","Milwaukee Bucks","2019-03-07","IND",35,24.9355832431457
"66","Middleton","F","Milwaukee Bucks","2019-03-09","CHO",11,23.046365530303
"67","Middleton","F","Milwaukee Bucks","2019-03-10","SAS",17,21.6375687229437
"68","Middleton","F","Milwaukee Bucks","2019-03-12","NOP",27,23.7052703546454
"69","Middleton","F","Milwaukee Bucks","2019-03-15","MIA",25,21.9606561147186
"70","Middleton","F","Milwaukee Bucks","2019-03-17","PHI",25,21.6276249375625
"71","Middleton","F","Milwaukee Bucks","2019-03-19","LAL",38,24.0964782925408
"72","Middleton","F","Milwaukee Bucks","2019-03-20","CLE",34,22.4456515151515
"73","Middleton","F","Milwaukee Bucks","2019-03-22","MIA",22,25.2666167929293
"74","Middleton","F","Milwaukee Bucks","2019-03-24","CLE",19,24.2197257742258
"75","Middleton","F","Milwaukee Bucks","2019-03-26","HOU",15,24.0216982600733
"76","Middleton","F","Milwaukee Bucks","2019-03-28","LAC",47,23.447761030636
"79","Middleton","F","Milwaukee Bucks","2019-04-04","PHI",28,23.3638822080697
"80","Middleton","F","Milwaukee Bucks","2019-04-06","BRK",28,23.0302924159174
"81","Middleton","F","Milwaukee Bucks","2019-04-07","ATL",25,23.6895667665668
