"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Mirotic","F","New Orleans Pelicans","2018-10-17","HOU",42,NA
"2","Mirotic","F","New Orleans Pelicans","2018-10-19","SAC",46,19.8733940131042
"3","Mirotic","F","New Orleans Pelicans","2018-10-23","LAC",18,18.8756819003295
"4","Mirotic","F","New Orleans Pelicans","2018-10-26","BRK",10,20.3424023472824
"5","Mirotic","F","New Orleans Pelicans","2018-10-27","UTA",33,18.5088724735462
"6","Mirotic","F","New Orleans Pelicans","2018-10-29","DEN",23,20.1822597874442
"7","Mirotic","F","New Orleans Pelicans","2018-10-31","GSW",30,19.0724852778236
"8","Mirotic","F","New Orleans Pelicans","2018-11-01","POR",20,20.7317101897251
"9","Mirotic","F","New Orleans Pelicans","2018-11-03","SAS",26,17.1035081270598
"10","Mirotic","F","New Orleans Pelicans","2018-11-05","OKC",18,21.4443071449371
"11","Mirotic","F","New Orleans Pelicans","2018-11-07","CHI",11,19.7960155065038
"14","Mirotic","F","New Orleans Pelicans","2018-11-14","MIN",20,18.3901631988517
"15","Mirotic","F","New Orleans Pelicans","2018-11-16","NYK",16,17.9087365138249
"16","Mirotic","F","New Orleans Pelicans","2018-11-17","DEN",26,18.733793715339
"17","Mirotic","F","New Orleans Pelicans","2018-11-19","SAS",19,18.9207173922275
"18","Mirotic","F","New Orleans Pelicans","2018-11-21","PHI",17,21.6689813797142
"19","Mirotic","F","New Orleans Pelicans","2018-11-23","NYK",25,19.7751258104682
"20","Mirotic","F","New Orleans Pelicans","2018-11-24","WAS",34,18.3313966909924
"21","Mirotic","F","New Orleans Pelicans","2018-11-26","BOS",37,19.9129543828667
"22","Mirotic","F","New Orleans Pelicans","2018-11-28","WAS",21,21.5352635643875
"23","Mirotic","F","New Orleans Pelicans","2018-11-30","MIA",21,17.746128228853
"24","Mirotic","F","New Orleans Pelicans","2018-12-02","CHO",22,19.0380527687571
"27","Mirotic","F","New Orleans Pelicans","2018-12-07","MEM",4,17.9111136019251
"28","Mirotic","F","New Orleans Pelicans","2018-12-09","DET",16,20.1904656058225
"29","Mirotic","F","New Orleans Pelicans","2018-12-10","BOS",5,19.7123056322698
"42","Mirotic","F","New Orleans Pelicans","2019-01-09","CLE",25,20.2798770244496
"43","Mirotic","F","New Orleans Pelicans","2019-01-12","MIN",11,19.5854148954314
"44","Mirotic","F","New Orleans Pelicans","2019-01-14","LAC",0,18.2018846529731
"45","Mirotic","F","New Orleans Pelicans","2019-01-16","GSW",41,19.2537103020878
"46","Mirotic","F","New Orleans Pelicans","2019-01-18","POR",19,20.0066568566168
"47","Mirotic","F","New Orleans Pelicans","2019-01-21","MEM",31,19.2786568462424
"48","Mirotic","F","New Orleans Pelicans","2019-01-23","DET",17,18.8231701239932
"60","Mirotic","F","New Orleans Pelicans","2019-02-21","BOS",12,18.3912429480159
"61","Mirotic","F","New Orleans Pelicans","2019-02-23","MIN",23,21.1562927255909
"62","Mirotic","F","New Orleans Pelicans","2019-02-25","CHI",19,18.1186599688946
"63","Mirotic","F","New Orleans Pelicans","2019-02-27","SAC",31,18.7948939983591
"64","Mirotic","F","New Orleans Pelicans","2019-03-01","LAL",13,18.1556342083694
"65","Mirotic","F","New Orleans Pelicans","2019-03-02","UTA",5,19.7668279051707
"66","Mirotic","F","New Orleans Pelicans","2019-03-04","PHO",19,17.8386229581012
"67","Mirotic","F","New Orleans Pelicans","2019-03-07","IND",2,18.5904000740295
"68","Mirotic","F","New Orleans Pelicans","2019-03-09","CHO",28,17.7813029426763
"69","Mirotic","F","New Orleans Pelicans","2019-03-10","SAS",14,19.2860742601259
"70","Mirotic","F","New Orleans Pelicans","2019-03-12","NOP",16,20.3470208608232
"71","Mirotic","F","New Orleans Pelicans","2019-03-15","MIA",12,19.0450863753084
"72","Mirotic","F","New Orleans Pelicans","2019-03-17","PHI",2,18.098112498655
