"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Moore","F","New Orleans Pelicans","2018-10-17","HOU",23,NA
"2","Moore","F","New Orleans Pelicans","2018-10-19","SAC",10,15.0092963173914
"3","Moore","F","New Orleans Pelicans","2018-10-23","LAC",18,16.1600425690617
"4","Moore","F","New Orleans Pelicans","2018-10-26","BRK",19,15.664891216471
"5","Moore","F","New Orleans Pelicans","2018-10-27","UTA",7,13.9392078580827
"6","Moore","F","New Orleans Pelicans","2018-10-29","DEN",24,15.2875374212616
"7","Moore","F","New Orleans Pelicans","2018-10-31","GSW",27,14.8955068314856
"8","Moore","F","New Orleans Pelicans","2018-11-01","POR",23,16.0587476794558
"9","Moore","F","New Orleans Pelicans","2018-11-03","SAS",15,13.8944272691241
"10","Moore","F","New Orleans Pelicans","2018-11-05","OKC",4,14.4883082827219
"11","Moore","F","New Orleans Pelicans","2018-11-07","CHI",10,16.9247452551247
"12","Moore","F","New Orleans Pelicans","2018-11-10","PHO",19,14.5257434831988
"13","Moore","F","New Orleans Pelicans","2018-11-12","TOR",36,14.6835965239721
"14","Moore","F","New Orleans Pelicans","2018-11-14","MIN",39,14.6354038621739
"15","Moore","F","New Orleans Pelicans","2018-11-16","NYK",15,16.186273938263
"16","Moore","F","New Orleans Pelicans","2018-11-17","DEN",15,14.5230477712046
"17","Moore","F","New Orleans Pelicans","2018-11-19","SAS",28,15.8437146396309
"18","Moore","F","New Orleans Pelicans","2018-11-21","PHI",36,14.9023267036798
"19","Moore","F","New Orleans Pelicans","2018-11-23","NYK",5,14.6212056532256
"20","Moore","F","New Orleans Pelicans","2018-11-24","WAS",21,14.9009368895584
"21","Moore","F","New Orleans Pelicans","2018-11-26","BOS",7,15.4404495983043
"22","Moore","F","New Orleans Pelicans","2018-11-28","WAS",12,14.9763107376845
"23","Moore","F","New Orleans Pelicans","2018-11-30","MIA",6,15.4874037332651
"25","Moore","F","New Orleans Pelicans","2018-12-03","LAC",6,14.487338639584
"26","Moore","F","New Orleans Pelicans","2018-12-05","DAL",23,14.4508653760248
"27","Moore","F","New Orleans Pelicans","2018-12-07","MEM",4,15.924663922077
"28","Moore","F","New Orleans Pelicans","2018-12-09","DET",4,13.1953761823452
"31","Moore","F","New Orleans Pelicans","2018-12-16","MIA",17,14.6328624965103
"32","Moore","F","New Orleans Pelicans","2018-12-19","MIL",9,15.4606630662837
"33","Moore","F","New Orleans Pelicans","2018-12-21","LAL",14,14.4261846256392
"34","Moore","F","New Orleans Pelicans","2018-12-23","SAC",10,14.9771461865442
"35","Moore","F","New Orleans Pelicans","2018-12-26","DAL",2,16.6143616708203
"36","Moore","F","New Orleans Pelicans","2018-12-28","DAL",2,14.9249848707276
"37","Moore","F","New Orleans Pelicans","2018-12-29","HOU",27,14.3622387225246
"38","Moore","F","New Orleans Pelicans","2018-12-31","MIN",23,15.1483190037672
"39","Moore","F","New Orleans Pelicans","2019-01-02","BRK",20,15.9550109374187
"40","Moore","F","New Orleans Pelicans","2019-01-05","CLE",12,15.2015704795953
"43","Moore","F","New Orleans Pelicans","2019-01-12","MIN",2,14.5940032481516
"44","Moore","F","New Orleans Pelicans","2019-01-14","LAC",5,17.3020247458245
"45","Moore","F","New Orleans Pelicans","2019-01-16","GSW",19,14.6614008923616
"46","Moore","F","New Orleans Pelicans","2019-01-18","POR",25,14.7213363909216
"47","Moore","F","New Orleans Pelicans","2019-01-21","MEM",6,16.5593355268957
"48","Moore","F","New Orleans Pelicans","2019-01-23","DET",5,13.634233098008
"50","Moore","F","New Orleans Pelicans","2019-01-26","SAS",6,14.766789620721
"57","Moore","F","New Orleans Pelicans","2019-02-09","MEM",7,16.4530730117007
"58","Moore","F","New Orleans Pelicans","2019-02-12","ORL",25,14.8220821262099
"59","Moore","F","New Orleans Pelicans","2019-02-14","OKC",21,15.6156077079309
"60","Moore","F","New Orleans Pelicans","2019-02-22","IND",14,15.9459146298806
"62","Moore","F","New Orleans Pelicans","2019-02-25","PHI",11,15.3485448597629
"63","Moore","F","New Orleans Pelicans","2019-02-27","LAL",0,16.2485407543598
"64","Moore","F","New Orleans Pelicans","2019-03-01","PHO",28,15.4000916460687
"66","Moore","F","New Orleans Pelicans","2019-03-04","UTA",9,16.1021932340961
