"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Morris","F","Boston Celtics","2018-10-16","PHI",20,NA
"2","Morris","F","Boston Celtics","2018-10-19","TOR",12,17.272557744614
"3","Morris","F","Boston Celtics","2018-10-20","NYK",20,16.851842695774
"4","Morris","F","Boston Celtics","2018-10-22","ORL",7,13.8090973300286
"5","Morris","F","Boston Celtics","2018-10-25","OKC",29,16.8541117306606
"6","Morris","F","Boston Celtics","2018-10-27","DET",24,15.3722285182848
"7","Morris","F","Boston Celtics","2018-10-30","DET",19,14.8325988268977
"8","Morris","F","Boston Celtics","2018-11-01","MIL",27,14.3255612256101
"9","Morris","F","Boston Celtics","2018-11-03","IND",31,15.3952865852179
"10","Morris","F","Boston Celtics","2018-11-05","DEN",6,14.7410953008078
"11","Morris","F","Boston Celtics","2018-11-08","PHO",21,16.2760829920381
"12","Morris","F","Boston Celtics","2018-11-09","UTA",20,13.7941208655209
"13","Morris","F","Boston Celtics","2018-11-11","POR",19,15.9430235565798
"15","Morris","F","Boston Celtics","2018-11-16","TOR",13,15.8204332975032
"16","Morris","F","Boston Celtics","2018-11-17","UTA",3,14.4237989665563
"17","Morris","F","Boston Celtics","2018-11-19","CHO",9,12.0564416368656
"18","Morris","F","Boston Celtics","2018-11-21","NYK",27,13.9841985882475
"19","Morris","F","Boston Celtics","2018-11-23","ATL",12,13.8386311885312
"20","Morris","F","Boston Celtics","2018-11-24","DAL",15,16.0679134930323
"21","Morris","F","Boston Celtics","2018-11-26","NOP",25,18.0263599611173
"22","Morris","F","Boston Celtics","2018-11-30","CLE",19,15.447574474412
"23","Morris","F","Boston Celtics","2018-12-01","MIN",24,14.66926751748
"24","Morris","F","Boston Celtics","2018-12-06","NYK",10,13.1666331414394
"25","Morris","F","Boston Celtics","2018-12-08","CHI",16,14.7867655087968
"26","Morris","F","Boston Celtics","2018-12-10","NOP",41,14.5574811836448
"27","Morris","F","Boston Celtics","2018-12-12","WAS",29,12.9825165635728
"28","Morris","F","Boston Celtics","2018-12-14","ATL",32,14.0573443954631
"29","Morris","F","Boston Celtics","2018-12-15","DET",9,16.9294801832865
"32","Morris","F","Boston Celtics","2018-12-23","CHO",16,13.6589943064182
"33","Morris","F","Boston Celtics","2018-12-25","PHI",29,18.3101039324238
"34","Morris","F","Boston Celtics","2018-12-27","HOU",25,14.8976445432321
"35","Morris","F","Boston Celtics","2018-12-29","MEM",30,15.2845378964067
"36","Morris","F","Boston Celtics","2018-12-31","SAS",22,15.036565681122
"37","Morris","F","Boston Celtics","2019-01-02","MIN",16,15.0151713671026
"39","Morris","F","Boston Celtics","2019-01-07","BRK",18,13.7838541162677
"40","Morris","F","Boston Celtics","2019-01-09","IND",28,15.0393781512605
"41","Morris","F","Boston Celtics","2019-01-10","MIA",23,15.0318603135728
"42","Morris","F","Boston Celtics","2019-01-12","ORL",23,16.2364916683292
"43","Morris","F","Boston Celtics","2019-01-14","BRK",10,16.2076118432931
"44","Morris","F","Boston Celtics","2019-01-16","TOR",8,14.9093083273646
"45","Morris","F","Boston Celtics","2019-01-18","MEM",8,14.8402635926875
"46","Morris","F","Boston Celtics","2019-01-19","ATL",12,17.5141261468001
"47","Morris","F","Boston Celtics","2019-01-21","MIA",21,15.7806143407956
"48","Morris","F","Boston Celtics","2019-01-23","CLE",13,15.7136391701329
"49","Morris","F","Boston Celtics","2019-01-26","GSW",13,14.8790733588307
"50","Morris","F","Boston Celtics","2019-01-28","BRK",17,14.9333702931766
"51","Morris","F","Boston Celtics","2019-01-30","CHO",17,15.3091032373157
