"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"7","Mudiay","PG","New York Knicks","2018-10-29","BRK",0,NA
"9","Mudiay","PG","New York Knicks","2018-11-02","DAL",6,16.5780416666667
"10","Mudiay","PG","New York Knicks","2018-11-04","WAS",4,7.47033333333333
"11","Mudiay","PG","New York Knicks","2018-11-05","CHI",18,8.96295833333333
"12","Mudiay","PG","New York Knicks","2018-11-07","ATL",17,12.6347916666667
"13","Mudiay","PG","New York Knicks","2018-11-10","TOR",12,9.100375
"14","Mudiay","PG","New York Knicks","2018-11-11","ORL",3,9.126875
"15","Mudiay","PG","New York Knicks","2018-11-14","OKC",7,11.7389166666667
"16","Mudiay","PG","New York Knicks","2018-11-16","NOP",23,13.617375
"17","Mudiay","PG","New York Knicks","2018-11-18","ORL",12,12.590875
"18","Mudiay","PG","New York Knicks","2018-11-20","POR",20,9.87829166666667
"19","Mudiay","PG","New York Knicks","2018-11-21","BOS",7,11.0562916666667
"20","Mudiay","PG","New York Knicks","2018-11-23","NOP",29,11.53775
"21","Mudiay","PG","New York Knicks","2018-11-25","MEM",21,9.71954166666666
"22","Mudiay","PG","New York Knicks","2018-11-27","DET",11,10.3245833333333
"23","Mudiay","PG","New York Knicks","2018-11-28","PHI",3,10.4587916666667
"24","Mudiay","PG","New York Knicks","2018-12-01","MIL",36,9.48929166666667
"25","Mudiay","PG","New York Knicks","2018-12-03","WAS",20,9.75454166666667
"26","Mudiay","PG","New York Knicks","2018-12-06","BOS",21,8.47025
"27","Mudiay","PG","New York Knicks","2018-12-08","BRK",17,10.763
"28","Mudiay","PG","New York Knicks","2018-12-09","CHO",6,15.8910416666667
"29","Mudiay","PG","New York Knicks","2018-12-12","CLE",16,9.22616666666667
"30","Mudiay","PG","New York Knicks","2018-12-14","CHO",36,10.363125
"31","Mudiay","PG","New York Knicks","2018-12-16","IND",20,8.51891666666667
"32","Mudiay","PG","New York Knicks","2018-12-17","PHO",36,10.8099583333333
"33","Mudiay","PG","New York Knicks","2018-12-19","PHI",13,10.308125
"34","Mudiay","PG","New York Knicks","2018-12-21","ATL",38,13.0280416666667
"35","Mudiay","PG","New York Knicks","2018-12-25","MIL",13,10.664375
"36","Mudiay","PG","New York Knicks","2018-12-27","MIL",13,10.2681666666667
"37","Mudiay","PG","New York Knicks","2018-12-29","UTA",15,11.05025
"38","Mudiay","PG","New York Knicks","2019-01-01","DEN",17,10.1856666666667
"39","Mudiay","PG","New York Knicks","2019-01-04","LAL",17,9.25320833333334
"40","Mudiay","PG","New York Knicks","2019-01-07","POR",17,10.1757916666667
"41","Mudiay","PG","New York Knicks","2019-01-08","GSW",7,9.7925
"42","Mudiay","PG","New York Knicks","2019-01-11","IND",27,8.26183333333333
"43","Mudiay","PG","New York Knicks","2019-01-13","PHI",21,11.7829166666667
"44","Mudiay","PG","New York Knicks","2019-01-17","WAS",27,13.8668333333333
"45","Mudiay","PG","New York Knicks","2019-01-21","OKC",14,13.139
"46","Mudiay","PG","New York Knicks","2019-01-23","HOU",16,10.5346666666667
"59","Mudiay","PG","New York Knicks","2019-02-22","MIN",19,12.93425
"60","Mudiay","PG","New York Knicks","2019-02-24","SAS",25,12.3937083333333
"61","Mudiay","PG","New York Knicks","2019-02-26","ORL",19,10.706
"62","Mudiay","PG","New York Knicks","2019-02-28","CLE",12,10.5303333333333
"63","Mudiay","PG","New York Knicks","2019-03-03","LAC",20,10.5583333333333
"64","Mudiay","PG","New York Knicks","2019-03-04","SAC",10,12.9567083333333
"65","Mudiay","PG","New York Knicks","2019-03-06","PHO",2,9.57087500000001
"66","Mudiay","PG","New York Knicks","2019-03-09","SAC",11,9.53804166666667
"67","Mudiay","PG","New York Knicks","2019-03-10","MIN",4,9.99304166666667
"68","Mudiay","PG","New York Knicks","2019-03-12","IND",27,11.2022083333333
"69","Mudiay","PG","New York Knicks","2019-03-15","SAS",18,12.4419166666667
"70","Mudiay","PG","New York Knicks","2019-03-17","LAL",34,13.1262916666667
"71","Mudiay","PG","New York Knicks","2019-03-18","TOR",9,11.8512083333333
"72","Mudiay","PG","New York Knicks","2019-03-20","UTA",15,8.89854166666667
"73","Mudiay","PG","New York Knicks","2019-03-22","DEN",25,7.64408333333334
"74","Mudiay","PG","New York Knicks","2019-03-24","LAC",30,12.2139166666667
"75","Mudiay","PG","New York Knicks","2019-03-28","TOR",11,9.07783333333333
"76","Mudiay","PG","New York Knicks","2019-03-30","MIA",28,12.6864583333333
"77","Mudiay","PG","New York Knicks","2019-04-01","CHI",21,12.667875
