,Player,Team,Position,Date,Opp,Fantasy_Score,predictions_2019
1,Nikola Jokic,Denver Nuggets,C,17/10/2018,LAC,23,NA
2,Nikola Jokic,Denver Nuggets,C,20/10/2018,PHO,41,24.13255451
3,Nikola Jokic,Denver Nuggets,C,21/10/2018,GSW,23,22.12617891
4,Nikola Jokic,Denver Nuggets,C,23/10/2018,SAC,16,20.23827659
5,Nikola Jokic,Denver Nuggets,C,25/10/2018,LAL,26,22.5694846
6,Nikola Jokic,Denver Nuggets,C,29/10/2018,NOP,16,21.05903572
7,Nikola Jokic,Denver Nuggets,C,31/10/2018,CHI,28,21.103018
8,Nikola Jokic,Denver Nuggets,C,01/11/2018,CLE,4,20.04020563
9,Nikola Jokic,Denver Nuggets,C,03/11/2018,UTA,7,20.5080173
10,Nikola Jokic,Denver Nuggets,C,05/11/2018,BOS,8,16.48387458
11,Nikola Jokic,Denver Nuggets,C,07/11/2018,MEM,4,18.78898976
12,Nikola Jokic,Denver Nuggets,C,09/11/2018,BRK,39,24.16164976
13,Nikola Jokic,Denver Nuggets,C,11/11/2018,MIL,28,23.0699005
14,Nikola Jokic,Denver Nuggets,C,13/11/2018,HOU,14,24.28230628
15,Nikola Jokic,Denver Nuggets,C,15/11/2018,ATL,14,22.21211914
16,Nikola Jokic,Denver Nuggets,C,17/11/2018,NOP,29,21.4523947
17,Nikola Jokic,Denver Nuggets,C,19/11/2018,MIL,26,23.25263197
18,Nikola Jokic,Denver Nuggets,C,21/11/2018,MIN,9,26.01384059
19,Nikola Jokic,Denver Nuggets,C,23/11/2018,ORL,6,20.11686821
20,Nikola Jokic,Denver Nuggets,C,24/11/2018,OKC,16,19.06640507
21,Nikola Jokic,Denver Nuggets,C,27/11/2018,LAL,18,25.81233843
22,Nikola Jokic,Denver Nuggets,C,30/11/2018,POR,15,23.05680757
23,Nikola Jokic,Denver Nuggets,C,03/12/2018,TOR,23,25.24842775
24,Nikola Jokic,Denver Nuggets,C,05/12/2018,ORL,14,21.67022262
25,Nikola Jokic,Denver Nuggets,C,07/12/2018,CHO,16,22.64499965
26,Nikola Jokic,Denver Nuggets,C,08/12/2018,ATL,24,21.40809766
27,Nikola Jokic,Denver Nuggets,C,10/12/2018,MEM,29,20.69043049
28,Nikola Jokic,Denver Nuggets,C,14/12/2018,OKC,28,19.97171382
29,Nikola Jokic,Denver Nuggets,C,16/12/2018,TOR,26,22.17527484
30,Nikola Jokic,Denver Nuggets,C,18/12/2018,DAL,36,19.74859259
31,Nikola Jokic,Denver Nuggets,C,22/12/2018,LAC,23,21.13382213
32,Nikola Jokic,Denver Nuggets,C,26/12/2018,SAS,6,23.74502928
33,Nikola Jokic,Denver Nuggets,C,28/12/2018,SAS,23,22.75534362
34,Nikola Jokic,Denver Nuggets,C,29/12/2018,PHO,23,23.09059353
35,Nikola Jokic,Denver Nuggets,C,01/01/2019,NYK,21,23.58093877
36,Nikola Jokic,Denver Nuggets,C,03/01/2019,SAC,32,19.44162587
37,Nikola Jokic,Denver Nuggets,C,05/01/2019,CHO,45,21.54919462
38,Nikola Jokic,Denver Nuggets,C,07/01/2019,HOU,26,19.83633274
39,Nikola Jokic,Denver Nuggets,C,08/01/2019,MIA,31,22.598877
40,Nikola Jokic,Denver Nuggets,C,10/01/2019,LAC,18,18.97592282
41,Nikola Jokic,Denver Nuggets,C,12/01/2019,PHO,25,22.88389226
42,Nikola Jokic,Denver Nuggets,C,13/01/2019,POR,48,21.53919954
43,Nikola Jokic,Denver Nuggets,C,15/01/2019,GSW,17,17.50273137
44,Nikola Jokic,Denver Nuggets,C,17/01/2019,CHI,18,24.65071722
45,Nikola Jokic,Denver Nuggets,C,19/01/2019,CLE,25,24.34294603
46,Nikola Jokic,Denver Nuggets,C,23/01/2019,UTA,30,19.79638705
48,Nikola Jokic,Denver Nuggets,C,26/01/2019,PHI,36,21.46156695
49,Nikola Jokic,Denver Nuggets,C,28/01/2019,MEM,26,23.17797659
50,Nikola Jokic,Denver Nuggets,C,30/01/2019,NOP,20,22.92074329
51,Nikola Jokic,Denver Nuggets,C,01/02/2019,HOU,33,23.13798107
52,Nikola Jokic,Denver Nuggets,C,02/02/2019,MIN,13,23.54951517
53,Nikola Jokic,Denver Nuggets,C,04/02/2019,DET,16,23.97254438
54,Nikola Jokic,Denver Nuggets,C,06/02/2019,BRK,27,27.65352031
55,Nikola Jokic,Denver Nuggets,C,08/02/2019,PHI,29,23.85799091
56,Nikola Jokic,Denver Nuggets,C,11/02/2019,MIA,29,21.64791205
57,Nikola Jokic,Denver Nuggets,C,13/02/2019,SAC,20,19.09534094
58,Nikola Jokic,Denver Nuggets,C,22/02/2019,DAL,21,21.20772324
59,Nikola Jokic,Denver Nuggets,C,24/02/2019,LAC,22,21.28173261
60,Nikola Jokic,Denver Nuggets,C,26/02/2019,OKC,44,21.41081581
61,Nikola Jokic,Denver Nuggets,C,28/02/2019,UTA,16,20.19978146
62,Nikola Jokic,Denver Nuggets,C,02/03/2019,NOP,22,20.42921364
63,Nikola Jokic,Denver Nuggets,C,04/03/2019,SAS,26,23.23319642
64,Nikola Jokic,Denver Nuggets,C,06/03/2019,LAL,12,21.55566808
65,Nikola Jokic,Denver Nuggets,C,08/03/2019,GSW,18,20.00018277
66,Nikola Jokic,Denver Nuggets,C,12/03/2019,MIN,18,24.4613084
67,Nikola Jokic,Denver Nuggets,C,14/03/2019,DAL,11,23.36694601
68,Nikola Jokic,Denver Nuggets,C,16/03/2019,IND,30,22.85695009
69,Nikola Jokic,Denver Nuggets,C,18/03/2019,BOS,27,21.73333394
70,Nikola Jokic,Denver Nuggets,C,21/03/2019,WAS,19,23.38831265
71,Nikola Jokic,Denver Nuggets,C,22/03/2019,NYK,23,25.09150912
72,Nikola Jokic,Denver Nuggets,C,24/03/2019,IND,21,21.32160872
73,Nikola Jokic,Denver Nuggets,C,26/03/2019,DET,23,21.92826923
74,Nikola Jokic,Denver Nuggets,C,28/03/2019,HOU,16,22.23680227
75,Nikola Jokic,Denver Nuggets,C,29/03/2019,OKC,25,26.70244932
76,Nikola Jokic,Denver Nuggets,C,31/03/2019,WAS,23,25.08002546
77,Nikola Jokic,Denver Nuggets,C,02/04/2019,GSW,10,23.67594372
78,Nikola Jokic,Denver Nuggets,C,03/04/2019,SAS,20,26.54487633
79,Nikola Jokic,Denver Nuggets,C,05/04/2019,POR,24,22.10011235
81,Nikola Jokic,Denver Nuggets,C,09/04/2019,UTA,2,23.76567273
