"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Oladipo","SG","Indiana Pacers","2018-10-17","MEM",22,NA
"2","Oladipo","SG","Indiana Pacers","2018-10-19","MIL",27,28.6824177012419
"3","Oladipo","SG","Indiana Pacers","2018-10-20","BRK",31,28.2860827543246
"4","Oladipo","SG","Indiana Pacers","2018-10-22","MIN",24,29.851911905423
"5","Oladipo","SG","Indiana Pacers","2018-10-24","SAS",27,29.624689412934
"6","Oladipo","SG","Indiana Pacers","2018-10-27","CLE",28,27.0786824823869
"7","Oladipo","SG","Indiana Pacers","2018-10-29","POR",25,27.6256726226611
"8","Oladipo","SG","Indiana Pacers","2018-10-31","NYK",30,28.6620838863294
"9","Oladipo","SG","Indiana Pacers","2018-11-02","CHI",27,28.968762855408
"10","Oladipo","SG","Indiana Pacers","2018-11-03","BOS",32,28.7775615493309
"11","Oladipo","SG","Indiana Pacers","2018-11-05","HOU",36,26.9775282458956
"12","Oladipo","SG","Indiana Pacers","2018-11-07","PHI",44,29.2789233684893
"13","Oladipo","SG","Indiana Pacers","2018-11-09","MIA",24,29.2024352565722
"14","Oladipo","SG","Indiana Pacers","2018-11-11","HOU",28,28.2602727703569
"15","Oladipo","SG","Indiana Pacers","2018-11-16","MIA",12,29.2931512731484
"16","Oladipo","SG","Indiana Pacers","2018-11-17","ATL",2,27.0336883943741
"28","Oladipo","SG","Indiana Pacers","2018-12-12","MIL",14,27.3978857802564
"29","Oladipo","SG","Indiana Pacers","2018-12-14","PHI",14,26.7581175666214
"30","Oladipo","SG","Indiana Pacers","2018-12-16","NYK",36,27.6050831466213
"31","Oladipo","SG","Indiana Pacers","2018-12-18","CLE",14,30.4773812139539
"32","Oladipo","SG","Indiana Pacers","2018-12-19","TOR",20,29.2743896403958
"33","Oladipo","SG","Indiana Pacers","2018-12-21","BRK",36,28.9521145495365
"34","Oladipo","SG","Indiana Pacers","2018-12-23","WAS",16,29.5132814128109
"35","Oladipo","SG","Indiana Pacers","2018-12-26","ATL",20,28.1876630013201
"36","Oladipo","SG","Indiana Pacers","2018-12-28","DET",7,29.5402839789033
"37","Oladipo","SG","Indiana Pacers","2018-12-31","ATL",26,27.871728197323
"38","Oladipo","SG","Indiana Pacers","2019-01-04","CHI",44,27.7976893236416
"39","Oladipo","SG","Indiana Pacers","2019-01-06","TOR",16,30.1423312406824
"40","Oladipo","SG","Indiana Pacers","2019-01-08","CLE",19,28.1147016642458
"41","Oladipo","SG","Indiana Pacers","2019-01-09","BOS",23,28.1965507769567
"42","Oladipo","SG","Indiana Pacers","2019-01-11","NYK",25,26.5906211160501
"43","Oladipo","SG","Indiana Pacers","2019-01-15","PHO",10,26.2875203922361
"44","Oladipo","SG","Indiana Pacers","2019-01-17","PHI",21,28.6688969448064
"45","Oladipo","SG","Indiana Pacers","2019-01-19","DAL",14,27.3949360032454
"46","Oladipo","SG","Indiana Pacers","2019-01-20","CHO",25,28.9410865498935
