"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Osman","F","Cleveland Cavaliers","2018-10-17","TOR",21,NA
"2","Osman","F","Cleveland Cavaliers","2018-10-19","MIN",30,9.41058333333333
"3","Osman","F","Cleveland Cavaliers","2018-10-21","ATL",16,13.9882916666667
"4","Osman","F","Cleveland Cavaliers","2018-10-24","BRK",8,7.17941666666667
"5","Osman","F","Cleveland Cavaliers","2018-10-25","DET",5,6.73458333333333
"6","Osman","F","Cleveland Cavaliers","2018-10-27","IND",14,10.0503333333333
"7","Osman","F","Cleveland Cavaliers","2018-10-30","ATL",26,5.88204166666667
"8","Osman","F","Cleveland Cavaliers","2018-11-01","DEN",17,7.12916666666667
"9","Osman","F","Cleveland Cavaliers","2018-11-03","CHO",9,5.69604166666667
"10","Osman","F","Cleveland Cavaliers","2018-11-05","ORL",13,9.30595833333334
"11","Osman","F","Cleveland Cavaliers","2018-11-07","OKC",0,8.62883333333333
"14","Osman","F","Cleveland Cavaliers","2018-11-14","WAS",4,3.5285
"15","Osman","F","Cleveland Cavaliers","2018-11-19","DET",12,9.59375000000001
"16","Osman","F","Cleveland Cavaliers","2018-11-21","LAL",31,7.18308333333334
"17","Osman","F","Cleveland Cavaliers","2018-11-23","PHI",24,9.43895833333334
"18","Osman","F","Cleveland Cavaliers","2018-11-24","HOU",7,8.86158333333334
"19","Osman","F","Cleveland Cavaliers","2018-11-26","MIN",12,10.5974166666667
"20","Osman","F","Cleveland Cavaliers","2018-11-28","OKC",18,9.39704166666666
"21","Osman","F","Cleveland Cavaliers","2018-11-30","BOS",9,4.53379166666666
"22","Osman","F","Cleveland Cavaliers","2018-12-01","TOR",14,10.20625
"23","Osman","F","Cleveland Cavaliers","2018-12-03","BRK",8,9.626375
"24","Osman","F","Cleveland Cavaliers","2018-12-05","GSW",22,9.43745833333334
"25","Osman","F","Cleveland Cavaliers","2018-12-07","SAC",12,6.33995833333333
"26","Osman","F","Cleveland Cavaliers","2018-12-08","WAS",16,7.11591666666666
"27","Osman","F","Cleveland Cavaliers","2018-12-10","MIL",10,5.980625
"28","Osman","F","Cleveland Cavaliers","2018-12-12","NYK",6,7.66070833333333
"29","Osman","F","Cleveland Cavaliers","2018-12-14","MIL",7,9.39054166666667
"30","Osman","F","Cleveland Cavaliers","2018-12-16","PHI",22,8.76937500000001
"31","Osman","F","Cleveland Cavaliers","2018-12-18","IND",15,6.18966666666666
"32","Osman","F","Cleveland Cavaliers","2018-12-19","CHO",15,5.03066666666667
"33","Osman","F","Cleveland Cavaliers","2018-12-21","TOR",12,4.160125
"34","Osman","F","Cleveland Cavaliers","2018-12-23","CHI",21,10.15325
"35","Osman","F","Cleveland Cavaliers","2018-12-26","MEM",10,6.32266666666666
"36","Osman","F","Cleveland Cavaliers","2018-12-28","MIA",16,7.48670833333333
"37","Osman","F","Cleveland Cavaliers","2018-12-29","ATL",26,6.59979166666667
"38","Osman","F","Cleveland Cavaliers","2019-01-02","MIA",13,10.2852916666667
"39","Osman","F","Cleveland Cavaliers","2019-01-04","UTA",8,10.5620833333333
"40","Osman","F","Cleveland Cavaliers","2019-01-05","NOP",17,9.18820833333334
"41","Osman","F","Cleveland Cavaliers","2019-01-08","IND",21,7.00370833333333
"42","Osman","F","Cleveland Cavaliers","2019-01-09","NOP",14,8.14325
"43","Osman","F","Cleveland Cavaliers","2019-01-11","HOU",15,8.88770833333334
"44","Osman","F","Cleveland Cavaliers","2019-01-13","LAL",24,6.23504166666667
"45","Osman","F","Cleveland Cavaliers","2019-01-16","POR",4,10.71525
"46","Osman","F","Cleveland Cavaliers","2019-01-18","UTA",9,10.944
"47","Osman","F","Cleveland Cavaliers","2019-01-19","DEN",19,9.61541666666668
