"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Oubre","F","Phoenix Suns","2018-10-18","MIA",9,NA
"2","Oubre","F","Phoenix Suns","2018-10-20","TOR",10,13.401648360602
"3","Oubre","F","Phoenix Suns","2018-10-22","POR",28,14.8458204375316
"4","Oubre","F","Phoenix Suns","2018-10-24","GSW",23,15.0702644770387
"5","Oubre","F","Phoenix Suns","2018-10-26","SAC",32,16.1614839767221
"6","Oubre","F","Phoenix Suns","2018-10-28","LAC",11,12.7416352083671
"7","Oubre","F","Phoenix Suns","2018-10-30","MEM",18,14.7749690089766
"8","Oubre","F","Phoenix Suns","2018-11-02","OKC",14,15.5831428349572
"9","Oubre","F","Phoenix Suns","2018-11-04","NYK",11,15.1585715987686
"10","Oubre","F","Phoenix Suns","2018-11-06","DAL",6,13.991688785572
"11","Oubre","F","Phoenix Suns","2018-11-09","ORL",23,16.5949511627193
"12","Oubre","F","Phoenix Suns","2018-11-10","MIA",7,16.0964959110527
"13","Oubre","F","Phoenix Suns","2018-11-12","ORL",1,15.9820662186846
"14","Oubre","F","Phoenix Suns","2018-11-14","CLE",8,16.229785850125
"15","Oubre","F","Phoenix Suns","2018-11-16","BRK",20,13.889952621133
"16","Oubre","F","Phoenix Suns","2018-11-18","POR",23,15.9733738703848
"17","Oubre","F","Phoenix Suns","2018-11-20","LAC",5,13.4620926367353
"18","Oubre","F","Phoenix Suns","2018-11-23","TOR",13,17.1437914394041
"19","Oubre","F","Phoenix Suns","2018-11-24","NOP",16,14.0717184810956
"20","Oubre","F","Phoenix Suns","2018-11-26","HOU",4,15.343537259093
"21","Oubre","F","Phoenix Suns","2018-11-28","NOP",30,16.8729277275664
"22","Oubre","F","Phoenix Suns","2018-11-30","PHI",8,16.2936522833536
"23","Oubre","F","Phoenix Suns","2018-12-01","BRK",7,12.7329923148849
"24","Oubre","F","Phoenix Suns","2018-12-03","NYK",31,17.5263580457182
"25","Oubre","F","Phoenix Suns","2018-12-05","ATL",23,15.6864625809762
"26","Oubre","F","Phoenix Suns","2018-12-08","CLE",13,15.730533346248
"27","Oubre","F","Phoenix Suns","2018-12-10","IND",25,14.9529421342603
"28","Oubre","F","Phoenix Suns","2018-12-12","BOS",26,15.7380215999454
"29","Oubre","F","Phoenix Suns","2018-12-14","BRK",10,18.0166163833661
"32","Oubre","F","Phoenix Suns","2018-12-19","BOS",17,15.4130406330447
"33","Oubre","F","Phoenix Suns","2018-12-22","WAS",26,13.0337017302363
"34","Oubre","F","Phoenix Suns","2018-12-23","BRK",9,15.1039679621231
"35","Oubre","F","Phoenix Suns","2018-12-26","ORL",25,15.117904864921
"36","Oubre","F","Phoenix Suns","2018-12-28","OKC",4,16.0642539476617
"37","Oubre","F","Phoenix Suns","2018-12-29","DEN",4,18.0272824601604
"38","Oubre","F","Phoenix Suns","2018-12-31","GSW",17,14.6497405883523
"39","Oubre","F","Phoenix Suns","2019-01-02","PHI",11,16.2621596069281
"40","Oubre","F","Phoenix Suns","2019-01-04","LAC",12,17.0321727731361
"41","Oubre","F","Phoenix Suns","2019-01-06","CHO",6,17.5457247889023
"42","Oubre","F","Phoenix Suns","2019-01-08","SAC",32,16.7202971361441
"43","Oubre","F","Phoenix Suns","2019-01-09","DAL",14,14.1184332586459
"44","Oubre","F","Phoenix Suns","2019-01-12","DEN",34,16.0001283525472
"45","Oubre","F","Phoenix Suns","2019-01-15","IND",18,15.0707117911617
"46","Oubre","F","Phoenix Suns","2019-01-17","TOR",20,14.9571526477407
"47","Oubre","F","Phoenix Suns","2019-01-19","CHO",32,14.7614678047193
"48","Oubre","F","Phoenix Suns","2019-01-20","MIN",26,16.6057643310861
"49","Oubre","F","Phoenix Suns","2019-01-22","MIN",17,16.1260596155213
"50","Oubre","F","Phoenix Suns","2019-01-24","POR",20,17.3017306974088
"51","Oubre","F","Phoenix Suns","2019-01-25","DEN",15,14.3355661948883
"52","Oubre","F","Phoenix Suns","2019-01-27","LAL",21,14.1262733521403
"53","Oubre","F","Phoenix Suns","2019-01-29","SAS",16,16.6794444552703
"54","Oubre","F","Phoenix Suns","2019-02-02","ATL",13,14.9347914994513
"55","Oubre","F","Phoenix Suns","2019-02-04","HOU",29,16.4972653920985
"56","Oubre","F","Phoenix Suns","2019-02-06","UTA",16,16.6988785454748
"57","Oubre","F","Phoenix Suns","2019-02-08","GSW",25,15.2126512086805
"58","Oubre","F","Phoenix Suns","2019-02-10","SAC",7,13.822336303809
"59","Oubre","F","Phoenix Suns","2019-02-13","LAC",34,15.2589819319335
"60","Oubre","F","Phoenix Suns","2019-02-21","CLE",31,15.8343019704324
"61","Oubre","F","Phoenix Suns","2019-02-23","ATL",20,14.6815163129589
"62","Oubre","F","Phoenix Suns","2019-02-25","MIA",18,16.8014482185503
"63","Oubre","F","Phoenix Suns","2019-03-01","NOP",21,13.0625251889845
"64","Oubre","F","Phoenix Suns","2019-03-02","LAL",18,15.5236697113733
"65","Oubre","F","Phoenix Suns","2019-03-04","MIL",29,15.4314878255388
"66","Oubre","F","Phoenix Suns","2019-03-06","NYK",22,13.5652839268596
"67","Oubre","F","Phoenix Suns","2019-03-09","POR",17,14.6662613503884
"68","Oubre","F","Phoenix Suns","2019-03-10","GSW",30,15.2735474597105
"69","Oubre","F","Phoenix Suns","2019-03-13","UTA",18,16.7212157080358
"70","Oubre","F","Phoenix Suns","2019-03-15","HOU",28,15.3693891248717
