,Player,Team,Position,Date,Opp,Fantasy_Score,predictions_2019
1,Paul George,Oklahoma City Thunder,F,16/10/2018,GSW,35,NA
2,Paul George,Oklahoma City Thunder,F,19/10/2018,LAC,26,29.24162843
3,Paul George,Oklahoma City Thunder,F,21/10/2018,SAC,35,28.88214647
4,Paul George,Oklahoma City Thunder,F,25/10/2018,BOS,26,28.34119152
5,Paul George,Oklahoma City Thunder,F,28/10/2018,PHO,31,28.47749699
6,Paul George,Oklahoma City Thunder,F,30/10/2018,LAC,38,27.45380284
7,Paul George,Oklahoma City Thunder,F,01/11/2018,CHO,11,27.3486094
8,Paul George,Oklahoma City Thunder,F,02/11/2018,WAS,25,26.14116783
9,Paul George,Oklahoma City Thunder,F,05/11/2018,NOP,31,27.33691075
10,Paul George,Oklahoma City Thunder,F,07/11/2018,CLE,20,29.47656166
11,Paul George,Oklahoma City Thunder,F,08/11/2018,HOU,26,27.00653959
12,Paul George,Oklahoma City Thunder,F,10/11/2018,DAL,26,29.18393813
13,Paul George,Oklahoma City Thunder,F,12/11/2018,PHO,44,25.83423054
14,Paul George,Oklahoma City Thunder,F,14/11/2018,NYK,45,29.6766644
15,Paul George,Oklahoma City Thunder,F,17/11/2018,PHO,38,30.04152422
16,Paul George,Oklahoma City Thunder,F,19/11/2018,SAC,35,25.94455024
17,Paul George,Oklahoma City Thunder,F,21/11/2018,GSW,33,26.4780506
18,Paul George,Oklahoma City Thunder,F,23/11/2018,CHO,25,28.56313439
19,Paul George,Oklahoma City Thunder,F,24/11/2018,DEN,30,26.28819496
20,Paul George,Oklahoma City Thunder,F,28/11/2018,CLE,20,28.60695269
21,Paul George,Oklahoma City Thunder,F,30/11/2018,ATL,26,25.61711066
22,Paul George,Oklahoma City Thunder,F,03/12/2018,DET,21,25.38963259
23,Paul George,Oklahoma City Thunder,F,05/12/2018,BRK,59,21.95691264
24,Paul George,Oklahoma City Thunder,F,07/12/2018,CHI,23,30.10630645
25,Paul George,Oklahoma City Thunder,F,10/12/2018,UTA,41,26.39194754
26,Paul George,Oklahoma City Thunder,F,12/12/2018,NOP,31,29.45359559
27,Paul George,Oklahoma City Thunder,F,14/12/2018,DEN,38,28.86952375
