,Player,Team,Position,Date,Opp,Fantasy_Score,predictions_2019
1,Paul Millsap,Denver Nuggets,F,17/10/2018,LAC,11,NA
2,Paul Millsap,Denver Nuggets,F,20/10/2018,PHO,14,16.36933929
3,Paul Millsap,Denver Nuggets,F,21/10/2018,GSW,5,16.75310119
4,Paul Millsap,Denver Nuggets,F,23/10/2018,SAC,17,16.02749405
5,Paul Millsap,Denver Nuggets,F,25/10/2018,LAL,6,13.91024802
6,Paul Millsap,Denver Nuggets,F,29/10/2018,NOP,22,15.39913889
7,Paul Millsap,Denver Nuggets,F,31/10/2018,CHI,21,16.21072024
8,Paul Millsap,Denver Nuggets,F,01/11/2018,CLE,18,14.90138095
9,Paul Millsap,Denver Nuggets,F,03/11/2018,UTA,15,16.27058135
10,Paul Millsap,Denver Nuggets,F,05/11/2018,BOS,12,14.94450198
11,Paul Millsap,Denver Nuggets,F,07/11/2018,MEM,2,15.05610317
12,Paul Millsap,Denver Nuggets,F,09/11/2018,BRK,11,16.22038294
13,Paul Millsap,Denver Nuggets,F,11/11/2018,MIL,35,16.93350794
14,Paul Millsap,Denver Nuggets,F,13/11/2018,HOU,15,19.09077778
15,Paul Millsap,Denver Nuggets,F,15/11/2018,ATL,20,16.91056548
16,Paul Millsap,Denver Nuggets,F,17/11/2018,NOP,7,15.81404167
17,Paul Millsap,Denver Nuggets,F,19/11/2018,MIL,8,16.04969444
18,Paul Millsap,Denver Nuggets,F,21/11/2018,MIN,29,17.63324802
19,Paul Millsap,Denver Nuggets,F,23/11/2018,ORL,14,17.30545833
20,Paul Millsap,Denver Nuggets,F,24/11/2018,OKC,12,19.64966468
21,Paul Millsap,Denver Nuggets,F,27/11/2018,LAL,20,15.61320437
22,Paul Millsap,Denver Nuggets,F,30/11/2018,POR,26,16.62380357
23,Paul Millsap,Denver Nuggets,F,03/12/2018,TOR,6,17.70020833
24,Paul Millsap,Denver Nuggets,F,05/12/2018,ORL,22,17.49239484
25,Paul Millsap,Denver Nuggets,F,07/12/2018,CHO,16,16.82463889
34,Paul Millsap,Denver Nuggets,F,29/12/2018,PHO,6,19.18702579
35,Paul Millsap,Denver Nuggets,F,01/01/2019,NYK,16,14.11080159
36,Paul Millsap,Denver Nuggets,F,03/01/2019,SAC,12,17.48684722
37,Paul Millsap,Denver Nuggets,F,05/01/2019,CHO,20,14.11805159
38,Paul Millsap,Denver Nuggets,F,07/01/2019,HOU,6,15.00747817
39,Paul Millsap,Denver Nuggets,F,08/01/2019,MIA,12,16.22385317
40,Paul Millsap,Denver Nuggets,F,10/01/2019,LAC,8,15.8654504
41,Paul Millsap,Denver Nuggets,F,12/01/2019,PHO,10,15.36683135
42,Paul Millsap,Denver Nuggets,F,13/01/2019,POR,11,14.42848611
43,Paul Millsap,Denver Nuggets,F,15/01/2019,GSW,10,15.01569048
44,Paul Millsap,Denver Nuggets,F,17/01/2019,CHI,18,17.1632877
45,Paul Millsap,Denver Nuggets,F,19/01/2019,CLE,14,16.74504167
46,Paul Millsap,Denver Nuggets,F,23/01/2019,UTA,2,17.22277976
47,Paul Millsap,Denver Nuggets,F,25/01/2019,PHO,24,15.6854246
48,Paul Millsap,Denver Nuggets,F,26/01/2019,PHI,4,16.01908135
49,Paul Millsap,Denver Nuggets,F,28/01/2019,MEM,4,16.09070635
50,Paul Millsap,Denver Nuggets,F,30/01/2019,NOP,13,16.47716468
51,Paul Millsap,Denver Nuggets,F,01/02/2019,HOU,14,15.35575397
52,Paul Millsap,Denver Nuggets,F,02/02/2019,MIN,0,15.20926389
56,Paul Millsap,Denver Nuggets,F,11/02/2019,MIA,11,16.1739246
57,Paul Millsap,Denver Nuggets,F,13/02/2019,SAC,27,15.18240278
58,Paul Millsap,Denver Nuggets,F,22/02/2019,DAL,19,15.5051369
59,Paul Millsap,Denver Nuggets,F,24/02/2019,LAC,25,15.89608135
60,Paul Millsap,Denver Nuggets,F,26/02/2019,OKC,12,19.50935516
61,Paul Millsap,Denver Nuggets,F,28/02/2019,UTA,19,17.39456944
62,Paul Millsap,Denver Nuggets,F,02/03/2019,NOP,20,16.90697817
63,Paul Millsap,Denver Nuggets,F,04/03/2019,SAS,7,19.02670833
64,Paul Millsap,Denver Nuggets,F,06/03/2019,LAL,16,15.1055377
65,Paul Millsap,Denver Nuggets,F,08/03/2019,GSW,11,17.18592857
66,Paul Millsap,Denver Nuggets,F,12/03/2019,MIN,31,16.69670635
67,Paul Millsap,Denver Nuggets,F,14/03/2019,DAL,35,18.51408135
68,Paul Millsap,Denver Nuggets,F,16/03/2019,IND,15,16.21824802
69,Paul Millsap,Denver Nuggets,F,18/03/2019,BOS,14,17.58893651
70,Paul Millsap,Denver Nuggets,F,21/03/2019,WAS,19,14.67881746
71,Paul Millsap,Denver Nuggets,F,22/03/2019,NYK,8,15.79801389
72,Paul Millsap,Denver Nuggets,F,24/03/2019,IND,8,14.05677778
73,Paul Millsap,Denver Nuggets,F,26/03/2019,DET,12,17.10005556
74,Paul Millsap,Denver Nuggets,F,28/03/2019,HOU,8,15.47840873
75,Paul Millsap,Denver Nuggets,F,29/03/2019,OKC,18,17.08545437
76,Paul Millsap,Denver Nuggets,F,31/03/2019,WAS,13,15.51632937
77,Paul Millsap,Denver Nuggets,F,02/04/2019,GSW,15,16.03625397
78,Paul Millsap,Denver Nuggets,F,03/04/2019,SAS,3,16.59400397
79,Paul Millsap,Denver Nuggets,F,05/04/2019,POR,27,15.02985516
81,Paul Millsap,Denver Nuggets,F,09/04/2019,UTA,5,18.58830357
