"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Paul","PG","Houston Rockets","17-10-18","NOP",25,NA
"2","Paul","PG","Houston Rockets","20-10-18","LAL",34,24.9745736832612
"5","Paul","PG","Houston Rockets","26-10-18","LAC",12,20.8086431277056
"6","Paul","PG","Houston Rockets","30-10-18","POR",21,27.419512536075
"7","Paul","PG","Houston Rockets","02-11-18","BRK",42,24.1267846320346
"8","Paul","PG","Houston Rockets","03-11-18","CHI",7,23.4418968253968
"9","Paul","PG","Houston Rockets","05-11-18","IND",9,21.2444583333333
"10","Paul","PG","Houston Rockets","08-11-18","OKC",10,23.492255952381
"11","Paul","PG","Houston Rockets","10-11-18","SAS",17,26.2451180555556
"12","Paul","PG","Houston Rockets","11-11-18","IND",36,24.5908829365079
"13","Paul","PG","Houston Rockets","13-11-18","DEN",27,23.2418336038961
"14","Paul","PG","Houston Rockets","15-11-18","GSW",14,21.1532641594517
"15","Paul","PG","Houston Rockets","17-11-18","SAC",36,23.344251984127
"16","Paul","PG","Houston Rockets","21-11-18","DET",22,21.2590945165945
"17","Paul","PG","Houston Rockets","23-11-18","DET",24,23.7856597222222
"21","Paul","PG","Houston Rockets","30-11-18","SAS",18,22.6305538419914
"22","Paul","PG","Houston Rockets","01-12-18","CHI",16,19.0566137265512
"23","Paul","PG","Houston Rockets","03-12-18","MIN",7,24.7088071789322
"24","Paul","PG","Houston Rockets","06-12-18","UTA",12,21.1449375
"25","Paul","PG","Houston Rockets","08-12-18","DAL",29,26.0077992424242
"26","Paul","PG","Houston Rockets","11-12-18","POR",11,25.6864484126984
"27","Paul","PG","Houston Rockets","13-12-18","LAL",20,24.1055625
"28","Paul","PG","Houston Rockets","15-12-18","MEM",14,24.8630138888889
"29","Paul","PG","Houston Rockets","17-12-18","UTA",13,24.012955988456
"30","Paul","PG","Houston Rockets","19-12-18","WAS",31,23.5863472222222
"31","Paul","PG","Houston Rockets","20-12-18","MIA",4,24.3845972222222
"49","Paul","PG","Houston Rockets","27-01-19","ORL",16,21.7903998015873
"50","Paul","PG","Houston Rockets","29-01-19","NOP",12,24.2820496031746
"51","Paul","PG","Houston Rockets","01-02-19","DEN",26,25.2256583694084
"53","Paul","PG","Houston Rockets","04-02-19","PHO",22,18.8201222943723
"54","Paul","PG","Houston Rockets","06-02-19","SAC",17,22.592314484127
"55","Paul","PG","Houston Rockets","09-02-19","OKC",22,23.5519530122655
"56","Paul","PG","Houston Rockets","11-02-19","DAL",27,24.2398690476191
"57","Paul","PG","Houston Rockets","13-02-19","MIN",20,23.9544738455988
"58","Paul","PG","Houston Rockets","21-02-19","LAL",29,22.4243101551227
"59","Paul","PG","Houston Rockets","23-02-19","GSW",31,23.3242668650794
"60","Paul","PG","Houston Rockets","25-02-19","ATL",26,25.0698841991342
"61","Paul","PG","Houston Rockets","27-02-19","CHO",21,24.0219308261183
"62","Paul","PG","Houston Rockets","28-02-19","MIA",16,23.1085782828283
"63","Paul","PG","Houston Rockets","03-03-19","BOS",21,23.124558531746
"64","Paul","PG","Houston Rockets","05-03-19","TOR",5,24.6719871031746
"65","Paul","PG","Houston Rockets","08-03-19","PHI",4,20.3926319444444
"66","Paul","PG","Houston Rockets","10-03-19","DAL",13,23.222625
"67","Paul","PG","Houston Rockets","11-03-19","CHO",14,26.4861875
"68","Paul","PG","Houston Rockets","13-03-19","GSW",28,25.699829004329
"70","Paul","PG","Houston Rockets","17-03-19","MIN",37,23.2035776515152
"71","Paul","PG","Houston Rockets","19-03-19","ATL",17,19.3170181277056
"72","Paul","PG","Houston Rockets","20-03-19","MEM",22,22.215433531746
"73","Paul","PG","Houston Rockets","22-03-19","SAS",18,23.0142740800866
"74","Paul","PG","Houston Rockets","24-03-19","NOP",12,24.4109484126984
"75","Paul","PG","Houston Rockets","26-03-19","MIL",27,24.8761597222222
"76","Paul","PG","Houston Rockets","28-03-19","DEN",9,23.2958197150072
"77","Paul","PG","Houston Rockets","30-03-19","SAC",28,20.3532946428571
"78","Paul","PG","Houston Rockets","02-04-19","SAC",9,21.8766805555555
"79","Paul","PG","Houston Rockets","03-04-19","LAC",39,22.5755416666667
"80","Paul","PG","Houston Rockets","05-04-19","NYK",17,25.1448762626263
"81","Paul","PG","Houston Rockets","07-04-19","PHO",10,21.3325988455988
