"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Porter","F","Chicago Bulls","2018-10-18","MIA",9,NA
"2","Porter","F","Chicago Bulls","2018-10-20","TOR",15,18.6984814817848
"3","Porter","F","Chicago Bulls","2018-10-22","POR",16,15.9190690670753
"4","Porter","F","Chicago Bulls","2018-10-24","GSW",16,26.224013533951
"5","Porter","F","Chicago Bulls","2018-10-26","SAC",7,16.0131256118789
"6","Porter","F","Chicago Bulls","2018-10-28","LAC",6,19.2541580766364
"7","Porter","F","Chicago Bulls","2018-10-30","MEM",21,14.7127754056445
"8","Porter","F","Chicago Bulls","2018-11-02","OKC",11,18.3658371136261
"10","Porter","F","Chicago Bulls","2018-11-06","DAL",29,17.2468803543586
"11","Porter","F","Chicago Bulls","2018-11-09","ORL",12,17.7972112571157
"12","Porter","F","Chicago Bulls","2018-11-10","MIA",7,16.2736811418065
"13","Porter","F","Chicago Bulls","2018-11-12","ORL",10,18.2612912920725
"14","Porter","F","Chicago Bulls","2018-11-14","CLE",17,19.6655715916341
"15","Porter","F","Chicago Bulls","2018-11-16","BRK",8,17.5360214663104
"16","Porter","F","Chicago Bulls","2018-11-18","POR",15,18.9290837976882
"17","Porter","F","Chicago Bulls","2018-11-20","LAC",13,19.8114385409294
"18","Porter","F","Chicago Bulls","2018-11-23","TOR",19,17.8807642357955
"19","Porter","F","Chicago Bulls","2018-11-24","NOP",35,19.9664274288487
"20","Porter","F","Chicago Bulls","2018-11-26","HOU",16,20.2813251119118
"21","Porter","F","Chicago Bulls","2018-11-28","NOP",7,19.5188269938439
"23","Porter","F","Chicago Bulls","2018-12-01","BRK",7,17.54172673483
"24","Porter","F","Chicago Bulls","2018-12-03","NYK",21,18.5033732863994
"25","Porter","F","Chicago Bulls","2018-12-05","ATL",24,13.8667528914209
"26","Porter","F","Chicago Bulls","2018-12-08","CLE",21,19.0730518376408
"27","Porter","F","Chicago Bulls","2018-12-10","IND",0,18.2320940256506
"38","Porter","F","Chicago Bulls","2019-01-02","ATL",11,19.95114499277
"39","Porter","F","Chicago Bulls","2019-01-04","MIA",14,18.03670156516
"40","Porter","F","Chicago Bulls","2019-01-06","OKC",28,18.0366652403468
"41","Porter","F","Chicago Bulls","2019-01-08","PHI",17,19.168276002365
"42","Porter","F","Chicago Bulls","2019-01-09","PHI",25,17.6693893238613
"43","Porter","F","Chicago Bulls","2019-01-11","MIL",12,20.3486679725003
"44","Porter","F","Chicago Bulls","2019-01-13","TOR",37,18.689398956164
"45","Porter","F","Chicago Bulls","2019-01-17","NYK",22,20.6772133394383
"46","Porter","F","Chicago Bulls","2019-01-21","DET",27,18.6078988707687
"47","Porter","F","Chicago Bulls","2019-01-24","GSW",7,22.5874274398848
"48","Porter","F","Chicago Bulls","2019-01-25","ORL",14,21.6256533226577
"49","Porter","F","Chicago Bulls","2019-01-27","SAS",19,18.9283719324293
"50","Porter","F","Chicago Bulls","2019-01-29","CLE",13,18.1926519395137
"51","Porter","F","Chicago Bulls","2019-01-30","IND",5,19.9602765315611
"52","Porter","F","Chicago Bulls","2019-02-02","MIL",22,19.9304515831027
"53","Porter","F","Chicago Bulls","2019-02-04","ATL",13,19.6738169635243
"55","Porter","F","Chicago Bulls","2019-02-08","BRK",26,23.865214459152
"56","Porter","F","Chicago Bulls","2019-02-09","WAS",21,15.135668654294
"57","Porter","F","Chicago Bulls","2019-02-11","MIL",22,18.6567106465607
"58","Porter","F","Chicago Bulls","2019-02-13","MEM",43,19.1110495569113
"59","Porter","F","Chicago Bulls","2019-02-22","ORL",23,19.7387124413345
"60","Porter","F","Chicago Bulls","2019-02-23","BOS",0,19.9633254773005
"62","Porter","F","Chicago Bulls","2019-02-27","MEM",26,18.2822045396913
"63","Porter","F","Chicago Bulls","2019-03-01","ATL",45,18.7630774002318
"65","Porter","F","Chicago Bulls","2019-03-05","IND",9,21.0304649335319
"66","Porter","F","Chicago Bulls","2019-03-06","PHI",19,20.0762705559323
"67","Porter","F","Chicago Bulls","2019-03-08","DET",25,21.4115633348001
"68","Porter","F","Chicago Bulls","2019-03-10","DET",23,20.304712760637
"69","Porter","F","Chicago Bulls","2019-03-12","LAL",27,18.4362605534076
"70","Porter","F","Chicago Bulls","2019-03-15","LAC",21,20.6878688283262
