"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Prince","F","Atlanta Hawks","2018-10-17","NYK",27,NA
"2","Prince","F","Atlanta Hawks","2018-10-19","MEM",36,17.0839166666667
"3","Prince","F","Atlanta Hawks","2018-10-21","CLE",16,20.45325
"4","Prince","F","Atlanta Hawks","2018-10-24","DAL",34,14.2870833333333
"5","Prince","F","Atlanta Hawks","2018-10-27","CHI",20,23.995
"6","Prince","F","Atlanta Hawks","2018-10-29","PHI",7,15.1093333333333
"7","Prince","F","Atlanta Hawks","2018-10-30","CLE",11,17.2539166666667
"8","Prince","F","Atlanta Hawks","2018-11-01","SAC",9,23.191375
"9","Prince","F","Atlanta Hawks","2018-11-03","MIA",21,18.3190416666667
"11","Prince","F","Atlanta Hawks","2018-11-07","NYK",20,22.8435833333333
"12","Prince","F","Atlanta Hawks","2018-11-09","DET",8,18.443875
"13","Prince","F","Atlanta Hawks","2018-11-11","LAL",33,12.814875
"14","Prince","F","Atlanta Hawks","2018-11-13","GSW",30,23.2875
"17","Prince","F","Atlanta Hawks","2018-11-19","LAC",27,20.3119583333333
"18","Prince","F","Atlanta Hawks","2018-11-21","TOR",16,14.1275
"19","Prince","F","Atlanta Hawks","2018-11-23","BOS",2,19.5024583333333
"20","Prince","F","Atlanta Hawks","2018-11-25","CHO",22,16.55825
"21","Prince","F","Atlanta Hawks","2018-11-27","MIA",24,18.0188333333333
"22","Prince","F","Atlanta Hawks","2018-11-28","CHO",16,19.8169166666667
"23","Prince","F","Atlanta Hawks","2018-11-30","OKC",19,21.9478333333333
"24","Prince","F","Atlanta Hawks","2018-12-03","GSW",20,18.1388333333333
"43","Prince","F","Atlanta Hawks","2019-01-13","MIL",9,19.979
"44","Prince","F","Atlanta Hawks","2019-01-15","OKC",9,18.5552083333333
"45","Prince","F","Atlanta Hawks","2019-01-19","BOS",11,19.0120833333333
"46","Prince","F","Atlanta Hawks","2019-01-21","ORL",11,15.3615416666667
"47","Prince","F","Atlanta Hawks","2019-01-23","CHI",21,22.4024166666667
"48","Prince","F","Atlanta Hawks","2019-01-26","POR",13,18.971125
"49","Prince","F","Atlanta Hawks","2019-01-28","LAC",9,16.16425
"50","Prince","F","Atlanta Hawks","2019-01-30","SAC",15,23.301125
"51","Prince","F","Atlanta Hawks","2019-02-01","UTA",11,15.8800416666667
"52","Prince","F","Atlanta Hawks","2019-02-02","PHO",11,20.2455
"53","Prince","F","Atlanta Hawks","2019-02-04","WAS",31,15.5377083333333
"54","Prince","F","Atlanta Hawks","2019-02-07","TOR",29,21.8127083333333
"55","Prince","F","Atlanta Hawks","2019-02-09","CHO",9,23.7920833333333
"56","Prince","F","Atlanta Hawks","2019-02-10","ORL",12,13.314125
"57","Prince","F","Atlanta Hawks","2019-02-12","LAL",25,18.032125
"58","Prince","F","Atlanta Hawks","2019-02-14","NYK",14,18.393
"59","Prince","F","Atlanta Hawks","2019-02-22","DET",9,18.0122916666667
"60","Prince","F","Atlanta Hawks","2019-02-23","PHO",25,13.449
"62","Prince","F","Atlanta Hawks","2019-02-27","MIN",5,14.3020416666667
"63","Prince","F","Atlanta Hawks","2019-03-01","CHI",23,19.2665416666667
"66","Prince","F","Atlanta Hawks","2019-03-06","SAS",13,23.7715
"67","Prince","F","Atlanta Hawks","2019-03-09","BRK",19,16.080375
"68","Prince","F","Atlanta Hawks","2019-03-10","NOP",15,24.0465416666667
"69","Prince","F","Atlanta Hawks","2019-03-13","MEM",21,13.8072916666667
"70","Prince","F","Atlanta Hawks","2019-03-16","BOS",23,21.1739166666667
"71","Prince","F","Atlanta Hawks","2019-03-17","ORL",11,17.3620416666667
"72","Prince","F","Atlanta Hawks","2019-03-19","HOU",24,21.2595
"73","Prince","F","Atlanta Hawks","2019-03-21","UTA",19,22.686
"74","Prince","F","Atlanta Hawks","2019-03-23","PHI",31,13.6665
"75","Prince","F","Atlanta Hawks","2019-03-26","NOP",11,18.3267916666667
"79","Prince","F","Atlanta Hawks","2019-04-03","PHI",17,15.7485416666667
"80","Prince","F","Atlanta Hawks","2019-04-05","ORL",17,19.2640416666667
"81","Prince","F","Atlanta Hawks","2019-04-07","MIL",14,18.429375
