"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","R_Lopez","C","Chicago Bulls","2018-10-18","PHI",2,NA
"2","R_Lopez","C","Chicago Bulls","2018-10-20","DET",7,12.3753253968254
"3","R_Lopez","C","Chicago Bulls","2018-10-22","DAL",2,10.1421460523603
"9","R_Lopez","C","Chicago Bulls","2018-11-02","IND",0,13.7328010204082
"11","R_Lopez","C","Chicago Bulls","2018-11-05","NYK",2,13.0739076479076
"12","R_Lopez","C","Chicago Bulls","2018-11-07","NOP",0,11.8556604823748
"13","R_Lopez","C","Chicago Bulls","2018-11-10","CLE",4,13.3889926819213
"14","R_Lopez","C","Chicago Bulls","2018-11-12","DAL",5,11.987798185941
"15","R_Lopez","C","Chicago Bulls","2018-11-14","BOS",2,10.1057338693053
"16","R_Lopez","C","Chicago Bulls","2018-11-16","MIL",5,13.697930890538
"17","R_Lopez","C","Chicago Bulls","2018-11-17","TOR",11,10.9159382086168
"18","R_Lopez","C","Chicago Bulls","2018-11-21","PHO",6,10.785683106576
"19","R_Lopez","C","Chicago Bulls","2018-11-23","MIA",9,10.7278298289012
"20","R_Lopez","C","Chicago Bulls","2018-11-24","MIN",9,11.6469040919398
"21","R_Lopez","C","Chicago Bulls","2018-11-26","SAS",6,10.8814169758813
"22","R_Lopez","C","Chicago Bulls","2018-11-28","MIL",17,10.978227324263
"23","R_Lopez","C","Chicago Bulls","2018-11-30","DET",8,11.675131828489
"24","R_Lopez","C","Chicago Bulls","2018-12-01","HOU",2,9.11605725623582
"26","R_Lopez","C","Chicago Bulls","2018-12-07","OKC",11,13.713858276644
"27","R_Lopez","C","Chicago Bulls","2018-12-08","BOS",2,11.3284597505669
"28","R_Lopez","C","Chicago Bulls","2018-12-10","SAC",6,12.2636224489796
"29","R_Lopez","C","Chicago Bulls","2018-12-13","ORL",11,10.3596660997732
"30","R_Lopez","C","Chicago Bulls","2018-12-15","SAS",10,12.4952242321171
"31","R_Lopez","C","Chicago Bulls","2018-12-17","OKC",4,11.9314028035457
"32","R_Lopez","C","Chicago Bulls","2018-12-19","BRK",2,12.2333951762523
"33","R_Lopez","C","Chicago Bulls","2018-12-21","ORL",16,12.1791525458668
