"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Redick","SG","Philadelphia 76ers","2018-10-16","BOS",20,NA
"2","Redick","SG","Philadelphia 76ers","2018-10-18","CHI",12,21.7679620713869
"3","Redick","SG","Philadelphia 76ers","2018-10-20","ORL",47,21.771485740445
"4","Redick","SG","Philadelphia 76ers","2018-10-23","DET",42,18.6093231461892
"5","Redick","SG","Philadelphia 76ers","2018-10-24","MIL",25,23.7753774481062
"6","Redick","SG","Philadelphia 76ers","2018-10-27","CHO",21,23.1005954771323
"7","Redick","SG","Philadelphia 76ers","2018-10-29","ATL",22,24.5562059076398
"8","Redick","SG","Philadelphia 76ers","2018-10-30","TOR",19,22.6620227583044
"9","Redick","SG","Philadelphia 76ers","2018-11-01","LAC",24,21.8284123130834
"10","Redick","SG","Philadelphia 76ers","2018-11-03","DET",20,23.3791652120262
"11","Redick","SG","Philadelphia 76ers","2018-11-04","BRK",17,24.4082874053137
"12","Redick","SG","Philadelphia 76ers","2018-11-07","IND",10,23.8640348366701
"13","Redick","SG","Philadelphia 76ers","2018-11-09","CHO",21,21.3882067830275
"14","Redick","SG","Philadelphia 76ers","2018-11-10","MEM",26,23.0653398360659
"15","Redick","SG","Philadelphia 76ers","2018-11-12","MIA",31,21.4665396877284
"16","Redick","SG","Philadelphia 76ers","2018-11-14","ORL",30,23.7747256351093
"17","Redick","SG","Philadelphia 76ers","2018-11-16","UTA",18,21.845397724806
"18","Redick","SG","Philadelphia 76ers","2018-11-17","CHO",33,23.1529290091404
"19","Redick","SG","Philadelphia 76ers","2018-11-19","PHO",21,22.6683485948003
"20","Redick","SG","Philadelphia 76ers","2018-11-21","NOP",13,23.2621390533949
"21","Redick","SG","Philadelphia 76ers","2018-11-23","CLE",31,23.2634854019768
"22","Redick","SG","Philadelphia 76ers","2018-11-25","BRK",17,22.295820916277
"23","Redick","SG","Philadelphia 76ers","2018-11-28","NYK",32,23.9434393724317
"24","Redick","SG","Philadelphia 76ers","2018-11-30","WAS",16,22.5457842268565
"25","Redick","SG","Philadelphia 76ers","2018-12-02","MEM",30,21.7197458824243
"26","Redick","SG","Philadelphia 76ers","2018-12-05","TOR",35,21.8940686375805
"27","Redick","SG","Philadelphia 76ers","2018-12-07","DET",22,20.5170358299659
"28","Redick","SG","Philadelphia 76ers","2018-12-10","DET",17,22.5593906002467
"29","Redick","SG","Philadelphia 76ers","2018-12-12","BRK",13,25.4664328381339
