,Player,Team,Position,Date,Opp,Fantasy_Score,predictions_2019
1,Ricky Rubio,Utah Jazz,PG,17/10/2018,SAC,1,NA
2,Ricky Rubio,Utah Jazz,PG,19/10/2018,GSW,19,13.05502791
3,Ricky Rubio,Utah Jazz,PG,22/10/2018,MEM,8,16.03245258
4,Ricky Rubio,Utah Jazz,PG,24/10/2018,HOU,4,14.59538556
5,Ricky Rubio,Utah Jazz,PG,27/10/2018,NOP,34,14.10327007
6,Ricky Rubio,Utah Jazz,PG,28/10/2018,DAL,8,19.29848057
7,Ricky Rubio,Utah Jazz,PG,31/10/2018,MIN,5,16.74641908
8,Ricky Rubio,Utah Jazz,PG,02/11/2018,MEM,28,13.66655268
9,Ricky Rubio,Utah Jazz,PG,03/11/2018,DEN,13,16.28649939
10,Ricky Rubio,Utah Jazz,PG,05/11/2018,TOR,8,16.03885541
11,Ricky Rubio,Utah Jazz,PG,07/11/2018,DAL,12,16.87246292
12,Ricky Rubio,Utah Jazz,PG,09/11/2018,BOS,19,16.40970356
13,Ricky Rubio,Utah Jazz,PG,12/11/2018,MEM,9,17.8939829
14,Ricky Rubio,Utah Jazz,PG,14/11/2018,DAL,13,15.24482351
15,Ricky Rubio,Utah Jazz,PG,16/11/2018,PHI,15,15.59720033
16,Ricky Rubio,Utah Jazz,PG,17/11/2018,BOS,24,11.70015822
17,Ricky Rubio,Utah Jazz,PG,19/11/2018,IND,38,15.91393939
18,Ricky Rubio,Utah Jazz,PG,21/11/2018,SAC,19,17.37963997
19,Ricky Rubio,Utah Jazz,PG,23/11/2018,LAL,7,16.79023151
20,Ricky Rubio,Utah Jazz,PG,25/11/2018,SAC,31,15.20327067
21,Ricky Rubio,Utah Jazz,PG,26/11/2018,IND,8,12.94421589
22,Ricky Rubio,Utah Jazz,PG,28/11/2018,BRK,6,16.02015622
23,Ricky Rubio,Utah Jazz,PG,30/11/2018,CHO,17,12.71415257
24,Ricky Rubio,Utah Jazz,PG,02/12/2018,MIA,27,14.16692656
25,Ricky Rubio,Utah Jazz,PG,04/12/2018,SAS,16,19.14217998
26,Ricky Rubio,Utah Jazz,PG,06/12/2018,HOU,15,15.63062493
27,Ricky Rubio,Utah Jazz,PG,09/12/2018,SAS,32,17.22363373
28,Ricky Rubio,Utah Jazz,PG,10/12/2018,OKC,10,14.96379815
29,Ricky Rubio,Utah Jazz,PG,12/12/2018,MIA,5,13.11305513
30,Ricky Rubio,Utah Jazz,PG,15/12/2018,ORL,15,14.81869804
31,Ricky Rubio,Utah Jazz,PG,17/12/2018,HOU,16,15.44030167
32,Ricky Rubio,Utah Jazz,PG,19/12/2018,GSW,3,15.02860093
33,Ricky Rubio,Utah Jazz,PG,21/12/2018,POR,32,14.92433963
34,Ricky Rubio,Utah Jazz,PG,22/12/2018,OKC,16,14.7369598
35,Ricky Rubio,Utah Jazz,PG,25/12/2018,POR,18,15.92425969
36,Ricky Rubio,Utah Jazz,PG,27/12/2018,PHI,7,16.64567417
38,Ricky Rubio,Utah Jazz,PG,01/01/2019,TOR,14,14.14020697
39,Ricky Rubio,Utah Jazz,PG,04/01/2019,CLE,21,15.97291857
40,Ricky Rubio,Utah Jazz,PG,05/01/2019,DET,20,14.98290564
41,Ricky Rubio,Utah Jazz,PG,07/01/2019,MIL,11,15.01987468
48,Ricky Rubio,Utah Jazz,PG,21/01/2019,POR,14,12.2823194
49,Ricky Rubio,Utah Jazz,PG,23/01/2019,DEN,21,12.51765789
50,Ricky Rubio,Utah Jazz,PG,25/01/2019,MIN,6,17.10155193
51,Ricky Rubio,Utah Jazz,PG,27/01/2019,MIN,20,14.6417399
52,Ricky Rubio,Utah Jazz,PG,30/01/2019,POR,16,18.75434994
53,Ricky Rubio,Utah Jazz,PG,01/02/2019,ATL,26,17.08376551
54,Ricky Rubio,Utah Jazz,PG,02/02/2019,HOU,6,16.81574456
55,Ricky Rubio,Utah Jazz,PG,06/02/2019,PHO,15,14.70057745
56,Ricky Rubio,Utah Jazz,PG,09/02/2019,SAS,18,20.61779159
57,Ricky Rubio,Utah Jazz,PG,12/02/2019,GSW,18,17.62522249
58,Ricky Rubio,Utah Jazz,PG,22/02/2019,OKC,20,16.12203113
59,Ricky Rubio,Utah Jazz,PG,23/02/2019,DAL,27,17.02142311
60,Ricky Rubio,Utah Jazz,PG,27/02/2019,LAC,13,17.20538339
62,Ricky Rubio,Utah Jazz,PG,02/03/2019,MIL,10,14.28034842
63,Ricky Rubio,Utah Jazz,PG,04/03/2019,NOP,5,12.76162033
64,Ricky Rubio,Utah Jazz,PG,06/03/2019,NOP,9,13.37191558
67,Ricky Rubio,Utah Jazz,PG,13/03/2019,PHO,6,14.78743696
68,Ricky Rubio,Utah Jazz,PG,14/03/2019,MIN,10,15.40864945
69,Ricky Rubio,Utah Jazz,PG,16/03/2019,BRK,12,14.63718314
70,Ricky Rubio,Utah Jazz,PG,18/03/2019,WAS,8,15.6442385
71,Ricky Rubio,Utah Jazz,PG,20/03/2019,NYK,12,12.93632085
72,Ricky Rubio,Utah Jazz,PG,21/03/2019,ATL,21,15.00943788
73,Ricky Rubio,Utah Jazz,PG,23/03/2019,CHI,12,17.75191197
74,Ricky Rubio,Utah Jazz,PG,25/03/2019,PHO,18,14.41165637
75,Ricky Rubio,Utah Jazz,PG,27/03/2019,LAL,10,16.60245905
76,Ricky Rubio,Utah Jazz,PG,29/03/2019,WAS,19,14.84248735
77,Ricky Rubio,Utah Jazz,PG,01/04/2019,CHO,22,15.42580354
