"","Player","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Rudy Gobert","Utah Jazz","2018-10-17","SAC",19,NA
"2","Rudy Gobert","Utah Jazz","2018-10-19","GSW",16,13.7972123828615
"3","Rudy Gobert","Utah Jazz","2018-10-22","MEM",11,14.3283331559031
"4","Rudy Gobert","Utah Jazz","2018-10-24","HOU",12,14.2070002118064
"5","Rudy Gobert","Utah Jazz","2018-10-27","NOP",25,15.310415334483
"6","Rudy Gobert","Utah Jazz","2018-10-28","DAL",23,14.5588521590181
"7","Rudy Gobert","Utah Jazz","2018-10-31","MIN",22,15.9098886622375
"8","Rudy Gobert","Utah Jazz","2018-11-02","MEM",9,15.8481441130718
"9","Rudy Gobert","Utah Jazz","2018-11-03","DEN",12,14.2630798139043
"10","Rudy Gobert","Utah Jazz","2018-11-05","TOR",14,14.6724761916419
"11","Rudy Gobert","Utah Jazz","2018-11-07","DAL",17,13.6251750830091
"12","Rudy Gobert","Utah Jazz","2018-11-09","BOS",17,13.7575487131571
"13","Rudy Gobert","Utah Jazz","2018-11-12","MEM",15,14.5743422500727
"14","Rudy Gobert","Utah Jazz","2018-11-14","DAL",10,15.3338205222648
"15","Rudy Gobert","Utah Jazz","2018-11-16","PHI",12,14.3704558051208
"16","Rudy Gobert","Utah Jazz","2018-11-17","BOS",12,13.9478937688548
"17","Rudy Gobert","Utah Jazz","2018-11-19","IND",12,14.7559811503201
"18","Rudy Gobert","Utah Jazz","2018-11-21","SAC",13,12.8006604218076
"19","Rudy Gobert","Utah Jazz","2018-11-23","LAL",13,14.6271527704285
"20","Rudy Gobert","Utah Jazz","2018-11-25","SAC",18,14.3500531900982
"21","Rudy Gobert","Utah Jazz","2018-11-26","IND",12,14.8579624204411
"22","Rudy Gobert","Utah Jazz","2018-11-28","BRK",23,14.2909820290944
"23","Rudy Gobert","Utah Jazz","2018-11-30","CHO",20,15.4521464996401
"24","Rudy Gobert","Utah Jazz","2018-12-02","MIA",12,14.9410803696861
"25","Rudy Gobert","Utah Jazz","2018-12-04","SAS",18,13.7687904881379
"26","Rudy Gobert","Utah Jazz","2018-12-06","HOU",2,15.0861787232812
"27","Rudy Gobert","Utah Jazz","2018-12-09","SAS",12,14.9960446846401
"28","Rudy Gobert","Utah Jazz","2018-12-10","OKC",13,13.8781516760677
"29","Rudy Gobert","Utah Jazz","2018-12-12","MIA",10,13.7016144971206
"30","Rudy Gobert","Utah Jazz","2018-12-15","ORL",6,13.3929185916376
"31","Rudy Gobert","Utah Jazz","2018-12-17","HOU",18,14.8375082074749
"32","Rudy Gobert","Utah Jazz","2018-12-19","GSW",17,15.9863171049296
"33","Rudy Gobert","Utah Jazz","2018-12-21","POR",11,14.5845746531561
"34","Rudy Gobert","Utah Jazz","2018-12-22","OKC",20,15.1515071769507
"35","Rudy Gobert","Utah Jazz","2018-12-25","POR",18,13.6146131422122
"36","Rudy Gobert","Utah Jazz","2018-12-27","PHI",17,14.2401344076423
"37","Rudy Gobert","Utah Jazz","2018-12-29","NYK",25,15.0017365197413
"38","Rudy Gobert","Utah Jazz","2019-01-01","TOR",16,14.7155836117628
"39","Rudy Gobert","Utah Jazz","2019-01-04","CLE",12,14.4473705134907
"40","Rudy Gobert","Utah Jazz","2019-01-05","DET",9,14.2580544081255
"41","Rudy Gobert","Utah Jazz","2019-01-07","MIL",14,14.9047421191659
"42","Rudy Gobert","Utah Jazz","2019-01-09","ORL",12,13.2181003888078
"43","Rudy Gobert","Utah Jazz","2019-01-11","LAL",12,14.0288351795986
"44","Rudy Gobert","Utah Jazz","2019-01-12","CHI",15,14.9954742980564
"45","Rudy Gobert","Utah Jazz","2019-01-14","DET",18,14.6778597992806
"46","Rudy Gobert","Utah Jazz","2019-01-16","LAC",23,15.1054758676506
"47","Rudy Gobert","Utah Jazz","2019-01-18","CLE",19,15.1932164726291
"48","Rudy Gobert","Utah Jazz","2019-01-21","POR",10,15.146950172768
"49","Rudy Gobert","Utah Jazz","2019-01-23","DEN",15,15.3750863936902
"50","Rudy Gobert","Utah Jazz","2019-01-25","MIN",18,16.3271845152823
"51","Rudy Gobert","Utah Jazz","2019-01-27","MIN",17,15.7166989381466
"52","Rudy Gobert","Utah Jazz","2019-01-30","POR",15,14.5689324865367
"53","Rudy Gobert","Utah Jazz","2019-02-01","ATL",25,13.2196215955928
"54","Rudy Gobert","Utah Jazz","2019-02-02","HOU",10,14.2459602830542
"55","Rudy Gobert","Utah Jazz","2019-02-06","PHO",16,15.634030130991
"56","Rudy Gobert","Utah Jazz","2019-02-09","SAS",21,14.7282049626763
"57","Rudy Gobert","Utah Jazz","2019-02-12","GSW",13,15.4111206467115
"58","Rudy Gobert","Utah Jazz","2019-02-22","OKC",26,14.1417658590658
"59","Rudy Gobert","Utah Jazz","2019-02-23","DAL",15,14.8507726265309
"60","Rudy Gobert","Utah Jazz","2019-02-27","LAC",20,14.3585044551203
"61","Rudy Gobert","Utah Jazz","2019-02-28","DEN",16,14.2902312890029
"62","Rudy Gobert","Utah Jazz","2019-03-02","MIL",5,14.0716574880457
"63","Rudy Gobert","Utah Jazz","2019-03-04","NOP",19,14.1019259817077
"64","Rudy Gobert","Utah Jazz","2019-03-06","NOP",22,15.1229871425448
"65","Rudy Gobert","Utah Jazz","2019-03-08","MEM",9,14.6371211284781
"66","Rudy Gobert","Utah Jazz","2019-03-11","OKC",15,14.655785421564
"67","Rudy Gobert","Utah Jazz","2019-03-13","PHO",18,14.4116206456577
"68","Rudy Gobert","Utah Jazz","2019-03-14","MIN",10,15.2236477659382
"69","Rudy Gobert","Utah Jazz","2019-03-16","BRK",23,14.4592753136162
"70","Rudy Gobert","Utah Jazz","2019-03-18","WAS",14,14.3845552826246
