"","Player","Team","Date","Opp","Fantasy_Score","predictions_2019"
"3","Russell Westbrook","Oklahoma City Thunder","2018-10-21","SAC",34,NA
"4","Russell Westbrook","Oklahoma City Thunder","2018-10-25","BOS",13,28.3547863712676
"5","Russell Westbrook","Oklahoma City Thunder","2018-10-28","PHO",23,26.6068735775391
"6","Russell Westbrook","Oklahoma City Thunder","2018-10-30","LAC",34,26.4667075325308
"7","Russell Westbrook","Oklahoma City Thunder","2018-11-01","CHO",29,27.5341343514516
"8","Russell Westbrook","Oklahoma City Thunder","2018-11-02","WAS",23,26.5834416911152
"9","Russell Westbrook","Oklahoma City Thunder","2018-11-05","NOP",17,27.5923483413854
"16","Russell Westbrook","Oklahoma City Thunder","2018-11-19","SAC",37,27.9676609734221
"17","Russell Westbrook","Oklahoma City Thunder","2018-11-21","GSW",13,27.5925952793196
"18","Russell Westbrook","Oklahoma City Thunder","2018-11-23","CHO",32,23.5817327487145
"19","Russell Westbrook","Oklahoma City Thunder","2018-11-24","DEN",18,26.448488772388
"20","Russell Westbrook","Oklahoma City Thunder","2018-11-28","CLE",27,27.939044094882
"21","Russell Westbrook","Oklahoma City Thunder","2018-11-30","ATL",27,27.5859366624375
"22","Russell Westbrook","Oklahoma City Thunder","2018-12-03","DET",22,24.7791266569849
"23","Russell Westbrook","Oklahoma City Thunder","2018-12-05","BRK",25,26.5080479628464
"24","Russell Westbrook","Oklahoma City Thunder","2018-12-07","CHI",28,28.3924419525923
"25","Russell Westbrook","Oklahoma City Thunder","2018-12-10","UTA",12,25.1541789128554
"26","Russell Westbrook","Oklahoma City Thunder","2018-12-12","NOP",24,26.9852387258676
"27","Russell Westbrook","Oklahoma City Thunder","2018-12-14","DEN",15,28.1108282220962
"28","Russell Westbrook","Oklahoma City Thunder","2018-12-15","LAC",19,22.8798866783459
"29","Russell Westbrook","Oklahoma City Thunder","2018-12-17","CHI",13,25.576316455585
"30","Russell Westbrook","Oklahoma City Thunder","2018-12-19","SAC",21,22.1229855260173
"31","Russell Westbrook","Oklahoma City Thunder","2018-12-22","UTA",8,25.8315766965
"32","Russell Westbrook","Oklahoma City Thunder","2018-12-23","MIN",25,29.0103823988783
"33","Russell Westbrook","Oklahoma City Thunder","2018-12-25","HOU",25,27.46657535398
"34","Russell Westbrook","Oklahoma City Thunder","2018-12-28","PHO",46,26.9589204428718
"35","Russell Westbrook","Oklahoma City Thunder","2018-12-30","DAL",9,29.0597372589608
"36","Russell Westbrook","Oklahoma City Thunder","2018-12-31","DAL",32,28.2901927901943
"37","Russell Westbrook","Oklahoma City Thunder","2019-01-02","LAL",16,27.3155787643332
"38","Russell Westbrook","Oklahoma City Thunder","2019-01-04","POR",31,26.3136462023422
"39","Russell Westbrook","Oklahoma City Thunder","2019-01-06","WAS",26,26.4025523617179
"40","Russell Westbrook","Oklahoma City Thunder","2019-01-08","MIN",27,28.3767960930931
"41","Russell Westbrook","Oklahoma City Thunder","2019-01-10","SAS",24,27.8439041091942
"42","Russell Westbrook","Oklahoma City Thunder","2019-01-12","SAS",26,27.3966565467003
"43","Russell Westbrook","Oklahoma City Thunder","2019-01-15","ATL",31,27.263381476712
"44","Russell Westbrook","Oklahoma City Thunder","2019-01-17","LAL",36,26.5461681324904
"45","Russell Westbrook","Oklahoma City Thunder","2019-01-19","PHI",23,27.6717067658256
"46","Russell Westbrook","Oklahoma City Thunder","2019-01-21","NYK",19,26.9387960542368
"47","Russell Westbrook","Oklahoma City Thunder","2019-01-22","POR",31,23.4761431606769
"48","Russell Westbrook","Oklahoma City Thunder","2019-01-24","NOP",25,28.5536304861412
"49","Russell Westbrook","Oklahoma City Thunder","2019-01-27","MIL",17,28.755772179963
"50","Russell Westbrook","Oklahoma City Thunder","2019-01-29","ORL",25,26.8630593821635
"51","Russell Westbrook","Oklahoma City Thunder","2019-02-01","MIA",14,26.8160187215714
"52","Russell Westbrook","Oklahoma City Thunder","2019-02-03","BOS",24,25.0944749260691
"53","Russell Westbrook","Oklahoma City Thunder","2019-02-05","ORL",16,24.348766097701
"54","Russell Westbrook","Oklahoma City Thunder","2019-02-07","MEM",17,25.8758807892062
"55","Russell Westbrook","Oklahoma City Thunder","2019-02-09","HOU",23,24.5643122735606
"56","Russell Westbrook","Oklahoma City Thunder","2019-02-11","POR",23,24.9865527490029
"57","Russell Westbrook","Oklahoma City Thunder","2019-02-14","NOP",52,26.6316192172086
"58","Russell Westbrook","Oklahoma City Thunder","2019-02-22","UTA",55,28.507007167329
"59","Russell Westbrook","Oklahoma City Thunder","2019-02-23","SAC",51,29.1419649741847
"60","Russell Westbrook","Oklahoma City Thunder","2019-02-26","DEN",26,27.224989690056
"61","Russell Westbrook","Oklahoma City Thunder","2019-02-28","PHI",25,26.1391945627545
"62","Russell Westbrook","Oklahoma City Thunder","2019-03-02","SAS",21,27.018759291135
"63","Russell Westbrook","Oklahoma City Thunder","2019-03-03","MEM",30,26.3492004497052
"64","Russell Westbrook","Oklahoma City Thunder","2019-03-05","MIN",48,28.3660255894779
"65","Russell Westbrook","Oklahoma City Thunder","2019-03-07","POR",47,26.47995412173
"66","Russell Westbrook","Oklahoma City Thunder","2019-03-08","LAC",36,25.4481507757953
"67","Russell Westbrook","Oklahoma City Thunder","2019-03-11","UTA",27,25.8270836090976
"68","Russell Westbrook","Oklahoma City Thunder","2019-03-13","BRK",39,28.0641038783089
"69","Russell Westbrook","Oklahoma City Thunder","2019-03-14","IND",21,28.7025607154374
"70","Russell Westbrook","Oklahoma City Thunder","2019-03-16","GSW",7,28.3975560657842
"72","Russell Westbrook","Oklahoma City Thunder","2019-03-20","TOR",52,26.2904439888186
"73","Russell Westbrook","Oklahoma City Thunder","2019-03-22","TOR",22,28.9733127331977
"74","Russell Westbrook","Oklahoma City Thunder","2019-03-25","MEM",18,26.304768752063
"75","Russell Westbrook","Oklahoma City Thunder","2019-03-27","IND",21,26.5218664069778
"76","Russell Westbrook","Oklahoma City Thunder","2019-03-29","DEN",29,25.2497620265174
"77","Russell Westbrook","Oklahoma City Thunder","2019-03-31","DAL",31,27.1703046215607
"78","Russell Westbrook","Oklahoma City Thunder","2019-04-02","LAL",24,27.2639784410669
"79","Russell Westbrook","Oklahoma City Thunder","2019-04-05","DET",21,27.5962074748152
"80","Russell Westbrook","Oklahoma City Thunder","2019-04-07","MIN",31,27.1435027152808
"81","Russell Westbrook","Oklahoma City Thunder","2019-04-09","HOU",37,27.6321291127892
