"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Russell","PG","Brooklyn Nets","2018-10-17","DET",10,NA
"2","Russell","PG","Brooklyn Nets","2018-10-19","NYK",19,22.942
"3","Russell","PG","Brooklyn Nets","2018-10-20","IND",16,17.9006666666667
"4","Russell","PG","Brooklyn Nets","2018-10-24","CLE",22,20.5554166666667
"5","Russell","PG","Brooklyn Nets","2018-10-26","NOP",36,18.16775
"6","Russell","PG","Brooklyn Nets","2018-10-28","GSW",35,13.3098333333333
"7","Russell","PG","Brooklyn Nets","2018-10-29","NYK",19,13.2493333333333
"8","Russell","PG","Brooklyn Nets","2018-10-31","DET",6,21.9092083333333
"9","Russell","PG","Brooklyn Nets","2018-11-02","HOU",14,22.5191666666667
"10","Russell","PG","Brooklyn Nets","2018-11-04","PHI",23,20.5319166666667
"11","Russell","PG","Brooklyn Nets","2018-11-06","PHO",17,15.1873333333333
"12","Russell","PG","Brooklyn Nets","2018-11-09","DEN",29,16.968125
"13","Russell","PG","Brooklyn Nets","2018-11-10","GSW",14,13.108875
"14","Russell","PG","Brooklyn Nets","2018-11-12","MIN",49,20.9822916666667
"15","Russell","PG","Brooklyn Nets","2018-11-14","MIA",12,12.223
"16","Russell","PG","Brooklyn Nets","2018-11-16","WAS",25,20.0899166666667
"17","Russell","PG","Brooklyn Nets","2018-11-17","LAC",33,15.992875
"18","Russell","PG","Brooklyn Nets","2018-11-20","MIA",24,14.1909166666667
"19","Russell","PG","Brooklyn Nets","2018-11-21","DAL",23,18.9735416666667
"20","Russell","PG","Brooklyn Nets","2018-11-23","MIN",5,18.7598333333333
"21","Russell","PG","Brooklyn Nets","2018-11-25","PHI",42,25.1190833333333
"22","Russell","PG","Brooklyn Nets","2018-11-28","UTA",18,21.0974583333333
"23","Russell","PG","Brooklyn Nets","2018-11-30","MEM",36,21.162625
"24","Russell","PG","Brooklyn Nets","2018-12-01","WAS",10,12.5771666666667
"25","Russell","PG","Brooklyn Nets","2018-12-03","CLE",38,21.4301666666667
"26","Russell","PG","Brooklyn Nets","2018-12-05","OKC",23,18.6140833333333
"27","Russell","PG","Brooklyn Nets","2018-12-07","TOR",33,20.3285416666667
"28","Russell","PG","Brooklyn Nets","2018-12-08","NYK",11,15.6539583333333
"29","Russell","PG","Brooklyn Nets","2018-12-12","PHI",16,19.60125
"30","Russell","PG","Brooklyn Nets","2018-12-14","WAS",10,18.2789583333333
"31","Russell","PG","Brooklyn Nets","2018-12-16","ATL",42,24.676
"32","Russell","PG","Brooklyn Nets","2018-12-18","LAL",30,18.141125
"33","Russell","PG","Brooklyn Nets","2018-12-19","CHI",15,15.1404583333333
"34","Russell","PG","Brooklyn Nets","2018-12-21","IND",5,20.385375
"35","Russell","PG","Brooklyn Nets","2018-12-23","PHO",22,17.8695
"36","Russell","PG","Brooklyn Nets","2018-12-26","CHO",20,18.8411666666667
"37","Russell","PG","Brooklyn Nets","2018-12-28","CHO",37,18.2705
"39","Russell","PG","Brooklyn Nets","2019-01-02","NOP",26,19.3931666666667
"40","Russell","PG","Brooklyn Nets","2019-01-04","MEM",29,18.107875
"41","Russell","PG","Brooklyn Nets","2019-01-06","CHI",40,16.485375
"42","Russell","PG","Brooklyn Nets","2019-01-07","BOS",7,13.171375
"43","Russell","PG","Brooklyn Nets","2019-01-09","ATL",25,17.573625
"44","Russell","PG","Brooklyn Nets","2019-01-11","TOR",28,15.4499583333333
"45","Russell","PG","Brooklyn Nets","2019-01-14","BOS",48,14.865
"46","Russell","PG","Brooklyn Nets","2019-01-16","HOU",14,17.7499583333333
"47","Russell","PG","Brooklyn Nets","2019-01-18","ORL",56,22.8410833333333
"48","Russell","PG","Brooklyn Nets","2019-01-21","SAC",45,17.7242083333333
"49","Russell","PG","Brooklyn Nets","2019-01-23","ORL",31,15.109625
