"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Satoransky","PG","Washington Wizards","2018-10-18","MIA",4,NA
"2","Satoransky","PG","Washington Wizards","2018-10-20","TOR",7,6.45478733950729
"3","Satoransky","PG","Washington Wizards","2018-10-22","POR",0,7.14446107084518
"4","Satoransky","PG","Washington Wizards","2018-10-24","GSW",8,6.56877143570579
"5","Satoransky","PG","Washington Wizards","2018-10-26","SAC",2,8.84313792764464
"6","Satoransky","PG","Washington Wizards","2018-10-28","LAC",11,6.04360237753944
"7","Satoransky","PG","Washington Wizards","2018-10-30","MEM",5,8.12944217457992
"8","Satoransky","PG","Washington Wizards","2018-11-02","OKC",2,6.20094413984876
"9","Satoransky","PG","Washington Wizards","2018-11-04","NYK",4,7.67383145168796
"10","Satoransky","PG","Washington Wizards","2018-11-06","DAL",0,6.37732134145306
"11","Satoransky","PG","Washington Wizards","2018-11-09","ORL",0,5.84186310503222
"12","Satoransky","PG","Washington Wizards","2018-11-10","MIA",0,8.1227167683407
"13","Satoransky","PG","Washington Wizards","2018-11-12","ORL",9,6.70771055333556
"14","Satoransky","PG","Washington Wizards","2018-11-14","CLE",8,7.26611388533319
"15","Satoransky","PG","Washington Wizards","2018-11-16","BRK",4,9.18304382769416
"16","Satoransky","PG","Washington Wizards","2018-11-18","POR",12,5.49067625736332
"17","Satoransky","PG","Washington Wizards","2018-11-20","LAC",15,8.26525082044743
"18","Satoransky","PG","Washington Wizards","2018-11-23","TOR",11,8.98819600783172
"19","Satoransky","PG","Washington Wizards","2018-11-24","NOP",2,8.56287152958165
"20","Satoransky","PG","Washington Wizards","2018-11-26","HOU",4,7.53728299341678
"21","Satoransky","PG","Washington Wizards","2018-11-28","NOP",7,6.06088256531691
"22","Satoransky","PG","Washington Wizards","2018-11-30","PHI",8,9.59270882981752
"23","Satoransky","PG","Washington Wizards","2018-12-01","BRK",7,9.9821638145795
"24","Satoransky","PG","Washington Wizards","2018-12-03","NYK",5,7.4006173445232
"25","Satoransky","PG","Washington Wizards","2018-12-05","ATL",18,7.12165904257533
"26","Satoransky","PG","Washington Wizards","2018-12-08","CLE",9,8.27475784037053
"27","Satoransky","PG","Washington Wizards","2018-12-10","IND",6,8.15416724202838
