"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Shumpert","F","Sacramento Kings","2018-10-17","UTA",7,NA
"2","Shumpert","F","Sacramento Kings","2018-10-19","NOP",15,5.12475
"3","Shumpert","F","Sacramento Kings","2018-10-21","OKC",34,5.9695
"4","Shumpert","F","Sacramento Kings","2018-10-23","DEN",16,4.7945
"6","Shumpert","F","Sacramento Kings","2018-10-26","WAS",0,4.589375
"7","Shumpert","F","Sacramento Kings","2018-10-29","MIA",12,3.101875
"9","Shumpert","F","Sacramento Kings","2018-11-01","ATL",12,5.7665
"10","Shumpert","F","Sacramento Kings","2018-11-04","MIL",7,5.17925
"11","Shumpert","F","Sacramento Kings","2018-11-07","TOR",8,8.846875
"12","Shumpert","F","Sacramento Kings","2018-11-09","MIN",25,4.979
"13","Shumpert","F","Sacramento Kings","2018-11-10","LAL",9,4.56325
"14","Shumpert","F","Sacramento Kings","2018-11-12","SAS",2,5.052875
"15","Shumpert","F","Sacramento Kings","2018-11-16","MEM",18,3.477625
"16","Shumpert","F","Sacramento Kings","2018-11-17","HOU",5,5.885125
"17","Shumpert","F","Sacramento Kings","2018-11-19","OKC",31,4.394
"18","Shumpert","F","Sacramento Kings","2018-11-21","UTA",16,4.596
"19","Shumpert","F","Sacramento Kings","2018-11-24","GSW",22,5.1695
"21","Shumpert","F","Sacramento Kings","2018-11-29","LAC",4,4.344125
"22","Shumpert","F","Sacramento Kings","2018-12-01","IND",12,4.385
"23","Shumpert","F","Sacramento Kings","2018-12-04","PHO",7,4.93525
"24","Shumpert","F","Sacramento Kings","2018-12-07","CLE",6,4.53025
"26","Shumpert","F","Sacramento Kings","2018-12-10","CHI",22,5.118125
"27","Shumpert","F","Sacramento Kings","2018-12-12","MIN",12,5.582625
"28","Shumpert","F","Sacramento Kings","2018-12-14","GSW",7,6.074875
"32","Shumpert","F","Sacramento Kings","2018-12-21","MEM",15,4.775125
"33","Shumpert","F","Sacramento Kings","2018-12-23","NOP",14,4.41175
"34","Shumpert","F","Sacramento Kings","2018-12-26","LAC",16,5.504
"35","Shumpert","F","Sacramento Kings","2018-12-27","LAL",30,6.07025
"36","Shumpert","F","Sacramento Kings","2018-12-30","LAL",10,5.1665
"37","Shumpert","F","Sacramento Kings","2019-01-01","POR",11,4.796875
"38","Shumpert","F","Sacramento Kings","2019-01-03","DEN",0,5.734875
"42","Shumpert","F","Sacramento Kings","2019-01-10","DET",19,4.151375
"43","Shumpert","F","Sacramento Kings","2019-01-12","CHO",7,6.401
"44","Shumpert","F","Sacramento Kings","2019-01-14","POR",10,4.588
"45","Shumpert","F","Sacramento Kings","2019-01-17","CHO",9,4.1435
"46","Shumpert","F","Sacramento Kings","2019-01-19","DET",9,5.480875
"47","Shumpert","F","Sacramento Kings","2019-01-21","BRK",4,5.28425
"49","Shumpert","F","Sacramento Kings","2019-01-25","MEM",1,2.929875
"50","Shumpert","F","Sacramento Kings","2019-01-27","LAC",22,2.85875
"51","Shumpert","F","Sacramento Kings","2019-01-30","ATL",9,5.449
"52","Shumpert","F","Sacramento Kings","2019-02-02","PHI",8,5.08075
"53","Shumpert","F","Sacramento Kings","2019-02-04","SAS",19,5.565625
"55","Shumpert","F","Sacramento Kings","2019-02-09","OKC",5,5.853625
"56","Shumpert","F","Sacramento Kings","2019-02-11","DAL",10,2.90425
"57","Shumpert","F","Sacramento Kings","2019-02-13","MIN",5,4.709
"60","Shumpert","F","Sacramento Kings","2019-02-25","ATL",7,5.21575
"61","Shumpert","F","Sacramento Kings","2019-02-27","CHO",5,5.784125
"65","Shumpert","F","Sacramento Kings","2019-03-08","PHI",5,5.576
"66","Shumpert","F","Sacramento Kings","2019-03-10","DAL",0,4.502
"67","Shumpert","F","Sacramento Kings","2019-03-11","CHO",10,2.530125
"68","Shumpert","F","Sacramento Kings","2019-03-13","GSW",4,5.15075
"69","Shumpert","F","Sacramento Kings","2019-03-15","PHO",5,4.572375
"70","Shumpert","F","Sacramento Kings","2019-03-17","MIN",9,5.23725
"72","Shumpert","F","Sacramento Kings","2019-03-20","MEM",4,5.347625
"73","Shumpert","F","Sacramento Kings","2019-03-22","SAS",5,3.731375
"74","Shumpert","F","Sacramento Kings","2019-03-24","NOP",7,4.99225
"75","Shumpert","F","Sacramento Kings","2019-03-26","MIL",10,5.936875
"76","Shumpert","F","Sacramento Kings","2019-03-28","DEN",9,8.044125
"77","Shumpert","F","Sacramento Kings","2019-03-30","SAC",0,4.96525
"78","Shumpert","F","Sacramento Kings","2019-04-02","SAC",12,1.81475
"80","Shumpert","F","Sacramento Kings","2019-04-05","NYK",14,5.588875
