"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Siakam","F","Toronto Raptors","2018-10-17","CLE",15,NA
"2","Siakam","F","Toronto Raptors","2018-10-19","BOS",4,12.4436666666667
"3","Siakam","F","Toronto Raptors","2018-10-20","WAS",12,11.251
"4","Siakam","F","Toronto Raptors","2018-10-22","CHO",4,9.46224999999999
"5","Siakam","F","Toronto Raptors","2018-10-24","MIN",11,9.03925
"6","Siakam","F","Toronto Raptors","2018-10-26","DAL",10,8.53220833333333
"7","Siakam","F","Toronto Raptors","2018-10-29","MIL",22,8.52179166666667
"8","Siakam","F","Toronto Raptors","2018-10-30","PHI",15,9.955375
"9","Siakam","F","Toronto Raptors","2018-11-02","PHO",10,10.9070833333333
"10","Siakam","F","Toronto Raptors","2018-11-04","LAL",16,10.0423333333333
"11","Siakam","F","Toronto Raptors","2018-11-05","UTA",16,7.04575
"12","Siakam","F","Toronto Raptors","2018-11-07","SAC",21,9.09808333333333
"13","Siakam","F","Toronto Raptors","2018-11-10","NYK",29,9.70566666666666
"14","Siakam","F","Toronto Raptors","2018-11-12","NOP",26,14.908625
"15","Siakam","F","Toronto Raptors","2018-11-14","DET",19,11.9889583333333
"16","Siakam","F","Toronto Raptors","2018-11-16","BOS",16,9.34220833333333
"17","Siakam","F","Toronto Raptors","2018-11-17","CHI",12,8.530625
"18","Siakam","F","Toronto Raptors","2018-11-20","ORL",15,6.27545833333333
"19","Siakam","F","Toronto Raptors","2018-11-21","ATL",24,9.84216666666666
"20","Siakam","F","Toronto Raptors","2018-11-23","WAS",9,8.84408333333334
"21","Siakam","F","Toronto Raptors","2018-11-25","MIA",23,9.15391666666666
"22","Siakam","F","Toronto Raptors","2018-11-27","MEM",10,11.774625
"23","Siakam","F","Toronto Raptors","2018-11-29","GSW",32,12.204625
"24","Siakam","F","Toronto Raptors","2018-12-01","CLE",15,14.2402083333333
"25","Siakam","F","Toronto Raptors","2018-12-03","DEN",14,8.59754166666666
"26","Siakam","F","Toronto Raptors","2018-12-05","PHI",6,9.52
"27","Siakam","F","Toronto Raptors","2018-12-07","BRK",18,9.469375
"28","Siakam","F","Toronto Raptors","2018-12-09","MIL",21,8.2685
"29","Siakam","F","Toronto Raptors","2018-12-11","LAC",15,14.0386666666667
"30","Siakam","F","Toronto Raptors","2018-12-12","GSW",15,10.4885
"31","Siakam","F","Toronto Raptors","2018-12-14","POR",14,8.45333333333333
"33","Siakam","F","Toronto Raptors","2018-12-19","IND",17,14.0645833333333
"34","Siakam","F","Toronto Raptors","2018-12-21","CLE",19,10.163625
"35","Siakam","F","Toronto Raptors","2018-12-22","PHI",26,9.603875
"36","Siakam","F","Toronto Raptors","2018-12-26","MIA",10,8.216125
"37","Siakam","F","Toronto Raptors","2018-12-28","ORL",4,11.4789583333333
"38","Siakam","F","Toronto Raptors","2018-12-30","CHI",22,11.2955
"39","Siakam","F","Toronto Raptors","2019-01-01","UTA",34,10.9385416666667
"40","Siakam","F","Toronto Raptors","2019-01-03","SAS",10,13.8659583333333
"41","Siakam","F","Toronto Raptors","2019-01-05","MIL",36,8.01170833333333
"42","Siakam","F","Toronto Raptors","2019-01-06","IND",12,12.2323333333333
"43","Siakam","F","Toronto Raptors","2019-01-08","ATL",13,10.0990416666667
"44","Siakam","F","Toronto Raptors","2019-01-11","BRK",16,7.82258333333333
"45","Siakam","F","Toronto Raptors","2019-01-13","WAS",24,7.33454166666667
"46","Siakam","F","Toronto Raptors","2019-01-16","BOS",6,9.08691666666667
"47","Siakam","F","Toronto Raptors","2019-01-17","PHO",10,8.381875
"48","Siakam","F","Toronto Raptors","2019-01-19","MEM",17,6.362625
"49","Siakam","F","Toronto Raptors","2019-01-22","SAC",20,8.84725
"50","Siakam","F","Toronto Raptors","2019-01-23","IND",18,7.96408333333333
"51","Siakam","F","Toronto Raptors","2019-01-25","HOU",26,10.722625
"52","Siakam","F","Toronto Raptors","2019-01-27","DAL",16,14.4212083333333
"53","Siakam","F","Toronto Raptors","2019-01-31","MIL",32,7.38825
"54","Siakam","F","Toronto Raptors","2019-02-03","LAC",17,10.85375
"55","Siakam","F","Toronto Raptors","2019-02-05","PHI",20,9.19729166666666
"56","Siakam","F","Toronto Raptors","2019-02-07","ATL",37,11.1422916666667
"57","Siakam","F","Toronto Raptors","2019-02-09","NYK",10,10.1627916666667
"58","Siakam","F","Toronto Raptors","2019-02-11","BRK",17,7.75241666666667
"59","Siakam","F","Toronto Raptors","2019-02-13","WAS",52,8.095
"60","Siakam","F","Toronto Raptors","2019-02-22","SAS",26,13.8876666666667
"61","Siakam","F","Toronto Raptors","2019-02-24","ORL",14,10.9963333333333
"62","Siakam","F","Toronto Raptors","2019-02-26","BOS",33,13.0147916666667
"63","Siakam","F","Toronto Raptors","2019-03-01","POR",20,12.407625
"64","Siakam","F","Toronto Raptors","2019-03-03","DET",23,12.7722916666667
"65","Siakam","F","Toronto Raptors","2019-03-05","HOU",21,9.26583333333333
"66","Siakam","F","Toronto Raptors","2019-03-08","NOP",21,13.906375
"67","Siakam","F","Toronto Raptors","2019-03-10","MIA",22,7.22175
"68","Siakam","F","Toronto Raptors","2019-03-11","CLE",15,11.1625416666667
"69","Siakam","F","Toronto Raptors","2019-03-14","LAL",16,6.828625
"70","Siakam","F","Toronto Raptors","2019-03-17","DET",12,7.96904166666667
"71","Siakam","F","Toronto Raptors","2019-03-18","NYK",21,7.216125
"72","Siakam","F","Toronto Raptors","2019-03-20","OKC",35,10.5409583333333
"73","Siakam","F","Toronto Raptors","2019-03-22","OKC",29,7.78795833333333
"74","Siakam","F","Toronto Raptors","2019-03-24","CHO",25,12.7395833333333
"75","Siakam","F","Toronto Raptors","2019-03-26","CHI",13,9.37125
"76","Siakam","F","Toronto Raptors","2019-03-28","NYK",35,11.41225
"78","Siakam","F","Toronto Raptors","2019-04-01","ORL",8,8.57020833333333
"79","Siakam","F","Toronto Raptors","2019-04-03","BRK",34,10.20525
"80","Siakam","F","Toronto Raptors","2019-04-05","CHO",18,11.451
"81","Siakam","F","Toronto Raptors","2019-04-07","MIA",29,13.2093333333333
