"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Simmons","PG","Philadelphia 76ers","2018-10-16","BOS",19,NA
"2","Simmons","PG","Philadelphia 76ers","2018-10-18","CHI",13,17.3334034124811
"3","Simmons","PG","Philadelphia 76ers","2018-10-20","ORL",4,15.5166170900349
"5","Simmons","PG","Philadelphia 76ers","2018-10-24","MIL",14,16.0742826108362
"6","Simmons","PG","Philadelphia 76ers","2018-10-27","CHO",14,17.0604840289965
"7","Simmons","PG","Philadelphia 76ers","2018-10-29","ATL",21,15.6642551978741
"8","Simmons","PG","Philadelphia 76ers","2018-10-30","TOR",11,16.3015501594487
"9","Simmons","PG","Philadelphia 76ers","2018-11-01","LAC",14,16.3761306603249
"10","Simmons","PG","Philadelphia 76ers","2018-11-03","DET",9,15.3114953132049
"11","Simmons","PG","Philadelphia 76ers","2018-11-04","BRK",20,16.3438272871175
"12","Simmons","PG","Philadelphia 76ers","2018-11-07","IND",16,17.11769878715
"13","Simmons","PG","Philadelphia 76ers","2018-11-09","CHO",22,16.5383022004704
"14","Simmons","PG","Philadelphia 76ers","2018-11-10","MEM",18,16.4488215379133
"15","Simmons","PG","Philadelphia 76ers","2018-11-12","MIA",13,16.2583853430441
"16","Simmons","PG","Philadelphia 76ers","2018-11-14","ORL",9,14.6147844365785
"17","Simmons","PG","Philadelphia 76ers","2018-11-16","UTA",10,17.0070434244163
"18","Simmons","PG","Philadelphia 76ers","2018-11-17","CHO",23,17.0674004914954
"19","Simmons","PG","Philadelphia 76ers","2018-11-19","PHO",19,15.6410003214979
"20","Simmons","PG","Philadelphia 76ers","2018-11-21","NOP",22,17.1965591033322
"21","Simmons","PG","Philadelphia 76ers","2018-11-23","CLE",22,16.1578085780438
"22","Simmons","PG","Philadelphia 76ers","2018-11-25","BRK",13,18.4922068857446
"23","Simmons","PG","Philadelphia 76ers","2018-11-28","NYK",14,15.9525725891443
"24","Simmons","PG","Philadelphia 76ers","2018-11-30","WAS",13,17.80876665573
"25","Simmons","PG","Philadelphia 76ers","2018-12-02","MEM",19,16.8860687644267
"26","Simmons","PG","Philadelphia 76ers","2018-12-05","TOR",8,16.4987190847892
"27","Simmons","PG","Philadelphia 76ers","2018-12-07","DET",18,17.064295415413
"28","Simmons","PG","Philadelphia 76ers","2018-12-10","DET",18,16.4879112374405
"29","Simmons","PG","Philadelphia 76ers","2018-12-12","BRK",22,16.643973555869
"30","Simmons","PG","Philadelphia 76ers","2018-12-14","IND",18,16.3133243040565
"31","Simmons","PG","Philadelphia 76ers","2018-12-16","CLE",22,17.0428942342526
"32","Simmons","PG","Philadelphia 76ers","2018-12-17","SAS",16,18.5177059162731
"33","Simmons","PG","Philadelphia 76ers","2018-12-19","NYK",13,15.4029143406449
"34","Simmons","PG","Philadelphia 76ers","2018-12-22","TOR",26,17.2453438817665
"35","Simmons","PG","Philadelphia 76ers","2018-12-25","BOS",11,15.2668577874527
"36","Simmons","PG","Philadelphia 76ers","2018-12-27","UTA",13,15.8329525318718
"37","Simmons","PG","Philadelphia 76ers","2018-12-30","POR",19,17.9509903522648
"38","Simmons","PG","Philadelphia 76ers","2019-01-01","LAC",14,16.0704523085032
"39","Simmons","PG","Philadelphia 76ers","2019-01-02","PHO",29,17.2619319088216
"40","Simmons","PG","Philadelphia 76ers","2019-01-05","DAL",20,17.3606891761571
"41","Simmons","PG","Philadelphia 76ers","2019-01-08","WAS",17,17.2578758719289
"42","Simmons","PG","Philadelphia 76ers","2019-01-09","WAS",15,15.7481747596028
"43","Simmons","PG","Philadelphia 76ers","2019-01-11","ATL",23,16.8468545017482
"44","Simmons","PG","Philadelphia 76ers","2019-01-13","NYK",20,17.2166806187845
"45","Simmons","PG","Philadelphia 76ers","2019-01-15","MIN",20,16.165262620245
"46","Simmons","PG","Philadelphia 76ers","2019-01-17","IND",11,16.3128365977556
"47","Simmons","PG","Philadelphia 76ers","2019-01-19","OKC",20,17.3156225061191
"48","Simmons","PG","Philadelphia 76ers","2019-01-21","HOU",9,16.9226350488195
"49","Simmons","PG","Philadelphia 76ers","2019-01-23","SAS",21,17.1767704502533
"50","Simmons","PG","Philadelphia 76ers","2019-01-26","DEN",19,17.0393163377877
"51","Simmons","PG","Philadelphia 76ers","2019-01-29","LAL",19,16.2364428896605
"52","Simmons","PG","Philadelphia 76ers","2019-01-31","GSW",26,17.3016096984093
"53","Simmons","PG","Philadelphia 76ers","2019-02-02","SAC",22,17.4572977161732
"54","Simmons","PG","Philadelphia 76ers","2019-02-05","TOR",20,16.6086483392956
"55","Simmons","PG","Philadelphia 76ers","2019-02-08","DEN",12,15.4866677215378
"56","Simmons","PG","Philadelphia 76ers","2019-02-10","LAL",8,16.251920423409
"57","Simmons","PG","Philadelphia 76ers","2019-02-12","BOS",16,16.4818667190602
"58","Simmons","PG","Philadelphia 76ers","2019-02-13","NYK",18,15.2484992526972
"59","Simmons","PG","Philadelphia 76ers","2019-02-21","MIA",21,17.290349495764
"60","Simmons","PG","Philadelphia 76ers","2019-02-23","POR",29,16.0243267203952
"61","Simmons","PG","Philadelphia 76ers","2019-02-25","NOP",14,15.9552490736683
"62","Simmons","PG","Philadelphia 76ers","2019-02-28","OKC",11,17.182626390358
"63","Simmons","PG","Philadelphia 76ers","2019-03-02","GSW",25,16.8856122947682
"64","Simmons","PG","Philadelphia 76ers","2019-03-05","ORL",16,15.8283389219011
"65","Simmons","PG","Philadelphia 76ers","2019-03-06","CHI",18,16.7739509281674
"66","Simmons","PG","Philadelphia 76ers","2019-03-08","HOU",15,16.4106896904237
"67","Simmons","PG","Philadelphia 76ers","2019-03-10","IND",15,17.1495177394577
"68","Simmons","PG","Philadelphia 76ers","2019-03-12","CLE",26,16.5310339185689
"69","Simmons","PG","Philadelphia 76ers","2019-03-15","SAC",18,17.0057938950324
"70","Simmons","PG","Philadelphia 76ers","2019-03-17","MIL",8,15.0311615312741
"71","Simmons","PG","Philadelphia 76ers","2019-03-19","CHO",28,17.6494063188178
"72","Simmons","PG","Philadelphia 76ers","2019-03-20","BOS",13,17.5239424486224
"73","Simmons","PG","Philadelphia 76ers","2019-03-23","ATL",21,15.0328518598436
"75","Simmons","PG","Philadelphia 76ers","2019-03-28","BRK",16,15.6773206675683
"76","Simmons","PG","Philadelphia 76ers","2019-03-30","MIN",20,15.6434824103726
"77","Simmons","PG","Philadelphia 76ers","2019-04-01","DAL",17,16.9739067611117
"78","Simmons","PG","Philadelphia 76ers","2019-04-03","ATL",15,17.4979124787759
"79","Simmons","PG","Philadelphia 76ers","2019-04-04","MIL",6,16.601969169011
"80","Simmons","PG","Philadelphia 76ers","2019-04-06","CHI",14,18.6131856157652
