"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Smart","SG","Boston Celtics","2018-10-16","PHI",11,NA
"2","Smart","SG","Boston Celtics","2018-10-19","TOR",2,12.9246325280112
"3","Smart","SG","Boston Celtics","2018-10-20","NYK",8,9.82672321428572
"4","Smart","SG","Boston Celtics","2018-10-22","ORL",11,11.3061440972222
"5","Smart","SG","Boston Celtics","2018-10-25","OKC",2,14.4510952380952
"6","Smart","SG","Boston Celtics","2018-10-27","DET",5,14.7945907738095
"7","Smart","SG","Boston Celtics","2018-10-30","DET",3,11.6457619047619
"8","Smart","SG","Boston Celtics","2018-11-01","MIL",2,12.0353033234127
"9","Smart","SG","Boston Celtics","2018-11-03","IND",5,13.5541853553922
"10","Smart","SG","Boston Celtics","2018-11-05","DEN",11,15.2036130952381
"11","Smart","SG","Boston Celtics","2018-11-08","PHO",9,12.5191791801948
"12","Smart","SG","Boston Celtics","2018-11-09","UTA",21,11.7971025180906
"13","Smart","SG","Boston Celtics","2018-11-11","POR",0,12.0859819823763
"14","Smart","SG","Boston Celtics","2018-11-14","CHI",12,10.7117723214286
"15","Smart","SG","Boston Celtics","2018-11-16","TOR",5,13.3041913077731
"16","Smart","SG","Boston Celtics","2018-11-17","UTA",5,12.1877530637255
"17","Smart","SG","Boston Celtics","2018-11-19","CHO",22,12.8192061887255
"18","Smart","SG","Boston Celtics","2018-11-21","NYK",2,13.4495335696779
"19","Smart","SG","Boston Celtics","2018-11-23","ATL",4,11.1100587797619
"20","Smart","SG","Boston Celtics","2018-11-24","DAL",25,11.3243638392857
"21","Smart","SG","Boston Celtics","2018-11-26","NOP",12,13.9268637040043
"22","Smart","SG","Boston Celtics","2018-11-30","CLE",16,12.6789858630952
"23","Smart","SG","Boston Celtics","2018-12-01","MIN",10,12.4161584821429
"24","Smart","SG","Boston Celtics","2018-12-06","NYK",4,13.691665922619
"25","Smart","SG","Boston Celtics","2018-12-08","CHI",10,12.0812998511905
"26","Smart","SG","Boston Celtics","2018-12-10","NOP",4,13.9049145220588
"27","Smart","SG","Boston Celtics","2018-12-12","WAS",20,12.3574873511905
