"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Smith","PG","Dallas Mavericks","2018-10-17","PHO",15,NA
"2","Smith","PG","Dallas Mavericks","2018-10-20","MIN",21,20.0475167167885
"3","Smith","PG","Dallas Mavericks","2018-10-22","CHI",9,18.4783259896908
"4","Smith","PG","Dallas Mavericks","2018-10-24","ATL",18,18.1002301751269
"6","Smith","PG","Dallas Mavericks","2018-10-28","UTA",33,17.3368224333863
"7","Smith","PG","Dallas Mavericks","2018-10-29","SAS",24,21.620798681085
"8","Smith","PG","Dallas Mavericks","2018-10-31","LAL",7,18.8634358087606
"9","Smith","PG","Dallas Mavericks","2018-11-02","NYK",27,19.2688576878677
"10","Smith","PG","Dallas Mavericks","2018-11-06","WAS",23,20.2217474847564
"11","Smith","PG","Dallas Mavericks","2018-11-07","UTA",14,17.703821824379
"12","Smith","PG","Dallas Mavericks","2018-11-10","OKC",14,20.9888866660732
"13","Smith","PG","Dallas Mavericks","2018-11-12","CHI",13,23.0720079563711
"14","Smith","PG","Dallas Mavericks","2018-11-14","UTA",9,19.0921598132861
"15","Smith","PG","Dallas Mavericks","2018-11-17","GSW",18,20.0223876668894
"16","Smith","PG","Dallas Mavericks","2018-11-19","MEM",25,18.5539506474409
"17","Smith","PG","Dallas Mavericks","2018-11-21","BRK",4,17.6571702964951
"19","Smith","PG","Dallas Mavericks","2018-11-28","HOU",12,20.1546277860513
"20","Smith","PG","Dallas Mavericks","2018-11-30","LAL",15,19.3628532657703
"21","Smith","PG","Dallas Mavericks","2018-12-02","LAC",11,17.1249616419745
"22","Smith","PG","Dallas Mavericks","2018-12-04","POR",14,20.5798726407985
"27","Smith","PG","Dallas Mavericks","2018-12-13","PHO",4,18.9640647045655
"34","Smith","PG","Dallas Mavericks","2018-12-28","NOP",18,20.8286075329899
"35","Smith","PG","Dallas Mavericks","2018-12-30","OKC",18,19.7062581308829
"36","Smith","PG","Dallas Mavericks","2018-12-31","OKC",14,20.4140645466893
"37","Smith","PG","Dallas Mavericks","2019-01-02","CHO",24,21.6259901126266
"38","Smith","PG","Dallas Mavericks","2019-01-04","BOS",9,19.3185289745412
"39","Smith","PG","Dallas Mavericks","2019-01-05","PHI",2,19.7336243998761
"40","Smith","PG","Dallas Mavericks","2019-01-07","LAL",15,19.6787585248085
"47","Smith","PG","Dallas Mavericks","2019-01-22","LAC",19,20.8210549829198
"48","Smith","PG","Dallas Mavericks","2019-01-25","DET",23,20.9710260885547
"49","Smith","PG","Dallas Mavericks","2019-01-27","TOR",15,17.5880630587036
"50","Smith","PG","Dallas Mavericks","2019-01-30","NYK",13,19.6106156959415
"53","Smith","PG","Dallas Mavericks","2019-02-03","MEM",8,18.1468455859717
"54","Smith","PG","Dallas Mavericks","2019-02-05","DET",29,19.0518011748788
"55","Smith","PG","Dallas Mavericks","2019-02-08","DET",35,19.1357889801918
"56","Smith","PG","Dallas Mavericks","2019-02-09","TOR",15,19.2720118280629
"57","Smith","PG","Dallas Mavericks","2019-02-11","CLE",10,19.5542038276783
"58","Smith","PG","Dallas Mavericks","2019-02-13","PHI",13,20.0001865741286
"59","Smith","PG","Dallas Mavericks","2019-02-14","ATL",23,18.3507028250776
"60","Smith","PG","Dallas Mavericks","2019-02-22","MIN",7,17.5793642158986
"61","Smith","PG","Dallas Mavericks","2019-02-24","SAS",21,19.9498272998649
"62","Smith","PG","Dallas Mavericks","2019-02-26","ORL",11,19.6936329861806
"63","Smith","PG","Dallas Mavericks","2019-02-28","CLE",22,18.9979500518789
"64","Smith","PG","Dallas Mavericks","2019-03-03","LAC",8,19.3893900438158
"65","Smith","PG","Dallas Mavericks","2019-03-04","SAC",22,18.5877071672198
"66","Smith","PG","Dallas Mavericks","2019-03-06","PHO",17,20.3610102993498
"67","Smith","PG","Dallas Mavericks","2019-03-09","SAC",22,18.2694302358505
"68","Smith","PG","Dallas Mavericks","2019-03-10","MIN",13,18.9846884350644
"69","Smith","PG","Dallas Mavericks","2019-03-12","IND",9,17.9129133169662
"76","Smith","PG","Dallas Mavericks","2019-03-28","TOR",9,20.4820055556803
"77","Smith","PG","Dallas Mavericks","2019-03-30","MIA",12,16.9239436680667
"81","Smith","PG","Dallas Mavericks","2019-04-07","WAS",21,21.103365793967
