,Player,Team,Position,Date,Opp,Fantasy_Score,predictions_2019
1,Steven Adams,Oklahoma City Thunder,C,16/10/2018,GSW,17,NA
2,Steven Adams,Oklahoma City Thunder,C,19/10/2018,LAC,17,14.05774473
3,Steven Adams,Oklahoma City Thunder,C,21/10/2018,SAC,10,15.71383401
4,Steven Adams,Oklahoma City Thunder,C,25/10/2018,BOS,12,14.02624638
6,Steven Adams,Oklahoma City Thunder,C,30/10/2018,LAC,18,16.01054719
7,Steven Adams,Oklahoma City Thunder,C,01/11/2018,CHO,5,15.37380196
8,Steven Adams,Oklahoma City Thunder,C,02/11/2018,WAS,15,14.19729196
9,Steven Adams,Oklahoma City Thunder,C,05/11/2018,NOP,18,14.61687819
10,Steven Adams,Oklahoma City Thunder,C,07/11/2018,CLE,9,14.42249889
11,Steven Adams,Oklahoma City Thunder,C,08/11/2018,HOU,19,13.4643208
12,Steven Adams,Oklahoma City Thunder,C,10/11/2018,DAL,20,14.2994824
13,Steven Adams,Oklahoma City Thunder,C,12/11/2018,PHO,18,13.96644184
14,Steven Adams,Oklahoma City Thunder,C,14/11/2018,NYK,19,14.47760175
15,Steven Adams,Oklahoma City Thunder,C,17/11/2018,PHO,26,14.75124729
16,Steven Adams,Oklahoma City Thunder,C,19/11/2018,SAC,11,13.18966347
17,Steven Adams,Oklahoma City Thunder,C,21/11/2018,GSW,20,14.72724666
18,Steven Adams,Oklahoma City Thunder,C,23/11/2018,CHO,13,14.39019614
19,Steven Adams,Oklahoma City Thunder,C,24/11/2018,DEN,12,14.31418447
20,Steven Adams,Oklahoma City Thunder,C,28/11/2018,CLE,6,14.99918253
21,Steven Adams,Oklahoma City Thunder,C,30/11/2018,ATL,6,13.37927389
22,Steven Adams,Oklahoma City Thunder,C,03/12/2018,DET,21,13.84391598
23,Steven Adams,Oklahoma City Thunder,C,05/12/2018,BRK,15,14.06675205
24,Steven Adams,Oklahoma City Thunder,C,07/12/2018,CHI,21,14.26396552
25,Steven Adams,Oklahoma City Thunder,C,10/12/2018,UTA,22,14.65257386
26,Steven Adams,Oklahoma City Thunder,C,12/12/2018,NOP,20,14.85430012
27,Steven Adams,Oklahoma City Thunder,C,14/12/2018,DEN,26,13.29668773
28,Steven Adams,Oklahoma City Thunder,C,15/12/2018,LAC,16,14.86424208
29,Steven Adams,Oklahoma City Thunder,C,17/12/2018,CHI,19,15.5411878
30,Steven Adams,Oklahoma City Thunder,C,19/12/2018,SAC,20,14.26699879
31,Steven Adams,Oklahoma City Thunder,C,22/12/2018,UTA,15,14.49042237
32,Steven Adams,Oklahoma City Thunder,C,23/12/2018,MIN,12,14.85990575
33,Steven Adams,Oklahoma City Thunder,C,25/12/2018,HOU,17,14.77817954
34,Steven Adams,Oklahoma City Thunder,C,28/12/2018,PHO,12,14.6629438
35,Steven Adams,Oklahoma City Thunder,C,30/12/2018,DAL,8,13.67589002
36,Steven Adams,Oklahoma City Thunder,C,31/12/2018,DAL,12,12.52650485
37,Steven Adams,Oklahoma City Thunder,C,02/01/2019,LAL,14,13.35036767
38,Steven Adams,Oklahoma City Thunder,C,04/01/2019,POR,6,14.87189282
39,Steven Adams,Oklahoma City Thunder,C,06/01/2019,WAS,12,13.84417065
40,Steven Adams,Oklahoma City Thunder,C,08/01/2019,MIN,20,14.09244574
41,Steven Adams,Oklahoma City Thunder,C,10/01/2019,SAS,19,13.73859909
42,Steven Adams,Oklahoma City Thunder,C,12/01/2019,SAS,12,14.21242146
43,Steven Adams,Oklahoma City Thunder,C,15/01/2019,ATL,16,13.81045523
44,Steven Adams,Oklahoma City Thunder,C,17/01/2019,LAL,17,13.58298062
45,Steven Adams,Oklahoma City Thunder,C,19/01/2019,PHI,16,13.44651554
46,Steven Adams,Oklahoma City Thunder,C,21/01/2019,NYK,10,14.504537
47,Steven Adams,Oklahoma City Thunder,C,22/01/2019,POR,14,13.85025374
48,Steven Adams,Oklahoma City Thunder,C,24/01/2019,NOP,20,14.59904557
49,Steven Adams,Oklahoma City Thunder,C,27/01/2019,MIL,14,13.64942658
51,Steven Adams,Oklahoma City Thunder,C,01/02/2019,MIA,13,14.55800649
52,Steven Adams,Oklahoma City Thunder,C,03/02/2019,BOS,16,13.98905884
53,Steven Adams,Oklahoma City Thunder,C,05/02/2019,ORL,14,14.67297548
54,Steven Adams,Oklahoma City Thunder,C,07/02/2019,MEM,11,15.02744827
55,Steven Adams,Oklahoma City Thunder,C,09/02/2019,HOU,6,14.13285945
56,Steven Adams,Oklahoma City Thunder,C,11/02/2019,POR,9,13.8012897
57,Steven Adams,Oklahoma City Thunder,C,14/02/2019,NOP,4,13.63717246
58,Steven Adams,Oklahoma City Thunder,C,22/02/2019,UTA,16,14.37699395
59,Steven Adams,Oklahoma City Thunder,C,23/02/2019,SAC,11,14.71854457
60,Steven Adams,Oklahoma City Thunder,C,26/02/2019,DEN,15,13.52230757
61,Steven Adams,Oklahoma City Thunder,C,28/02/2019,PHI,11,15.81024477
62,Steven Adams,Oklahoma City Thunder,C,02/03/2019,SAS,17,14.45985372
63,Steven Adams,Oklahoma City Thunder,C,03/03/2019,MEM,13,13.95124223
64,Steven Adams,Oklahoma City Thunder,C,05/03/2019,MIN,13,15.85984155
65,Steven Adams,Oklahoma City Thunder,C,07/03/2019,POR,12,14.55708845
66,Steven Adams,Oklahoma City Thunder,C,08/03/2019,LAC,6,14.20011328
67,Steven Adams,Oklahoma City Thunder,C,11/03/2019,UTA,12,14.66323332
68,Steven Adams,Oklahoma City Thunder,C,13/03/2019,BRK,13,13.66131716
69,Steven Adams,Oklahoma City Thunder,C,14/03/2019,IND,17,15.35005111
70,Steven Adams,Oklahoma City Thunder,C,16/03/2019,GSW,9,14.39803351
71,Steven Adams,Oklahoma City Thunder,C,18/03/2019,MIA,10,15.55902478
72,Steven Adams,Oklahoma City Thunder,C,20/03/2019,TOR,4,14.43845296
73,Steven Adams,Oklahoma City Thunder,C,22/03/2019,TOR,9,13.87994828
74,Steven Adams,Oklahoma City Thunder,C,25/03/2019,MEM,2,14.70665672
75,Steven Adams,Oklahoma City Thunder,C,27/03/2019,IND,25,14.9210225
76,Steven Adams,Oklahoma City Thunder,C,29/03/2019,DEN,16,14.21493851
77,Steven Adams,Oklahoma City Thunder,C,31/03/2019,DAL,20,14.52442481
78,Steven Adams,Oklahoma City Thunder,C,02/04/2019,LAL,13,12.79937843
79,Steven Adams,Oklahoma City Thunder,C,05/04/2019,DET,14,15.35857113
80,Steven Adams,Oklahoma City Thunder,C,07/04/2019,MIN,8,14.19135741
81,Steven Adams,Oklahoma City Thunder,C,09/04/2019,HOU,8,13.17883861
