"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","T.Harris","F","Los Angeles Clippers","2018-10-17","DEN",23,NA
"2","T.Harris","F","Los Angeles Clippers","2018-10-19","OKC",30,21.8105259428769
"3","T.Harris","F","Los Angeles Clippers","2018-10-21","HOU",27,24.925276393471
"4","T.Harris","F","Los Angeles Clippers","2018-10-23","NOP",30,23.0457160354615
"5","T.Harris","F","Los Angeles Clippers","2018-10-26","HOU",19,23.4013256764645
"6","T.Harris","F","Los Angeles Clippers","2018-10-28","WAS",26,23.2753872494793
"7","T.Harris","F","Los Angeles Clippers","2018-10-30","OKC",15,24.3942484632142
"8","T.Harris","F","Los Angeles Clippers","2018-11-01","PHI",28,23.6121175718518
"9","T.Harris","F","Los Angeles Clippers","2018-11-02","ORL",23,23.3814488557242
"10","T.Harris","F","Los Angeles Clippers","2018-11-05","MIN",30,22.6123225954543
"11","T.Harris","F","Los Angeles Clippers","2018-11-08","POR",17,22.4396234292637
"12","T.Harris","F","Los Angeles Clippers","2018-11-10","MIL",24,26.1335176087068
"13","T.Harris","F","Los Angeles Clippers","2018-11-12","GSW",21,23.9374206850427
"14","T.Harris","F","Los Angeles Clippers","2018-11-15","SAS",22,24.3169373819409
"15","T.Harris","F","Los Angeles Clippers","2018-11-17","BRK",31,23.5148965099021
"16","T.Harris","F","Los Angeles Clippers","2018-11-19","ATL",32,22.3416623049163
"17","T.Harris","F","Los Angeles Clippers","2018-11-20","WAS",37,20.4123646039582
"18","T.Harris","F","Los Angeles Clippers","2018-11-23","MEM",12,23.9421680366688
"19","T.Harris","F","Los Angeles Clippers","2018-11-25","POR",38,22.9270532168438
"20","T.Harris","F","Los Angeles Clippers","2018-11-28","PHO",24,23.2364862223503
"21","T.Harris","F","Los Angeles Clippers","2018-11-29","SAC",34,24.4506283512887
"22","T.Harris","F","Los Angeles Clippers","2018-12-02","DAL",17,22.6688767279805
"23","T.Harris","F","Los Angeles Clippers","2018-12-03","NOP",29,23.2953821735232
"24","T.Harris","F","Los Angeles Clippers","2018-12-05","MEM",9,22.2181280542166
"25","T.Harris","F","Los Angeles Clippers","2018-12-08","MIA",24,24.27217342305
"26","T.Harris","F","Los Angeles Clippers","2018-12-10","PHO",37,23.0969044395506
"27","T.Harris","F","Los Angeles Clippers","2018-12-11","TOR",10,22.1048070370453
"28","T.Harris","F","Los Angeles Clippers","2018-12-13","SAS",19,22.4311533971957
"29","T.Harris","F","Los Angeles Clippers","2018-12-15","OKC",28,23.044956127147
"30","T.Harris","F","Los Angeles Clippers","2018-12-17","POR",45,23.0369016932152
"31","T.Harris","F","Los Angeles Clippers","2018-12-20","DAL",16,22.6514892196698
"32","T.Harris","F","Los Angeles Clippers","2018-12-22","DEN",27,21.3607638794699
"33","T.Harris","F","Los Angeles Clippers","2018-12-23","GSW",44,20.9292896634891
"34","T.Harris","F","Los Angeles Clippers","2018-12-26","SAC",23,22.6578483562185
"35","T.Harris","F","Los Angeles Clippers","2018-12-28","LAL",9,23.5383932927003
"36","T.Harris","F","Los Angeles Clippers","2018-12-29","SAS",18,22.0415879264163
"37","T.Harris","F","Los Angeles Clippers","2019-01-01","PHI",23,23.2478760528063
"38","T.Harris","F","Los Angeles Clippers","2019-01-04","PHO",20,24.6498367301928
"39","T.Harris","F","Los Angeles Clippers","2019-01-06","ORL",30,24.099840077682
"40","T.Harris","F","Los Angeles Clippers","2019-01-08","CHO",31,22.3518901195861
