"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","T.Johnson","PG","Phoenix Suns","2018-10-17","ORL",9,NA
"2","T.Johnson","PG","Phoenix Suns","2018-10-18","WAS",11,16.29225
"3","T.Johnson","PG","Phoenix Suns","2018-10-20","CHO",2,10.9372916666667
"4","T.Johnson","PG","Phoenix Suns","2018-10-24","NYK",10,16.792
"5","T.Johnson","PG","Phoenix Suns","2018-10-27","POR",9,15.0543333333333
"6","T.Johnson","PG","Phoenix Suns","2018-10-29","SAC",13,15.6012916666667
"7","T.Johnson","PG","Phoenix Suns","2018-10-30","CHO",14,13.7380416666667
"8","T.Johnson","PG","Phoenix Suns","2018-11-03","ATL",21,15.8878333333333
"9","T.Johnson","PG","Phoenix Suns","2018-11-05","DET",13,13.4444166666667
"10","T.Johnson","PG","Phoenix Suns","2018-11-07","SAS",11,22.1713333333333
"11","T.Johnson","PG","Phoenix Suns","2018-11-09","IND",21,15.0904583333333
"12","T.Johnson","PG","Phoenix Suns","2018-11-10","WAS",16,16.58575
"13","T.Johnson","PG","Phoenix Suns","2018-11-12","PHI",14,16.4230833333333
"14","T.Johnson","PG","Phoenix Suns","2018-11-14","BRK",28,13.906875
"15","T.Johnson","PG","Phoenix Suns","2018-11-16","IND",14,12.8941666666667
"16","T.Johnson","PG","Phoenix Suns","2018-11-18","LAL",21,12.5117916666667
"23","T.Johnson","PG","Phoenix Suns","2018-12-04","ORL",4,12.5935416666667
"24","T.Johnson","PG","Phoenix Suns","2018-12-07","PHO",16,15.5868333333333
"25","T.Johnson","PG","Phoenix Suns","2018-12-08","LAC",12,17.96875
"27","T.Johnson","PG","Phoenix Suns","2018-12-12","UTA",5,12.5523333333333
"28","T.Johnson","PG","Phoenix Suns","2018-12-14","MEM",25,16.0202916666667
"29","T.Johnson","PG","Phoenix Suns","2018-12-16","NOP",21,14.120375
"30","T.Johnson","PG","Phoenix Suns","2018-12-20","HOU",23,11.1719583333333
"31","T.Johnson","PG","Phoenix Suns","2018-12-22","MIL",9,14.1956666666667
"32","T.Johnson","PG","Phoenix Suns","2018-12-23","ORL",37,12.712375
"33","T.Johnson","PG","Phoenix Suns","2018-12-26","TOR",16,13.028
"34","T.Johnson","PG","Phoenix Suns","2018-12-28","CLE",17,16.4376666666667
"35","T.Johnson","PG","Phoenix Suns","2018-12-30","MIN",10,14.0915
"36","T.Johnson","PG","Phoenix Suns","2019-01-02","CLE",18,17.2868333333333
"37","T.Johnson","PG","Phoenix Suns","2019-01-04","WAS",8,13.872
"38","T.Johnson","PG","Phoenix Suns","2019-01-06","ATL",0,16.8064166666667
"39","T.Johnson","PG","Phoenix Suns","2019-01-08","DEN",4,15.965
"40","T.Johnson","PG","Phoenix Suns","2019-01-10","BOS",17,16.525375
"41","T.Johnson","PG","Phoenix Suns","2019-01-12","MEM",22,15.4841666666667
"42","T.Johnson","PG","Phoenix Suns","2019-01-15","MIL",9,15.7895
"43","T.Johnson","PG","Phoenix Suns","2019-01-18","DET",22,16.987875
"44","T.Johnson","PG","Phoenix Suns","2019-01-19","CHI",20,11.748875
"45","T.Johnson","PG","Phoenix Suns","2019-01-21","BOS",15,11.42
"46","T.Johnson","PG","Phoenix Suns","2019-01-23","LAC",17,13.733375
"47","T.Johnson","PG","Phoenix Suns","2019-01-25","CLE",11,15.1518333333333
"49","T.Johnson","PG","Phoenix Suns","2019-01-30","CHI",19,15.0555
"50","T.Johnson","PG","Phoenix Suns","2019-02-01","OKC",6,10.6903333333333
"51","T.Johnson","PG","Phoenix Suns","2019-02-02","IND",5,19.6215416666667
"52","T.Johnson","PG","Phoenix Suns","2019-02-05","POR",4,16.144625
"54","T.Johnson","PG","Phoenix Suns","2019-02-08","GSW",7,16.0641666666667
"55","T.Johnson","PG","Phoenix Suns","2019-02-10","SAC",11,13.3137916666667
"56","T.Johnson","PG","Phoenix Suns","2019-02-13","LAC",5,15.8220416666667
"57","T.Johnson","PG","Phoenix Suns","2019-02-21","CLE",5,16.5837083333333
"58","T.Johnson","PG","Phoenix Suns","2019-02-23","ATL",37,14.46625
"59","T.Johnson","PG","Phoenix Suns","2019-02-25","MIA",24,9.608
"60","T.Johnson","PG","Phoenix Suns","2019-03-01","NOP",5,12.4827916666667
"61","T.Johnson","PG","Phoenix Suns","2019-03-02","LAL",6,16.1815
"62","T.Johnson","PG","Phoenix Suns","2019-03-04","MIL",15,14.0990416666667
"63","T.Johnson","PG","Phoenix Suns","2019-03-06","NYK",18,16.3332083333333
"64","T.Johnson","PG","Phoenix Suns","2019-03-09","POR",16,15.3189166666667
"65","T.Johnson","PG","Phoenix Suns","2019-03-10","GSW",10,13.1564166666667
