"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Tatum","F","Boston Celtics","2018-10-16","PHI",25,NA
"2","Tatum","F","Boston Celtics","2018-10-19","TOR",20,17.1117145397527
"3","Tatum","F","Boston Celtics","2018-10-20","NYK",28,16.6835344511785
"4","Tatum","F","Boston Celtics","2018-10-22","ORL",7,17.0399932423345
"5","Tatum","F","Boston Celtics","2018-10-25","OKC",26,17.0453234707082
"6","Tatum","F","Boston Celtics","2018-10-27","DET",8,18.3291374907478
"7","Tatum","F","Boston Celtics","2018-10-30","DET",18,16.9658902576029
"8","Tatum","F","Boston Celtics","2018-11-01","MIL",16,16.3029714423827
"9","Tatum","F","Boston Celtics","2018-11-03","IND",22,17.9031244825736
"10","Tatum","F","Boston Celtics","2018-11-05","DEN",17,15.8840151511847
"11","Tatum","F","Boston Celtics","2018-11-08","PHO",4,16.0147808952774
"12","Tatum","F","Boston Celtics","2018-11-09","UTA",25,17.1798661271244
"13","Tatum","F","Boston Celtics","2018-11-11","POR",37,17.3614377844434
"14","Tatum","F","Boston Celtics","2018-11-14","CHI",22,14.577764279217
"15","Tatum","F","Boston Celtics","2018-11-16","TOR",25,15.5511493819121
"16","Tatum","F","Boston Celtics","2018-11-17","UTA",10,17.9684064783831
"17","Tatum","F","Boston Celtics","2018-11-19","CHO",22,18.006379712254
"18","Tatum","F","Boston Celtics","2018-11-21","NYK",17,16.6156468750036
"19","Tatum","F","Boston Celtics","2018-11-23","ATL",18,18.0011910502917
"20","Tatum","F","Boston Celtics","2018-11-24","DAL",27,15.5615261201412
"21","Tatum","F","Boston Celtics","2018-11-26","NOP",24,17.1393157212034
"22","Tatum","F","Boston Celtics","2018-11-30","CLE",15,17.2741068723351
"23","Tatum","F","Boston Celtics","2018-12-01","MIN",25,16.8623919451035
"24","Tatum","F","Boston Celtics","2018-12-06","NYK",23,16.0892139858588
"25","Tatum","F","Boston Celtics","2018-12-08","CHI",26,15.969604383906
"26","Tatum","F","Boston Celtics","2018-12-10","NOP",23,16.7353404856159
"27","Tatum","F","Boston Celtics","2018-12-12","WAS",12,17.7413295590456
"28","Tatum","F","Boston Celtics","2018-12-14","ATL",26,17.7084991428431
"29","Tatum","F","Boston Celtics","2018-12-15","DET",17,16.7149249618334
"30","Tatum","F","Boston Celtics","2018-12-19","PHO",22,16.7502025364505
"31","Tatum","F","Boston Celtics","2018-12-21","MIL",26,17.1031349864743
"32","Tatum","F","Boston Celtics","2018-12-23","CHO",23,16.2543250365461
"33","Tatum","F","Boston Celtics","2018-12-25","PHI",25,15.3108885173481
"34","Tatum","F","Boston Celtics","2018-12-27","HOU",4,17.1447022954148
"35","Tatum","F","Boston Celtics","2018-12-29","MEM",9,18.6433484456785
"36","Tatum","F","Boston Celtics","2018-12-31","SAS",12,17.83156099158
"37","Tatum","F","Boston Celtics","2019-01-02","MIN",8,15.9224386509743
"38","Tatum","F","Boston Celtics","2019-01-04","DAL",26,16.6353708586802
"39","Tatum","F","Boston Celtics","2019-01-07","BRK",20,17.0611673556223
"40","Tatum","F","Boston Celtics","2019-01-09","IND",24,16.5178528764701
"41","Tatum","F","Boston Celtics","2019-01-10","MIA",21,18.01837006597
"42","Tatum","F","Boston Celtics","2019-01-12","ORL",18,16.500860257326
"43","Tatum","F","Boston Celtics","2019-01-14","BRK",40,17.3374045764384
"44","Tatum","F","Boston Celtics","2019-01-16","TOR",18,16.1494330814868
"45","Tatum","F","Boston Celtics","2019-01-18","MEM",2,16.0916649661296
"46","Tatum","F","Boston Celtics","2019-01-19","ATL",19,18.877938766119
"47","Tatum","F","Boston Celtics","2019-01-21","MIA",25,17.7464757608115
"48","Tatum","F","Boston Celtics","2019-01-23","CLE",15,16.9847286763238
"49","Tatum","F","Boston Celtics","2019-01-26","GSW",26,15.4479400494159
"50","Tatum","F","Boston Celtics","2019-01-28","BRK",6,15.8832488823532
"51","Tatum","F","Boston Celtics","2019-01-30","CHO",24,17.372555649466
"52","Tatum","F","Boston Celtics","2019-02-01","NYK",15,17.2695119898794
"53","Tatum","F","Boston Celtics","2019-02-03","OKC",11,17.9440935571114
"54","Tatum","F","Boston Celtics","2019-02-05","CLE",27,19.1130781792749
"55","Tatum","F","Boston Celtics","2019-02-07","LAL",24,14.8203324441536
"56","Tatum","F","Boston Celtics","2019-02-09","LAC",18,17.4563025593284
"57","Tatum","F","Boston Celtics","2019-02-12","PHI",22,17.538219404637
"58","Tatum","F","Boston Celtics","2019-02-13","DET",25,17.4522699256113
"59","Tatum","F","Boston Celtics","2019-02-21","MIL",19,14.863282921371
"60","Tatum","F","Boston Celtics","2019-02-23","CHI",14,16.7137650025088
"61","Tatum","F","Boston Celtics","2019-02-26","TOR",13,15.675085273047
"62","Tatum","F","Boston Celtics","2019-02-27","POR",14,17.8926244453128
"63","Tatum","F","Boston Celtics","2019-03-01","WAS",10,17.3852036329559
"64","Tatum","F","Boston Celtics","2019-03-03","HOU",14,15.9219404876892
"65","Tatum","F","Boston Celtics","2019-03-05","GSW",19,16.3883630782875
"66","Tatum","F","Boston Celtics","2019-03-06","SAC",28,17.2056336843577
"67","Tatum","F","Boston Celtics","2019-03-09","LAL",6,15.5122578146368
"69","Tatum","F","Boston Celtics","2019-03-14","SAC",15,17.2722295116216
"70","Tatum","F","Boston Celtics","2019-03-16","ATL",18,19.0304454443099
"71","Tatum","F","Boston Celtics","2019-03-18","DEN",10,17.9643371850362
"72","Tatum","F","Boston Celtics","2019-03-20","PHI",15,15.8281895747989
"73","Tatum","F","Boston Celtics","2019-03-23","CHO",16,17.8364921044587
"75","Tatum","F","Boston Celtics","2019-03-26","CLE",27,15.490135353223
"76","Tatum","F","Boston Celtics","2019-03-29","IND",17,16.2690488792044
"77","Tatum","F","Boston Celtics","2019-03-30","BRK",11,16.6494077217428
"78","Tatum","F","Boston Celtics","2019-04-01","MIA",27,17.7016574725387
"79","Tatum","F","Boston Celtics","2019-04-03","MIA",18,15.6980113222519
"80","Tatum","F","Boston Celtics","2019-04-05","IND",24,16.6306188595937
