"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Temple","SG","Memphis Grizzlies","2018-10-17","IND",20,NA
"2","Temple","SG","Memphis Grizzlies","2018-10-19","ATL",40,6.48770833333333
"3","Temple","SG","Memphis Grizzlies","2018-10-22","UTA",8,11.8992916666666
"4","Temple","SG","Memphis Grizzlies","2018-10-24","SAC",5,9.23325
"5","Temple","SG","Memphis Grizzlies","2018-10-27","PHO",17,14.1543333333333
"6","Temple","SG","Memphis Grizzlies","2018-10-30","WAS",28,12.5363333333333
"7","Temple","SG","Memphis Grizzlies","2018-11-02","UTA",14,12.06375
"8","Temple","SG","Memphis Grizzlies","2018-11-04","PHO",8,15.1507916666667
"9","Temple","SG","Memphis Grizzlies","2018-11-05","GSW",15,12.56125
"10","Temple","SG","Memphis Grizzlies","2018-11-07","DEN",5,9.30283333333333
"11","Temple","SG","Memphis Grizzlies","2018-11-10","PHI",23,17.8457083333333
"12","Temple","SG","Memphis Grizzlies","2018-11-12","UTA",6,7.738375
"13","Temple","SG","Memphis Grizzlies","2018-11-14","MIL",13,11.0532916666667
"14","Temple","SG","Memphis Grizzlies","2018-11-16","SAC",20,11.477125
"15","Temple","SG","Memphis Grizzlies","2018-11-18","MIN",10,11.2447916666667
"16","Temple","SG","Memphis Grizzlies","2018-11-19","DAL",16,11.4766666666667
"17","Temple","SG","Memphis Grizzlies","2018-11-21","SAS",4,12.207375
"18","Temple","SG","Memphis Grizzlies","2018-11-23","LAC",10,8.06320833333334
"19","Temple","SG","Memphis Grizzlies","2018-11-25","NYK",7,8.5405
"20","Temple","SG","Memphis Grizzlies","2018-11-27","TOR",16,11.1366666666667
"21","Temple","SG","Memphis Grizzlies","2018-11-30","BRK",15,10.2618333333333
"22","Temple","SG","Memphis Grizzlies","2018-12-02","PHI",18,7.92304166666667
"23","Temple","SG","Memphis Grizzlies","2018-12-05","LAC",6,9.64641666666667
"24","Temple","SG","Memphis Grizzlies","2018-12-07","NOP",12,9.64879166666667
"25","Temple","SG","Memphis Grizzlies","2018-12-08","LAL",9,9.47979166666667
"26","Temple","SG","Memphis Grizzlies","2018-12-10","DEN",9,10.5640416666667
"27","Temple","SG","Memphis Grizzlies","2018-12-12","POR",4,15.7425416666667
"28","Temple","SG","Memphis Grizzlies","2018-12-14","MIA",21,9.66808333333333
"29","Temple","SG","Memphis Grizzlies","2018-12-15","HOU",8,11.0375416666667
"30","Temple","SG","Memphis Grizzlies","2018-12-17","GSW",17,10.0891666666667
"31","Temple","SG","Memphis Grizzlies","2018-12-19","POR",12,10.0068333333333
"32","Temple","SG","Memphis Grizzlies","2018-12-21","SAC",23,8.482375
"33","Temple","SG","Memphis Grizzlies","2018-12-23","LAL",22,10.8832916666667
"34","Temple","SG","Memphis Grizzlies","2018-12-26","CLE",17,10.18625
"35","Temple","SG","Memphis Grizzlies","2018-12-29","BOS",2,9.13933333333333
"36","Temple","SG","Memphis Grizzlies","2018-12-31","HOU",10,8.68108333333334
"37","Temple","SG","Memphis Grizzlies","2019-01-02","DET",9,10.1571666666667
"38","Temple","SG","Memphis Grizzlies","2019-01-04","BRK",6,11.3852083333333
"39","Temple","SG","Memphis Grizzlies","2019-01-05","SAS",9,7.54233333333333
"40","Temple","SG","Memphis Grizzlies","2019-01-07","NOP",12,9.12166666666667
"41","Temple","SG","Memphis Grizzlies","2019-01-09","SAS",2,9.76995833333333
"42","Temple","SG","Memphis Grizzlies","2019-01-12","MIA",13,7.57375
"43","Temple","SG","Memphis Grizzlies","2019-01-14","HOU",22,8.87404166666667
"44","Temple","SG","Memphis Grizzlies","2019-01-16","MIL",2,12.092875
"45","Temple","SG","Memphis Grizzlies","2019-01-18","BOS",12,6.996
"46","Temple","SG","Memphis Grizzlies","2019-01-19","TOR",12,11.80275
"47","Temple","SG","Memphis Grizzlies","2019-01-21","NOP",13,8.59725
"48","Temple","SG","Memphis Grizzlies","2019-01-23","CHO",7,9.5325
"49","Temple","SG","Memphis Grizzlies","2019-01-25","SAC",2,9.521625
"57","Temple","SG","Memphis Grizzlies","2019-02-09","BOS",15,8.5285
"58","Temple","SG","Memphis Grizzlies","2019-02-11","MIN",4,9.450625
"59","Temple","SG","Memphis Grizzlies","2019-02-13","PHO",9,18.6105416666667
"60","Temple","SG","Memphis Grizzlies","2019-02-22","MEM",0,7.75891666666667
"61","Temple","SG","Memphis Grizzlies","2019-02-24","DEN",4,10.913375
"62","Temple","SG","Memphis Grizzlies","2019-02-25","DAL",4,17.1542916666667
"63","Temple","SG","Memphis Grizzlies","2019-02-27","UTA",2,8.641875
"64","Temple","SG","Memphis Grizzlies","2019-03-01","SAC",0,7.03504166666667
"65","Temple","SG","Memphis Grizzlies","2019-03-03","NYK",2,6.503375
"66","Temple","SG","Memphis Grizzlies","2019-03-04","LAL",2,10.1142916666667
"67","Temple","SG","Memphis Grizzlies","2019-03-08","OKC",0,10.7187083333333
"68","Temple","SG","Memphis Grizzlies","2019-03-11","BOS",2,7.40170833333333
"69","Temple","SG","Memphis Grizzlies","2019-03-12","POR",9,10.1559583333333
"70","Temple","SG","Memphis Grizzlies","2019-03-15","CHI",6,8.62629166666667
"71","Temple","SG","Memphis Grizzlies","2019-03-17","BRK",6,12.1598333333333
"72","Temple","SG","Memphis Grizzlies","2019-03-19","IND",4,10.7604583333333
"73","Temple","SG","Memphis Grizzlies","2019-03-22","CLE",2,8.19008333333334
"74","Temple","SG","Memphis Grizzlies","2019-03-24","NYK",0,6.35450000000001
"75","Temple","SG","Memphis Grizzlies","2019-03-26","MIN",25,7.93479166666667
"76","Temple","SG","Memphis Grizzlies","2019-03-28","MIL",0,11.91725
"77","Temple","SG","Memphis Grizzlies","2019-03-30","CLE",19,7.64795833333333
"78","Temple","SG","Memphis Grizzlies","2019-03-31","MEM",2,10.10925
"79","Temple","SG","Memphis Grizzlies","2019-04-03","HOU",5,13.63575
"80","Temple","SG","Memphis Grizzlies","2019-04-05","LAL",22,9.18079166666667
"81","Temple","SG","Memphis Grizzlies","2019-04-07","GSW",4,11.522375
