"","Player","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Terrance Ferguson","Oklahoma City Thunder","2018-10-16","GSW",0,NA
"2","Terrance Ferguson","Oklahoma City Thunder","2018-10-19","LAC",6,16.7825416666667
"3","Terrance Ferguson","Oklahoma City Thunder","2018-10-21","SAC",2,8.00070833333333
"4","Terrance Ferguson","Oklahoma City Thunder","2018-10-25","BOS",2,2.816
"5","Terrance Ferguson","Oklahoma City Thunder","2018-10-28","PHO",6,3.08525
"6","Terrance Ferguson","Oklahoma City Thunder","2018-10-30","LAC",2,14.5545416666667
"7","Terrance Ferguson","Oklahoma City Thunder","2018-11-01","CHO",0,4.41254166666667
"8","Terrance Ferguson","Oklahoma City Thunder","2018-11-02","WAS",15,4.25608333333333
"9","Terrance Ferguson","Oklahoma City Thunder","2018-11-05","NOP",7,8.38779166666666
"10","Terrance Ferguson","Oklahoma City Thunder","2018-11-07","CLE",4,6.21383333333333
"11","Terrance Ferguson","Oklahoma City Thunder","2018-11-08","HOU",22,2.73804166666667
"12","Terrance Ferguson","Oklahoma City Thunder","2018-11-10","DAL",2,13.80175
"13","Terrance Ferguson","Oklahoma City Thunder","2018-11-12","PHO",7,12.1747083333333
"14","Terrance Ferguson","Oklahoma City Thunder","2018-11-14","NYK",9,10.8592083333333
"17","Terrance Ferguson","Oklahoma City Thunder","2018-11-21","GSW",0,13.17425
"22","Terrance Ferguson","Oklahoma City Thunder","2018-12-03","DET",2,5.54479166666667
"23","Terrance Ferguson","Oklahoma City Thunder","2018-12-05","BRK",12,10.8136666666667
"24","Terrance Ferguson","Oklahoma City Thunder","2018-12-07","CHI",9,8.36979166666666
"25","Terrance Ferguson","Oklahoma City Thunder","2018-12-10","UTA",6,11.2385
"26","Terrance Ferguson","Oklahoma City Thunder","2018-12-12","NOP",10,11.3262083333333
"27","Terrance Ferguson","Oklahoma City Thunder","2018-12-14","DEN",0,5.556
"28","Terrance Ferguson","Oklahoma City Thunder","2018-12-15","LAC",2,6.38354166666667
"29","Terrance Ferguson","Oklahoma City Thunder","2018-12-17","CHI",7,9.088
"30","Terrance Ferguson","Oklahoma City Thunder","2018-12-19","SAC",18,4.696625
"31","Terrance Ferguson","Oklahoma City Thunder","2018-12-22","UTA",2,9.07066666666666
"32","Terrance Ferguson","Oklahoma City Thunder","2018-12-23","MIN",2,2.35870833333333
"33","Terrance Ferguson","Oklahoma City Thunder","2018-12-25","HOU",12,2.39779166666667
"34","Terrance Ferguson","Oklahoma City Thunder","2018-12-28","PHO",4,6.551375
"36","Terrance Ferguson","Oklahoma City Thunder","2018-12-31","DAL",5,5.09541666666667
"37","Terrance Ferguson","Oklahoma City Thunder","2019-01-02","LAL",2,11.4452083333333
"38","Terrance Ferguson","Oklahoma City Thunder","2019-01-04","POR",5,3.69929166666667
"39","Terrance Ferguson","Oklahoma City Thunder","2019-01-06","WAS",7,7.47045833333333
"40","Terrance Ferguson","Oklahoma City Thunder","2019-01-08","MIN",22,13.000875
"41","Terrance Ferguson","Oklahoma City Thunder","2019-01-10","SAS",35,11.9965416666667
"42","Terrance Ferguson","Oklahoma City Thunder","2019-01-12","SAS",12,4.14816666666667
"43","Terrance Ferguson","Oklahoma City Thunder","2019-01-15","ATL",4,12.1682083333333
"44","Terrance Ferguson","Oklahoma City Thunder","2019-01-17","LAL",33,15.116125
"45","Terrance Ferguson","Oklahoma City Thunder","2019-01-19","PHI",17,11.5507916666667
"46","Terrance Ferguson","Oklahoma City Thunder","2019-01-21","NYK",15,13.57925
"47","Terrance Ferguson","Oklahoma City Thunder","2019-01-22","POR",18,9.17008333333333
"48","Terrance Ferguson","Oklahoma City Thunder","2019-01-24","NOP",18,12.79725
"49","Terrance Ferguson","Oklahoma City Thunder","2019-01-27","MIL",21,13.451375
"51","Terrance Ferguson","Oklahoma City Thunder","2019-02-01","MIA",0,13.2205
