"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Thompson","SG","Golden State Warriors","2017-10-17","HOU",24,NA
"2","Thompson","SG","Golden State Warriors","2017-10-20","NOP",47,29.5824757696008
"3","Thompson","SG","Golden State Warriors","2017-10-21","MEM",18,36.3307742905243
"4","Thompson","SG","Golden State Warriors","2017-10-23","DAL",27,25.9713091630592
"5","Thompson","SG","Golden State Warriors","2017-10-25","TOR",30,28.8207861351611
"6","Thompson","SG","Golden State Warriors","2017-10-27","WAS",22,27.9170991462242
"7","Thompson","SG","Golden State Warriors","2017-10-29","DET",37,30.6523365199615
"8","Thompson","SG","Golden State Warriors","2017-10-30","LAC",17,32.2998227513227
"9","Thompson","SG","Golden State Warriors","2017-11-02","SAS",37,30.8337083333334
"10","Thompson","SG","Golden State Warriors","2017-11-04","DEN",21,28.69428505291
"11","Thompson","SG","Golden State Warriors","2017-11-06","MIA",19,31.4928492664743
"12","Thompson","SG","Golden State Warriors","2017-11-08","MIN",40,35.6437156685906
"13","Thompson","SG","Golden State Warriors","2017-11-11","PHI",31,29.2161438792689
"14","Thompson","SG","Golden State Warriors","2017-11-13","ORL",21,30.3216937830688
"15","Thompson","SG","Golden State Warriors","2017-11-16","BOS",19,26.5391904761905
"16","Thompson","SG","Golden State Warriors","2017-11-18","PHI",19,29.53009006734
"17","Thompson","SG","Golden State Warriors","2017-11-19","BRK",25,26.3482337662338
"18","Thompson","SG","Golden State Warriors","2017-11-22","OKC",15,29.9170232082732
"19","Thompson","SG","Golden State Warriors","2017-11-24","CHI",39,32.8941184463685
"20","Thompson","SG","Golden State Warriors","2017-11-25","NOP",32,29.2789545454545
"21","Thompson","SG","Golden State Warriors","2017-11-27","SAC",31,27.165132996633
"22","Thompson","SG","Golden State Warriors","2017-11-29","LAL",28,35.2513214285714
"23","Thompson","SG","Golden State Warriors","2017-12-01","ORL",33,25.4110317460317
"24","Thompson","SG","Golden State Warriors","2017-12-03","MIA",23,27.0641646825397
"25","Thompson","SG","Golden State Warriors","2017-12-04","NOP",30,28.2310292207792
"26","Thompson","SG","Golden State Warriors","2017-12-06","CHO",30,25.2040423280423
"27","Thompson","SG","Golden State Warriors","2017-12-08","DET",25,30.4127418229918
"28","Thompson","SG","Golden State Warriors","2017-12-11","POR",32,23.4097182539683
"29","Thompson","SG","Golden State Warriors","2017-12-14","DAL",35,28.4536507936508
"30","Thompson","SG","Golden State Warriors","2017-12-18","LAL",25,32.843757996633
"31","Thompson","SG","Golden State Warriors","2017-12-20","MEM",35,34.0094787157287
"32","Thompson","SG","Golden State Warriors","2017-12-22","LAL",20,28.1792123015873
