"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Tucker","F","Houston Rockets","17-10-18","NOP",27,NA
"2","Tucker","F","Houston Rockets","20-10-18","LAL",10,8.97910744810745
"3","Tucker","F","Houston Rockets","21-10-18","LAC",5,8.39640805218174
"4","Tucker","F","Houston Rockets","24-10-18","UTA",10,7.64316221001222
"5","Tucker","F","Houston Rockets","26-10-18","LAC",16,10.1810153754141
"6","Tucker","F","Houston Rockets","30-10-18","POR",12,11.5799350668338
"7","Tucker","F","Houston Rockets","02-11-18","BRK",7,10.6450699874687
"8","Tucker","F","Houston Rockets","03-11-18","CHI",10,6.74973046398046
"9","Tucker","F","Houston Rockets","05-11-18","IND",15,8.51690228937729
"10","Tucker","F","Houston Rockets","08-11-18","OKC",19,9.70401920477184
"11","Tucker","F","Houston Rockets","10-11-18","SAS",5,8.82392554302423
"12","Tucker","F","Houston Rockets","11-11-18","IND",20,9.72891302308802
"13","Tucker","F","Houston Rockets","13-11-18","DEN",20,10.6838315637579
"14","Tucker","F","Houston Rockets","15-11-18","GSW",3,11.5645297600061
"15","Tucker","F","Houston Rockets","17-11-18","SAC",11,8.70112213342214
"16","Tucker","F","Houston Rockets","21-11-18","DET",10,11.3906526204789
"17","Tucker","F","Houston Rockets","23-11-18","DET",17,9.80095847953216
"18","Tucker","F","Houston Rockets","24-11-18","CLE",9,9.35308528328397
"19","Tucker","F","Houston Rockets","26-11-18","WAS",7,10.0433835534349
"20","Tucker","F","Houston Rockets","28-11-18","DAL",7,9.72991080586081
"21","Tucker","F","Houston Rockets","30-11-18","SAS",14,7.51298092185592
"22","Tucker","F","Houston Rockets","01-12-18","CHI",15,8.53353457653459
"23","Tucker","F","Houston Rockets","03-12-18","MIN",5,12.0935932307459
"24","Tucker","F","Houston Rockets","06-12-18","UTA",0,9.40865860528361
"25","Tucker","F","Houston Rockets","08-12-18","DAL",7,4.17576571206572
"26","Tucker","F","Houston Rockets","11-12-18","POR",9,8.28917213064713
"27","Tucker","F","Houston Rockets","13-12-18","LAL",10,10.517095353769
"28","Tucker","F","Houston Rockets","15-12-18","MEM",22,7.13776083916084
"29","Tucker","F","Houston Rockets","17-12-18","UTA",24,9.67773290233158
"30","Tucker","F","Houston Rockets","19-12-18","WAS",17,9.95355239380502
"31","Tucker","F","Houston Rockets","20-12-18","MIA",20,9.57788503075871
"32","Tucker","F","Houston Rockets","22-12-18","SAS",10,9.11192231657231
"33","Tucker","F","Houston Rockets","25-12-18","OKC",13,7.47821816239316
"34","Tucker","F","Houston Rockets","27-12-18","BOS",6,9.43699019503888
"35","Tucker","F","Houston Rockets","29-12-18","NOP",7,8.87033043345543
"36","Tucker","F","Houston Rockets","31-12-18","MEM",4,9.2793807054057
"37","Tucker","F","Houston Rockets","03-01-19","GSW",5,7.38966196026196
"38","Tucker","F","Houston Rockets","05-01-19","POR",0,9.81610891053391
"39","Tucker","F","Houston Rockets","07-01-19","DEN",35,3.59260597180597
"40","Tucker","F","Houston Rockets","09-01-19","MIL",12,12.5708617984355
"41","Tucker","F","Houston Rockets","11-01-19","CLE",14,9.59924935254803
"42","Tucker","F","Houston Rockets","13-01-19","ORL",8,9.43516891996892
"43","Tucker","F","Houston Rockets","14-01-19","MEM",7,8.74012242947111
"44","Tucker","F","Houston Rockets","16-01-19","BRK",26,8.37494691594955
"45","Tucker","F","Houston Rockets","19-01-19","LAL",11,9.49408943191311
"46","Tucker","F","Houston Rockets","21-01-19","PHI",2,11.4741151690415
"47","Tucker","F","Houston Rockets","23-01-19","NYK",5,6.98906517094017
"48","Tucker","F","Houston Rockets","25-01-19","TOR",26,12.8078951659452
"49","Tucker","F","Houston Rockets","27-01-19","ORL",7,8.86299220969089
"50","Tucker","F","Houston Rockets","29-01-19","NOP",13,9.10495225885226
"51","Tucker","F","Houston Rockets","01-02-19","DEN",7,11.358531987457
"52","Tucker","F","Houston Rockets","02-02-19","UTA",2,8.28214362026862
"53","Tucker","F","Houston Rockets","04-02-19","PHO",7,9.25219580039844
"54","Tucker","F","Houston Rockets","06-02-19","SAC",2,10.6276035149061
"55","Tucker","F","Houston Rockets","09-02-19","OKC",0,9.20970597180597
"56","Tucker","F","Houston Rockets","11-02-19","DAL",5,5.65748580586081
"57","Tucker","F","Houston Rockets","13-02-19","MIN",12,12.3324119047619
"58","Tucker","F","Houston Rockets","21-02-19","LAL",5,9.43046639471638
