"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Turner","C","Indiana Pacers","2018-10-17","MEM",8,NA
"2","Turner","C","Indiana Pacers","2018-10-19","MIL",11,16.3669583333333
"3","Turner","C","Indiana Pacers","2018-10-20","BRK",16,17.902625
"4","Turner","C","Indiana Pacers","2018-10-22","MIN",18,13.7135833333333
"5","Turner","C","Indiana Pacers","2018-10-24","SAS",10,16.6570833333333
"6","Turner","C","Indiana Pacers","2018-10-27","CLE",15,14.053125
"7","Turner","C","Indiana Pacers","2018-10-29","POR",10,11.104125
"8","Turner","C","Indiana Pacers","2018-10-31","NYK",8,11.89075
"9","Turner","C","Indiana Pacers","2018-11-02","CHI",18,15.855125
"10","Turner","C","Indiana Pacers","2018-11-03","BOS",12,15.732875
"11","Turner","C","Indiana Pacers","2018-11-05","HOU",7,15.18425
"12","Turner","C","Indiana Pacers","2018-11-07","PHI",7,15.09775
"13","Turner","C","Indiana Pacers","2018-11-09","MIA",8,15.955375
"14","Turner","C","Indiana Pacers","2018-11-11","HOU",9,20.6990833333333
"15","Turner","C","Indiana Pacers","2018-11-16","MIA",14,17.878
"16","Turner","C","Indiana Pacers","2018-11-17","ATL",14,15.0785833333333
"17","Turner","C","Indiana Pacers","2018-11-19","UTA",14,19.432
"18","Turner","C","Indiana Pacers","2018-11-21","CHO",10,15.732375
"20","Turner","C","Indiana Pacers","2018-11-26","UTA",16,16.844375
"21","Turner","C","Indiana Pacers","2018-11-27","PHO",18,15.1624166666667
"22","Turner","C","Indiana Pacers","2018-11-29","LAL",6,14.7562916666667
"23","Turner","C","Indiana Pacers","2018-12-01","SAC",14,22.3651666666667
"24","Turner","C","Indiana Pacers","2018-12-04","CHI",18,13.897
"25","Turner","C","Indiana Pacers","2018-12-07","ORL",12,10.2409583333333
"26","Turner","C","Indiana Pacers","2018-12-08","SAC",11,14.5999583333333
"27","Turner","C","Indiana Pacers","2018-12-10","WAS",30,16.9544583333333
"28","Turner","C","Indiana Pacers","2018-12-12","MIL",31,16.8925416666667
"29","Turner","C","Indiana Pacers","2018-12-14","PHI",12,17.402125
"30","Turner","C","Indiana Pacers","2018-12-16","NYK",26,19.9457083333333
"31","Turner","C","Indiana Pacers","2018-12-18","CLE",12,16.367875
"32","Turner","C","Indiana Pacers","2018-12-19","TOR",12,15.610875
"33","Turner","C","Indiana Pacers","2018-12-21","BRK",17,15.665875
"34","Turner","C","Indiana Pacers","2018-12-23","WAS",20,16.6229583333333
"35","Turner","C","Indiana Pacers","2018-12-26","ATL",13,15.3310833333333
"36","Turner","C","Indiana Pacers","2018-12-28","DET",17,18.8234583333333
"37","Turner","C","Indiana Pacers","2018-12-31","ATL",26,15.1232916666667
"38","Turner","C","Indiana Pacers","2019-01-04","CHI",12,18.8544583333333
"43","Turner","C","Indiana Pacers","2019-01-15","PHO",20,19.2974583333333
"44","Turner","C","Indiana Pacers","2019-01-17","PHI",10,14.5469583333333
"45","Turner","C","Indiana Pacers","2019-01-19","DAL",14,18.3754583333333
"46","Turner","C","Indiana Pacers","2019-01-20","CHO",15,15.7515416666667
"47","Turner","C","Indiana Pacers","2019-01-23","TOR",15,21.779875
"48","Turner","C","Indiana Pacers","2019-01-26","MEM",20,13.5405
"49","Turner","C","Indiana Pacers","2019-01-28","GSW",16,15.3534583333333
"50","Turner","C","Indiana Pacers","2019-01-30","WAS",9,13.6812083333333
"51","Turner","C","Indiana Pacers","2019-01-31","ORL",29,18.2702916666667
"52","Turner","C","Indiana Pacers","2019-02-02","MIA",16,13.4608333333333
"53","Turner","C","Indiana Pacers","2019-02-04","NOP",15,13.1263333333333
"54","Turner","C","Indiana Pacers","2019-02-05","LAL",28,15.611375
"55","Turner","C","Indiana Pacers","2019-02-07","LAC",23,15.380125
"56","Turner","C","Indiana Pacers","2019-02-09","CLE",18,18.6022083333333
"57","Turner","C","Indiana Pacers","2019-02-11","CHO",22,15.3605416666667
"58","Turner","C","Indiana Pacers","2019-02-13","MIL",13,13.7672083333333
"61","Turner","C","Indiana Pacers","2019-02-25","DET",9,15.3162083333333
"62","Turner","C","Indiana Pacers","2019-02-27","DAL",17,18.3970416666667
"63","Turner","C","Indiana Pacers","2019-02-28","MIN",5,15.8708333333333
"64","Turner","C","Indiana Pacers","2019-03-02","ORL",10,18.4483333333333
"65","Turner","C","Indiana Pacers","2019-03-05","CHI",12,15.6152083333333
"66","Turner","C","Indiana Pacers","2019-03-07","MIL",30,11.1331666666667
"67","Turner","C","Indiana Pacers","2019-03-10","PHI",8,16.3754583333333
"68","Turner","C","Indiana Pacers","2019-03-12","NYK",19,19.7048333333333
"69","Turner","C","Indiana Pacers","2019-03-14","OKC",10,15.497625
"70","Turner","C","Indiana Pacers","2019-03-16","DEN",15,13.7630416666667
"71","Turner","C","Indiana Pacers","2019-03-18","POR",32,17.597625
"72","Turner","C","Indiana Pacers","2019-03-19","LAC",13,16.0744166666667
"73","Turner","C","Indiana Pacers","2019-03-21","GSW",4,17.8892083333333
"74","Turner","C","Indiana Pacers","2019-03-24","DEN",17,18.2262916666667
"75","Turner","C","Indiana Pacers","2019-03-27","OKC",14,10.118375
"76","Turner","C","Indiana Pacers","2019-03-29","BOS",21,14.6914583333333
"77","Turner","C","Indiana Pacers","2019-03-30","ORL",18,16.1214166666667
"78","Turner","C","Indiana Pacers","2019-04-01","DET",21,16.9964583333333
"79","Turner","C","Indiana Pacers","2019-04-03","DET",17,16.5740416666667
"80","Turner","C","Indiana Pacers","2019-04-05","BOS",19,14.875875
