,Player,Team,Position,Date,Opp,Fantasy_Score,predictions_2019
1,Tyus Jones,Minnesota Timberwolves,PG,17/10/2018,SAS,4,NA
2,Tyus Jones,Minnesota Timberwolves,PG,19/10/2018,CLE,12,9.095333333
3,Tyus Jones,Minnesota Timberwolves,PG,20/10/2018,DAL,7,6.150458333
4,Tyus Jones,Minnesota Timberwolves,PG,22/10/2018,IND,12,5.98725
5,Tyus Jones,Minnesota Timberwolves,PG,24/10/2018,TOR,2,7.223166667
6,Tyus Jones,Minnesota Timberwolves,PG,26/10/2018,MIL,16,7.316041667
7,Tyus Jones,Minnesota Timberwolves,PG,29/10/2018,LAL,5,9.602416667
9,Tyus Jones,Minnesota Timberwolves,PG,02/11/2018,GSW,12,6.4095
10,Tyus Jones,Minnesota Timberwolves,PG,04/11/2018,POR,4,11.54358333
11,Tyus Jones,Minnesota Timberwolves,PG,05/11/2018,LAC,4,10.49770833
12,Tyus Jones,Minnesota Timberwolves,PG,07/11/2018,LAL,0,6.949791667
13,Tyus Jones,Minnesota Timberwolves,PG,09/11/2018,SAC,7,6.529
14,Tyus Jones,Minnesota Timberwolves,PG,12/11/2018,BRK,2,9.082208333
15,Tyus Jones,Minnesota Timberwolves,PG,14/11/2018,NOP,0,7.995416667
16,Tyus Jones,Minnesota Timberwolves,PG,16/11/2018,POR,4,7.299666667
17,Tyus Jones,Minnesota Timberwolves,PG,18/11/2018,MEM,2,4.490458333
18,Tyus Jones,Minnesota Timberwolves,PG,21/11/2018,DEN,4,6.091541667
19,Tyus Jones,Minnesota Timberwolves,PG,23/11/2018,BRK,9,7.704541667
20,Tyus Jones,Minnesota Timberwolves,PG,24/11/2018,CHI,5,6.991541667
21,Tyus Jones,Minnesota Timberwolves,PG,26/11/2018,CLE,5,7.795583333
22,Tyus Jones,Minnesota Timberwolves,PG,28/11/2018,SAS,9,9.78925
23,Tyus Jones,Minnesota Timberwolves,PG,01/12/2018,BOS,0,5.981375
24,Tyus Jones,Minnesota Timberwolves,PG,03/12/2018,HOU,7,10.00645833
25,Tyus Jones,Minnesota Timberwolves,PG,05/12/2018,CHO,0,5.925958333
26,Tyus Jones,Minnesota Timberwolves,PG,08/12/2018,POR,2,5.867041667
27,Tyus Jones,Minnesota Timberwolves,PG,10/12/2018,GSW,0,5.747833333
28,Tyus Jones,Minnesota Timberwolves,PG,12/12/2018,SAC,2,10.52370833
