"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Vonleh","F","New York Knicks","2018-10-17","ATL",12,NA
"2","Vonleh","F","New York Knicks","2018-10-19","BRK",2,3.47191666666667
"3","Vonleh","F","New York Knicks","2018-10-20","BOS",7,3.6715
"4","Vonleh","F","New York Knicks","2018-10-22","MIL",11,4.390125
"5","Vonleh","F","New York Knicks","2018-10-24","MIA",6,2.95995833333333
"6","Vonleh","F","New York Knicks","2018-10-26","GSW",9,6.118125
"7","Vonleh","F","New York Knicks","2018-10-29","BRK",8,4.35408333333333
"8","Vonleh","F","New York Knicks","2018-10-31","IND",16,4.94791666666667
"9","Vonleh","F","New York Knicks","2018-11-02","DAL",4,6.89170833333333
"10","Vonleh","F","New York Knicks","2018-11-04","WAS",2,7.456
"11","Vonleh","F","New York Knicks","2018-11-05","CHI",12,4.91525
"12","Vonleh","F","New York Knicks","2018-11-07","ATL",15,7.131125
"13","Vonleh","F","New York Knicks","2018-11-10","TOR",6,6.62770833333334
"14","Vonleh","F","New York Knicks","2018-11-11","ORL",4,5.34625
"15","Vonleh","F","New York Knicks","2018-11-14","OKC",9,5.30804166666667
"16","Vonleh","F","New York Knicks","2018-11-16","NOP",4,4.88120833333333
"17","Vonleh","F","New York Knicks","2018-11-18","ORL",9,7.973875
"18","Vonleh","F","New York Knicks","2018-11-20","POR",18,5.845875
"19","Vonleh","F","New York Knicks","2018-11-21","BOS",20,7.06720833333333
"20","Vonleh","F","New York Knicks","2018-11-23","NOP",22,7.98079166666666
"21","Vonleh","F","New York Knicks","2018-11-25","MEM",9,6.987
"22","Vonleh","F","New York Knicks","2018-11-27","DET",8,8.171875
"23","Vonleh","F","New York Knicks","2018-11-28","PHI",4,8.5795
"24","Vonleh","F","New York Knicks","2018-12-01","MIL",21,5.12233333333333
"25","Vonleh","F","New York Knicks","2018-12-03","WAS",13,6.17820833333333
"26","Vonleh","F","New York Knicks","2018-12-06","BOS",14,7.60416666666667
"27","Vonleh","F","New York Knicks","2018-12-08","BRK",4,3.11979166666667
"28","Vonleh","F","New York Knicks","2018-12-09","CHO",5,8.11629166666667
"29","Vonleh","F","New York Knicks","2018-12-12","CLE",9,8.44129166666667
"30","Vonleh","F","New York Knicks","2018-12-14","CHO",19,4.91754166666667
"31","Vonleh","F","New York Knicks","2018-12-16","IND",9,6.83704166666667
"32","Vonleh","F","New York Knicks","2018-12-17","PHO",3,8.49091666666666
"33","Vonleh","F","New York Knicks","2018-12-19","PHI",6,4.63266666666667
"34","Vonleh","F","New York Knicks","2018-12-21","ATL",11,5.13941666666667
"35","Vonleh","F","New York Knicks","2018-12-25","MIL",16,7.09741666666667
"36","Vonleh","F","New York Knicks","2018-12-27","MIL",19,7.27591666666667
"37","Vonleh","F","New York Knicks","2018-12-29","UTA",17,7.01283333333333
"38","Vonleh","F","New York Knicks","2019-01-01","DEN",5,6.82904166666667
"39","Vonleh","F","New York Knicks","2019-01-04","LAL",9,9.00375
"40","Vonleh","F","New York Knicks","2019-01-07","POR",22,8.03654166666666
"41","Vonleh","F","New York Knicks","2019-01-08","GSW",5,6.95833333333334
"42","Vonleh","F","New York Knicks","2019-01-11","IND",16,4.00254166666667
"43","Vonleh","F","New York Knicks","2019-01-13","PHI",3,6.06125
"44","Vonleh","F","New York Knicks","2019-01-17","WAS",13,3.97966666666667
"45","Vonleh","F","New York Knicks","2019-01-21","OKC",10,3.20229166666667
"46","Vonleh","F","New York Knicks","2019-01-23","HOU",10,3.244625
"47","Vonleh","F","New York Knicks","2019-01-25","BRK",28,3.25995833333333
"48","Vonleh","F","New York Knicks","2019-01-27","MIA",2,3.27820833333333
"49","Vonleh","F","New York Knicks","2019-01-28","CHO",5,7.116625
"50","Vonleh","F","New York Knicks","2019-01-30","DAL",2,8.83983333333334
"51","Vonleh","F","New York Knicks","2019-02-01","BOS",7,3.16791666666667
"52","Vonleh","F","New York Knicks","2019-02-03","MEM",11,9.30679166666667
"53","Vonleh","F","New York Knicks","2019-02-05","DET",9,8.636375
"54","Vonleh","F","New York Knicks","2019-02-08","DET",0,8.80866666666667
"55","Vonleh","F","New York Knicks","2019-02-09","TOR",11,6.49679166666667
"56","Vonleh","F","New York Knicks","2019-02-11","CLE",4,5.143375
"57","Vonleh","F","New York Knicks","2019-02-13","PHI",3,7.648625
"58","Vonleh","F","New York Knicks","2019-02-14","ATL",4,8.229875
"59","Vonleh","F","New York Knicks","2019-02-22","MIN",8,3.83454166666667
"60","Vonleh","F","New York Knicks","2019-02-24","SAS",3,7.843875
"61","Vonleh","F","New York Knicks","2019-02-26","ORL",9,4.23558333333334
"62","Vonleh","F","New York Knicks","2019-02-28","CLE",16,7.99991666666667
"63","Vonleh","F","New York Knicks","2019-03-03","LAC",19,3.56525
"64","Vonleh","F","New York Knicks","2019-03-04","SAC",9,7.47420833333333
"65","Vonleh","F","New York Knicks","2019-03-06","PHO",17,5.09766666666667
"67","Vonleh","F","New York Knicks","2019-03-10","MIN",8,7.03104166666667
"68","Vonleh","F","New York Knicks","2019-03-12","IND",8,4.06275
