"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Vucevic","C","Orlando Magic","2018-10-17","MIA",12,NA
"2","Vucevic","C","Orlando Magic","2018-10-19","CHO",12,20.9989233579233
"3","Vucevic","C","Orlando Magic","2018-10-20","PHI",35,19.5628890101728
"4","Vucevic","C","Orlando Magic","2018-10-22","BOS",26,18.3984969088483
"5","Vucevic","C","Orlando Magic","2018-10-25","POR",28,19.2271402297758
"6","Vucevic","C","Orlando Magic","2018-10-27","MIL",16,18.8048245908069
"7","Vucevic","C","Orlando Magic","2018-10-30","SAC",15,19.3497460168433
"8","Vucevic","C","Orlando Magic","2018-11-02","LAC",24,20.5454785397899
"9","Vucevic","C","Orlando Magic","2018-11-04","SAS",13,18.2476678352524
"10","Vucevic","C","Orlando Magic","2018-11-05","CLE",16,17.4530938782526
"11","Vucevic","C","Orlando Magic","2018-11-07","DET",14,20.2704096049683
"12","Vucevic","C","Orlando Magic","2018-11-09","WAS",23,16.0957448143517
"13","Vucevic","C","Orlando Magic","2018-11-11","NYK",23,18.6296241333127
"14","Vucevic","C","Orlando Magic","2018-11-12","WAS",19,20.0737024950697
"15","Vucevic","C","Orlando Magic","2018-11-14","PHI",36,17.3476965496788
"16","Vucevic","C","Orlando Magic","2018-11-17","LAL",40,20.6577387502457
"17","Vucevic","C","Orlando Magic","2018-11-18","NYK",32,20.0966092651195
"18","Vucevic","C","Orlando Magic","2018-11-20","TOR",14,17.835668924392
"19","Vucevic","C","Orlando Magic","2018-11-23","DEN",16,17.5057257203441
"20","Vucevic","C","Orlando Magic","2018-11-25","LAL",37,19.6131037217755
"21","Vucevic","C","Orlando Magic","2018-11-26","GSW",32,19.8576738442367
"22","Vucevic","C","Orlando Magic","2018-11-28","POR",24,16.9287697583619
"23","Vucevic","C","Orlando Magic","2018-11-30","PHO",29,17.7379754418301
"24","Vucevic","C","Orlando Magic","2018-12-04","MIA",23,15.5375409008589
"25","Vucevic","C","Orlando Magic","2018-12-05","DEN",28,18.7392293400685
