"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Walker","PG","Charlotte Hornets","2018-10-17","MIL",55,NA
"2","Walker","PG","Charlotte Hornets","2018-10-19","ORL",36,33.0103523809524
"3","Walker","PG","Charlotte Hornets","2018-10-20","MIA",53,32.4188515873016
"4","Walker","PG","Charlotte Hornets","2018-10-22","TOR",30,36.4936755662212
"5","Walker","PG","Charlotte Hornets","2018-10-24","CHI",29,37.6100406455863
"6","Walker","PG","Charlotte Hornets","2018-10-26","CHI",40,35.5949708043165
"7","Walker","PG","Charlotte Hornets","2018-10-27","PHI",43,36.7491738095238
"8","Walker","PG","Charlotte Hornets","2018-10-30","MIA",27,36.8449871683872
"9","Walker","PG","Charlotte Hornets","2018-11-01","OKC",25,36.3228454074911
"10","Walker","PG","Charlotte Hornets","2018-11-03","CLE",26,34.8463636614593
"11","Walker","PG","Charlotte Hornets","2018-11-06","ATL",37,34.2836010351967
"12","Walker","PG","Charlotte Hornets","2018-11-09","PHI",36,34.3194985210442
"13","Walker","PG","Charlotte Hornets","2018-11-11","DET",28,36.672615007215
"14","Walker","PG","Charlotte Hornets","2018-11-13","CLE",9,36.5173827090784
"15","Walker","PG","Charlotte Hornets","2018-11-17","PHI",72,35.7176969947926
"16","Walker","PG","Charlotte Hornets","2018-11-19","BOS",57,34.7806736763237
"17","Walker","PG","Charlotte Hornets","2018-11-21","IND",20,35.8002738095238
"18","Walker","PG","Charlotte Hornets","2018-11-23","OKC",29,34.4626634920635
"19","Walker","PG","Charlotte Hornets","2018-11-25","ATL",30,33.782603968254
"20","Walker","PG","Charlotte Hornets","2018-11-26","MIL",25,36.5568001693958
"21","Walker","PG","Charlotte Hornets","2018-11-28","ATL",21,37.6167165334665
"22","Walker","PG","Charlotte Hornets","2018-11-30","UTA",23,34.3518962011419
"23","Walker","PG","Charlotte Hornets","2018-12-02","NOP",13,34.1301586580087
"24","Walker","PG","Charlotte Hornets","2018-12-05","MIN",17,34.1659891304348
"25","Walker","PG","Charlotte Hornets","2018-12-07","DEN",25,34.0853507936508
"26","Walker","PG","Charlotte Hornets","2018-12-09","NYK",33,36.47028002553
"27","Walker","PG","Charlotte Hornets","2018-12-12","DET",39,37.4008880952381
"28","Walker","PG","Charlotte Hornets","2018-12-14","NYK",24,37.0977855810856
"29","Walker","PG","Charlotte Hornets","2018-12-15","LAL",4,NA
"30","Walker","PG","Charlotte Hornets","2018-12-19","CLE",38,NA
"31","Walker","PG","Charlotte Hornets","2018-12-21","DET",30,36.2548962732919
